org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,224.97 (1%),131.40 (1%),,202.40 (2%),26.25 (1%),47.17 (1%),46.45 (1%),29.78 (1%),54.74 (2%),,
ASUS,61.92 (0%),61.23 (0%),,34.66 (0%),14.32 (1%),5.00 (0%),15.01 (0%),14.89 (0%),13.68 (0%),,
AUO,48.16 (0%),51.60 (0%),,22.18 (0%),2.39 (0%),10.01 (0%),9.29 (0%),16.31 (0%),7.92 (0%),,
Acer,51.60 (0%),47.47 (0%),,31.88 (0%),9.54 (1%),4.29 (0%),11.43 (0%),12.76 (0%),11.52 (0%),,
BMW,57.79 (0%),46.78 (0%),,61.00 (1%),,21.44 (0%),95.76 (3%),20.57 (1%),25.93 (1%),,2.72 (0%)
BOE,769.85 (4%),672.16 (5%),,345.19 (3%),48.52 (3%),90.05 (2%),67.18 (2%),166.65 (5%),100.83 (3%),,
BYD,86.00 (1%),72.24 (1%),,76.94 (1%),4.77 (0%),16.44 (0%),76.47 (2%),18.44 (1%),27.37 (1%),,
Bosch,6.88 (0%),5.50 (0%),,7.62 (0%),3.98 (0%),0.71 (0%),2.86 (0%),0.71 (0%),0.72 (0%),,
CES,214.65 (1%),200.89 (1%),,111.60 (1%),27.84 (2%),60.75 (1%),32.16 (1%),55.31 (2%),45.38 (1%),,
CSOT,445.12 (3%),407.97 (3%),,166.36 (2%),29.43 (2%),59.32 (1%),35.73 (1%),98.57 (3%),61.22 (2%),,
Corning,4.82 (0%),4.13 (0%),,4.16 (0%),0.80 (0%),0.71 (0%),0.71 (0%),2.84 (0%),,,
Counterpoint,5.50 (0%),4.82 (0%),,3.47 (0%),10.34 (1%),3.57 (0%),0.71 (0%),,,,0.91 (0%)
DELL,0.69 (0%),0.69 (0%),,2.08 (0%),,,,0.71 (0%),1.44 (0%),,
DSCC,4.82 (0%),4.82 (0%),,2.77 (0%),0.80 (0%),0.71 (0%),,0.71 (0%),0.72 (0%),,
Dell,58.48 (0%),56.41 (0%),,33.96 (0%),15.11 (1%),6.43 (0%),14.29 (0%),15.60 (0%),12.24 (0%),,
ETRI,24.77 (0%),25.46 (0%),,16.64 (0%),2.39 (0%),1.43 (0%),5.72 (0%),19.86 (1%),5.04 (0%),,
HMI,6.88 (0%),4.13 (0%),,8.32 (0%),,1.43 (0%),4.29 (0%),2.13 (0%),4.32 (0%),,0.91 (0%)
HP,121.08 (1%),113.52 (1%),,54.76 (1%),27.04 (1%),17.87 (0%),23.58 (1%),31.20 (1%),22.33 (1%),,
Harman,26.14 (0%),17.89 (0%),,20.79 (0%),,4.29 (0%),5.00 (0%),9.22 (0%),2.16 (0%),1.14 (0%),
IEC,28.90 (0%),37.15 (0%),,20.10 (0%),,18.58 (0%),4.29 (0%),9.93 (0%),15.13 (0%),,9.07 (2%)
IEEE,5.50 (0%),5.50 (0%),,5.55 (0%),,1.43 (0%),1.43 (0%),1.42 (0%),2.16 (0%),,1.81 (0%)
IMID,50.22 (0%),49.53 (0%),,19.41 (0%),6.36 (0%),3.57 (0%),6.43 (0%),28.37 (1%),7.20 (0%),,
ITU,51.60 (0%),54.35 (0%),,20.79 (0%),7.16 (0%),11.43 (0%),4.29 (0%),12.76 (0%),,,1.81 (0%)
Innolux,36.46 (0%),35.77 (0%),,20.79 (0%),3.98 (0%),8.58 (0%),15.01 (0%),15.60 (0%),9.36 (0%),,
IoT,231.16 (1%),215.34 (2%),,217.65 (2%),29.43 (2%),102.20 (2%),69.32 (2%),72.33 (2%),64.10 (2%),,
JDI,39.90 (0%),34.40 (0%),,16.64 (0%),1.59 (0%),7.86 (0%),1.43 (0%),9.93 (0%),7.20 (0%),,
KAIST,45.41 (0%),37.84 (0%),,41.59 (0%),10.34 (1%),8.58 (0%),20.01 (1%),21.98 (1%),12.96 (0%),,
LG디스플레이,1225.29 (7%),1113.84 (8%),,554.52 (5%),51.70 (3%),148.65 (3%),144.36 (4%),291.46 (8%),172.86 (6%),,
LG전자,1309.91 (8%),1219.10 (9%),,790.19 (7%),386.53 (21%),400.92 (7%),275.14 (7%),209.91 (6%),167.82 (6%),,
LG화학,204.33 (1%),134.84 (1%),,204.48 (2%),,47.17 (1%),52.88 (1%),35.46 (1%),34.57 (1%),35.41 (6%),
MOTIE,0.69 (0%),0.69 (0%),,0.69 (0%),3.18 (0%),,,,,,
MWC,13.76 (0%),8.94 (0%),,9.01 (0%),,7.86 (0%),1.43 (0%),2.84 (0%),0.72 (0%),,0.91 (0%)
Merck,3.44 (0%),3.44 (0%),1.03 (0%),,5.57 (0%),,0.71 (0%),1.42 (0%),0.72 (0%),,0.91 (0%)
POSTECH,4.13 (0%),4.13 (0%),,4.16 (0%),1.59 (0%),0.71 (0%),0.71 (0%),0.71 (0%),1.44 (0%),,
SEMI,2.06 (0%),1.38 (0%),,2.77 (0%),,,,,1.44 (0%),,
SID,106.64 (1%),103.20 (1%),,36.04 (0%),0.80 (0%),0.71 (0%),2.14 (0%),39.00 (1%),25.93 (1%),,
SK하이닉스,445.12 (3%),253.18 (2%),,436.68 (4%),,149.36 (3%),76.47 (2%),78.01 (2%),88.59 (3%),49.11 (8%),
SMEE,3.44 (0%),2.75 (0%),,3.47 (0%),,,0.71 (0%),0.71 (0%),,,
Semiconductor,37.15 (0%),25.46 (0%),3.10 (1%),31.19 (0%),,14.29 (0%),10.72 (0%),15.60 (0%),13.68 (0%),,
TCL,545.57 (3%),491.91 (4%),,230.12 (2%),76.35 (4%),133.64 (2%),59.32 (2%),75.17 (2%),74.19 (2%),,
TSMC,117.64 (1%),63.29 (0%),,122.69 (1%),,27.16 (0%),27.16 (1%),15.60 (0%),28.81 (1%),4.57 (1%),
Tianma,55.73 (0%),53.66 (0%),,24.95 (0%),8.75 (0%),5.72 (0%),7.15 (0%),12.76 (0%),7.20 (0%),,
Toray,8.26 (0%),6.19 (0%),,8.32 (0%),2.39 (0%),2.86 (0%),3.57 (0%),1.42 (0%),4.32 (0%),,
UDC,19.26 (0%),16.51 (0%),,8.32 (0%),1.59 (0%),4.29 (0%),3.57 (0%),5.67 (0%),2.88 (0%),,
UL,74.30 (0%),70.86 (1%),,33.96 (0%),9.54 (1%),22.15 (0%),6.43 (0%),18.44 (1%),5.76 (0%),,
V2X,74.30 (0%),48.16 (0%),4.13 (2%),69.31 (1%),,20.72 (0%),11.43 (0%),19.86 (1%),9.36 (0%),,
Visionox,76.37 (0%),71.55 (1%),,40.20 (0%),7.16 (0%),6.43 (0%),5.00 (0%),19.15 (1%),8.64 (0%),,
구글,468.70 (2%),346.05 (2%),,405.14 (3%),103.30 (4%),155.62 (2%),172.91 (4%),120.10 (3%),123.82 (3%),,
기아,178.95 (1%),129.16 (1%),,196.28 (2%),,65.21 (1%),155.15 (4%),55.04 (1%),46.08 (1%),,14.27 (2%)
기아자동차,15.14 (0%),13.07 (0%),,17.33 (0%),,4.29 (0%),14.29 (0%),2.84 (0%),5.76 (0%),,
기아차,2.06 (0%),1.38 (0%),,2.77 (0%),0.80 (0%),1.43 (0%),4.29 (0%),,,,
네이버,229.10 (1%),177.50 (1%),,180.91 (2%),33.40 (2%),75.75 (1%),98.62 (3%),68.08 (2%),43.94 (1%),,
니오,0.69 (0%),0.69 (0%),,,,0.71 (0%),0.71 (0%),0.71 (0%),0.72 (0%),,
도우인시스,2.06 (0%),1.38 (0%),,2.77 (0%),,0.71 (0%),0.71 (0%),1.42 (0%),,,
두산로보틱스,41.28 (0%),22.02 (0%),,47.83 (0%),,19.30 (0%),12.86 (0%),9.22 (0%),9.36 (0%),5.71 (1%),
디지타임스,11.70 (0%),8.94 (0%),,9.01 (0%),,0.71 (0%),1.43 (0%),2.84 (0%),2.16 (0%),,
딥엑스,1.38 (0%),0.69 (0%),,2.08 (0%),,1.43 (0%),,0.71 (0%),0.72 (0%),,
레노버,30.27 (0%),26.14 (0%),,9.70 (0%),2.39 (0%),4.29 (0%),8.58 (0%),8.51 (0%),6.48 (0%),,
리벨리온,10.32 (0%),8.94 (0%),,5.55 (0%),,7.15 (0%),4.29 (0%),3.55 (0%),1.44 (0%),1.14 (0%),
리오토,6.19 (0%),5.50 (0%),,1.39 (0%),,2.86 (0%),6.43 (0%),1.42 (0%),2.16 (0%),,
마이크로소프트,196.76 (1%),128.65 (1%),,178.14 (2%),15.91 (1%),40.02 (1%),41.45 (1%),29.78 (1%),55.46 (2%),,
메타,312.48 (1%),225.41 (1%),,268.04 (2%),29.08 (1%),64.32 (1%),69.34 (1%),88.75 (2%),86.09 (2%),,
미디어텍,29.58 (0%),21.33 (0%),3.10 (1%),20.79 (0%),,12.15 (0%),3.57 (0%),3.55 (0%),5.04 (0%),,
바이두,9.63 (0%),6.88 (0%),,6.93 (0%),0.80 (0%),2.86 (0%),0.71 (0%),1.42 (0%),4.32 (0%),,
벤츠,28.90 (0%),21.33 (0%),,23.57 (0%),3.18 (0%),15.72 (0%),40.74 (1%),10.64 (0%),6.48 (0%),,
비보,45.41 (0%),37.84 (0%),,24.95 (0%),,18.58 (0%),3.57 (0%),12.76 (0%),5.04 (0%),,
삼성디스플레이,1351.88 (8%),1166.81 (9%),,543.43 (5%),75.56 (4%),283.72 (5%),225.83 (6%),343.23 (9%),178.62 (6%),,
삼성전자,5232.95 (17%),3632.31 (15%),,2858.24 (15%),,3458.82 (35%),839.05 (13%),816.03 (12%),730.54 (13%),475.67 (42%),
샤오미,251.28 (1%),223.00 (1%),,117.22 (1%),14.01 (1%),72.18 (1%),49.52 (1%),58.30 (1%),44.83 (1%),,
샤오펑,14.45 (0%),13.76 (0%),,6.24 (0%),,5.00 (0%),19.30 (1%),2.84 (0%),5.04 (0%),,0.91 (0%)
샤프,44.72 (0%),37.84 (0%),2.07 (1%),17.33 (0%),,13.58 (0%),7.15 (0%),9.93 (0%),6.48 (0%),,
선익시스템,43.39 (0%),43.39 (0%),,34.08 (0%),0.85 (0%),1.53 (0%),5.35 (0%),14.40 (0%),2.31 (0%),,
세미파이브,4.82 (0%),3.44 (0%),,2.77 (0%),,1.43 (0%),0.71 (0%),1.42 (0%),0.72 (0%),,0.91 (0%)
소니,81.18 (0%),72.93 (1%),,41.59 (0%),7.95 (0%),37.88 (1%),19.30 (1%),21.27 (1%),16.57 (1%),,
아마존,145.12 (1%),87.62 (0%),,140.69 (1%),,22.75 (0%),33.18 (1%),22.58 (0%),57.33 (1%),,15.64 (2%)
아이씨디,24.08 (0%),19.95 (0%),,28.42 (0%),,1.43 (0%),5.00 (0%),10.64 (0%),4.32 (0%),,
알파벳,77.05 (0%),35.09 (0%),,76.94 (1%),0.80 (0%),0.71 (0%),17.15 (0%),4.25 (0%),27.37 (1%),,
애플,1486.90 (7%),1110.12 (7%),,931.62 (7%),122.78 (6%),348.49 (5%),290.70 (6%),323.21 (7%),222.38 (6%),,
엔비디아,471.82 (2%),271.29 (2%),,432.58 (3%),27.27 (1%),104.56 (2%),89.85 (2%),58.36 (1%),112.78 (3%),,
오포,63.29 (0%),51.60 (0%),2.07 (1%),29.81 (0%),,29.30 (1%),12.15 (0%),21.27 (1%),10.80 (0%),,
원익IPS,45.41 (0%),30.96 (0%),,55.45 (1%),,6.43 (0%),4.29 (0%),10.64 (0%),4.32 (0%),2.28 (0%),
인텔,205.71 (1%),157.55 (1%),,153.88 (1%),21.47 (1%),47.17 (1%),45.74 (1%),53.19 (1%),45.38 (1%),,
카카오,119.58 (1%),93.72 (1%),,118.85 (1%),28.96 (1%),36.93 (1%),48.68 (1%),28.32 (1%),28.76 (1%),,
퀄컴,186.44 (1%),130.03 (1%),,153.19 (1%),,105.77 (2%),54.31 (1%),46.09 (1%),33.13 (1%),,9.07 (2%)
텐센트,20.64 (0%),14.45 (0%),,14.56 (0%),3.18 (0%),3.57 (0%),2.86 (0%),4.25 (0%),11.52 (0%),,
폭스바겐,59.85 (0%),46.09 (0%),,77.63 (1%),8.75 (0%),24.30 (0%),62.17 (2%),15.60 (0%),16.57 (1%),,
하이센스,350.18 (2%),326.79 (2%),,131.70 (1%),30.22 (2%),109.34 (2%),37.16 (1%),41.13 (1%),48.98 (2%),,
하이얼,72.93 (0%),66.73 (0%),,37.43 (0%),4.77 (0%),19.30 (0%),5.72 (0%),8.51 (0%),16.57 (1%),,
한미반도체,69.48 (0%),38.78 (0%),,85.47 (1%),,14.27 (0%),6.71 (0%),19.99 (0%),8.46 (0%),2.68 (0%),
한화,224.28 (1%),141.04 (1%),,176.75 (2%),132.82 (7%),58.60 (1%),50.03 (1%),,41.77 (1%),33.12 (5%),
한화솔루션,21.33 (0%),14.45 (0%),,24.95 (0%),,2.14 (0%),4.29 (0%),6.38 (0%),5.04 (0%),1.14 (0%),
한화시스템,82.56 (0%),62.61 (0%),,112.98 (1%),,26.44 (0%),34.30 (1%),34.75 (1%),22.33 (1%),,9.07 (2%)
현대모비스,121.08 (1%),76.37 (1%),,149.03 (1%),30.22 (2%),45.02 (1%),62.17 (2%),36.17 (1%),37.45 (1%),,
현대자동차,125.90 (1%),89.44 (1%),,141.40 (1%),13.52 (1%),47.17 (1%),75.04 (2%),49.64 (1%),35.29 (1%),,
현대차,369.41 (2%),250.95 (2%),,404.38 (3%),,162.72 (3%),259.06 (6%),117.29 (3%),120.75 (4%),43.99 (6%),
화웨이,119.71 (1%),86.69 (1%),,63.77 (1%),,52.17 (1%),17.15 (0%),33.33 (1%),31.69 (1%),4.57 (1%),
