term,cur,diff,z_like
oled,28,25,5.01
lg디스플레이,16,14,3.91
서피스,10,10,2.75
사이니지,6,6,2.67
sk하이닉스,12,10,2.51
디스플레이,17,14,2.46
lg전자,22,14,2.12
모니터,8,7,2.00
