term,cur,prev,diff,ma7,z_like,total
boe,14,0,14,2.571,4.39,39
선익시스템,6,1,5,1.143,2.348,28
한화솔루션,3,0,3,0.429,1.554,10
아이패드,2,0,2,0.286,1.117,10
tsmc,2,0,2,0.286,1.117,15
고성능,2,0,2,0.286,1.117,27
fhd,3,0,3,0.857,1.113,6
메타,2,0,2,0.429,0.95,24
qled,2,1,1,0.429,0.95,4
sk온,4,0,4,0.571,1.953,5
한화시스템,2,0,2,0.286,1.117,5
공급망,2,0,2,0.429,0.95,15
설비투자,7,0,7,1.143,2.831,12
kaist,5,0,5,0.714,2.323,26
레노버,3,0,3,0.571,1.383,13
수율,3,1,2,0.571,1.383,5
퀄컴,2,0,2,0.286,1.117,10
맥북,3,0,3,0.857,1.113,26
amd,2,0,2,0.429,0.95,12
파나소닉,9,0,9,1.286,3.615,9
모바일,5,1,4,1.571,1.521,31
레노버,4,3,1,1.143,1.381,14
필립스,2,0,2,0.286,1.117,2
에릭슨,2,0,2,0.286,1.117,2
