term,cur,prev,diff,total,ma7,z_like
엔비디아,5,11,-6,215,18.429,-2.537
구글,4,1,3,120,1.429,1.171
lg전자,4,2,2,282,9.857,-1.415
tv,4,12,-8,256,10.857,-1.597
레노버,2,3,-1,65,2.714,-0.27
노트북,2,0,2,114,4.286,-0.744
삼성전자,2,8,-6,526,13.429,-2.45
생산능력,1,0,1,2,0.286,0.465
스마트폰,1,2,-1,94,1.143,-0.069
맥북,1,4,-3,22,1.286,-0.134
sk하이닉스,1,0,1,47,1.571,-0.254
요가,1,1,0,13,1.857,-0.363
공급망,1,1,0,53,2.0,-0.414
lg디스플레이,1,3,-2,71,2.286,-0.512
xr,1,1,0,92,4.0,-1.0
애플,1,7,-6,155,5.143,-1.268
디스플레이,1,5,-4,179,5.571,-1.36
