term,cur,prev,diff,total,ma7,z_like
삼성디스플레이,13,2,11,80,4.429,2.761
레노버,11,0,11,92,3.286,2.743
asus,7,2,5,22,1.286,2.678
응답속도,6,1,5,7,1.0,2.5
갤럭시,5,2,3,240,2.429,1.005
bmw,3,3,0,14,1.286,0.803
tv,7,2,5,278,4.857,0.669
원익ips,1,0,1,3,0.143,0.622
xr,5,2,3,120,3.286,0.609
카카오,1,0,1,11,0.286,0.465
벤츠,1,1,0,18,0.286,0.465
올레드,1,0,1,9,0.429,0.345
오포,1,0,1,14,0.429,0.345
boe,1,0,1,23,0.714,0.155
공급망,1,0,1,36,0.857,0.074
퀄컴,3,0,3,54,2.857,0.053
구글,1,1,0,49,1.0,0.0
스마트폰,2,0,2,116,2.429,-0.168
tcl,1,1,0,67,1.429,-0.195
모바일,2,1,1,62,2.714,-0.27
vr,3,3,0,44,3.857,-0.289
디스플레이,5,3,2,269,8.0,-0.784
