org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
-OLED,1,5,1,3,4,4,6,9,7,3,5,1,2,2
0.03ms,3,3,5,5,2,4,5,5,5,1,1,1,3,1
000m2,4,3,4,6,3,3,0,4,4,1,3,3,1,1
1.8조,6,5,5,5,3,6,2,3,6,4,6,5,2,2
10년간,2,2,2,3,5,4,7,4,8,4,3,1,1,2
11만5000원으로,3,4,1,0,3,3,3,4,2,4,2,2,2,2
11시55분,0,0,0,0,0,0,6,6,0,12,0,0,0,60
13개,2,2,1,0,1,1,1,2,2,2,1,0,1,10
19개,1,2,3,0,2,2,1,2,2,2,1,1,0,4
1분기부터,3,3,3,5,6,5,1,3,3,2,5,4,2,0
1억3,0,1,2,3,2,3,2,3,2,8,3,1,1,2
1위를,0,1,2,2,1,2,1,2,1,8,2,1,0,2
1조8천억,6,5,5,5,3,6,2,3,6,4,6,5,2,2
2.4B,0,0,2,1,0,0,0,0,1,0,0,0,0,0
200만,1,1,3,5,3,3,3,5,5,2,3,1,5,2
2025년09월30일,0,0,0,0,0,0,6,6,0,12,0,0,0,60
202개와,0,1,2,3,2,3,2,3,2,7,3,1,1,2
2030년에는,3,5,3,8,4,4,3,3,3,2,2,1,3,1
20만명,4,2,1,0,0,0,1,0,1,0,0,1,2,0
20호실,1,0,2,0,0,0,0,0,1,0,0,0,0,1
2560x1440,3,3,5,5,2,4,5,5,5,1,1,1,3,1
2o,0,0,3,3,1,1,1,1,2,0,0,0,1,0
2oo,0,0,2,1,0,0,0,0,1,0,0,0,0,0
2세에,3,2,0,4,1,1,1,3,2,3,1,0,1,2
2열,1,2,3,3,3,4,2,3,5,0,1,2,2,0
2차전지,2,6,6,3,7,6,2,4,10,2,8,3,3,1
300은,1,1,2,5,1,1,1,1,1,1,1,0,0,0
32B,0,0,2,1,0,0,0,0,1,0,0,0,0,0
3LCD,3,2,4,1,5,3,3,0,4,0,3,1,2,1
3a,0,0,2,1,0,0,0,0,1,0,0,0,0,0
3열,3,3,4,4,5,6,6,4,6,2,4,5,3,1
3일간의,2,4,4,4,0,0,1,0,4,2,2,3,2,1
3주,1,2,3,0,2,2,1,2,2,2,1,1,0,4
455QA는,1,4,4,2,4,5,2,4,4,0,5,4,1,0
479만202개와,0,1,2,3,2,3,2,3,2,8,3,1,1,2
4K,6,2,3,5,3,3,5,5,5,1,4,0,3,0
4o,0,0,2,1,0,0,0,0,1,0,0,0,0,0
4기,3,2,1,0,2,2,0,3,2,1,1,1,0,3
500니트,0,2,0,0,2,1,0,2,0,0,1,0,0,0
50만원으로,3,4,1,0,3,3,3,4,2,4,2,2,2,2
5는,3,3,4,4,5,6,6,4,6,2,4,5,3,1
653개를,0,1,2,3,2,3,2,3,2,7,3,1,1,2
7.8B,0,0,2,1,0,0,0,0,1,0,0,0,0,0
7개월,4,2,1,0,0,0,1,0,1,0,0,1,2,0
8.6G,3,5,4,2,7,10,1,5,4,0,4,2,5,0
8.6th,0,0,2,3,1,1,2,2,3,0,0,0,1,0
8.6세대,14,20,16,9,25,31,13,18,20,7,19,7,24,2
8세대급,6,10,7,4,14,20,2,12,7,2,10,3,10,0
8시,1,0,2,0,0,0,0,0,1,0,0,0,0,1
9900원,1,0,0,0,0,0,0,1,1,0,1,1,1,1
A5,1,2,3,3,3,4,2,3,5,0,1,2,2,0
A5는,1,2,3,3,3,4,2,3,5,0,1,2,2,0
A5의,1,2,3,3,3,4,2,3,5,0,1,2,2,0
AHC.,0,0,2,2,0,0,0,0,1,0,0,0,0,0
AI가,5,3,10,3,4,4,1,2,6,2,4,4,2,2
AI는,5,3,10,3,4,4,1,2,6,2,4,4,2,2
AI를,9,8,18,5,10,9,4,5,11,5,9,11,6,6
AI에,5,3,10,3,4,4,1,2,6,2,4,4,2,2
AI의,5,3,10,3,4,4,1,2,6,2,4,4,2,2
AMD,0,0,1,2,1,1,1,1,1,0,0,0,1,0
AOI,2,6,6,3,7,6,2,4,10,2,8,3,3,1
AP,2,2,6,2,4,3,0,0,7,0,4,5,1,0
AP시스템,15,21,15,8,23,35,5,20,15,7,17,6,16,2
AP시스템은,12,16,12,6,16,25,4,13,12,5,11,5,11,2
AP시스템의,3,5,3,2,7,10,1,6,3,1,5,1,5,0
AP시스템이,8,10,8,4,9,15,3,9,7,5,7,4,6,2
AR+AI,3,5,6,4,4,3,2,1,1,5,5,1,1,1
AR스마트글래스,3,5,6,4,4,3,2,1,1,5,5,1,1,1
AR스마트글래스가,3,5,6,4,4,3,2,1,1,5,5,1,1,1
AR스마트글래스의,3,5,6,4,4,3,2,1,1,5,5,1,1,1
ASME,2,0,0,2,0,0,0,0,1,0,3,2,0,2
ASME-N,2,0,0,2,0,0,0,0,1,0,3,2,0,2
ASUS,3,3,5,5,2,4,5,5,5,1,1,1,3,1
Alt,6,2,2,3,2,2,4,4,4,1,4,0,2,0
America,2,2,6,6,3,2,1,2,3,3,3,5,0,2
Apple,2,4,4,4,0,0,1,0,4,2,2,3,2,1
Aura,3,3,5,5,2,4,5,5,5,1,1,1,3,1
B12,3,5,3,1,8,7,3,4,4,1,4,1,3,0
B16,5,5,3,4,5,6,4,4,5,4,5,2,8,1
B2B,4,3,4,6,3,3,0,4,4,1,3,3,1,1
BMW,6,6,6,10,12,10,2,6,6,4,10,8,4,0
BOE,11,18,16,12,23,23,13,17,26,9,21,8,16,3
BOE가,2,7,3,4,6,7,8,12,11,5,9,3,3,3
BOE는,1,2,2,1,2,3,2,3,4,2,4,2,1,1
BOE를,1,2,2,1,2,3,2,3,4,2,4,2,1,1
BOE의,2,7,3,4,6,7,8,12,11,5,9,3,3,3
BTS,2,2,2,1,1,2,1,1,2,3,1,1,1,0
BYD,8,8,11,8,11,9,5,7,11,5,15,13,5,4
BenQ,6,2,2,3,2,2,4,4,4,1,4,0,2,0
CCC,5,5,6,5,5,5,4,5,7,3,10,6,5,3
CEO,4,5,10,4,6,5,3,3,6,3,5,7,4,4
CEO가,2,4,4,4,0,0,1,0,4,2,2,3,2,1
CEO와,4,5,8,2,6,5,3,3,5,3,5,7,4,4
CES,2,4,6,1,6,5,7,3,7,1,4,3,6,1
CJ그룹은,3,3,4,4,5,6,6,4,6,2,4,5,3,1
CLENOX는,2,0,1,7,1,1,1,0,0,1,1,1,0,0
CORE,2,6,6,3,7,6,2,4,10,2,8,3,3,1
CPO,2,1,4,1,0,1,2,0,2,1,1,0,1,0
CPO가,2,1,4,1,0,1,2,0,2,1,1,0,1,0
CSOT,8,10,7,6,12,16,5,9,9,4,9,4,13,1
CTF,0,0,2,1,0,0,0,0,1,0,2,2,0,0
Care,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Center,2,2,6,6,3,2,1,2,3,3,3,5,0,2
Chinese,0,0,2,3,1,1,2,2,3,0,0,0,1,0
DCI-P3,6,2,2,3,2,2,4,4,4,1,4,0,2,0
DDIC,4,4,9,4,7,5,1,3,4,1,5,3,3,2
DDM,2,6,6,3,7,6,2,4,10,2,8,3,3,1
DEFCON,0,0,2,1,0,0,0,0,1,0,2,2,0,0
DIVE,1,1,3,5,3,3,3,5,5,2,3,1,5,2
DP,6,2,2,3,2,2,4,4,4,1,4,0,2,0
DRAM,3,4,1,0,3,3,3,4,2,4,2,2,2,2
DRAM이,2,4,1,0,3,3,1,3,2,3,2,2,2,0
Deep,0,0,2,1,0,0,0,0,1,0,0,0,0,0
Display,0,0,2,3,1,1,2,2,3,0,0,0,1,0
D램,3,3,1,0,2,2,2,3,1,4,1,1,1,2
EB,6,4,6,4,6,5,5,8,7,1,5,2,4,3
EG110,6,6,6,2,4,8,2,9,4,0,8,1,0,0
EGM,6,6,6,2,4,8,2,9,4,0,8,1,0,0
ELA,13,21,15,8,28,40,4,22,16,3,19,6,20,0
ESG,4,3,5,6,4,3,0,4,6,1,4,3,1,1
ETF,4,2,1,0,0,0,1,0,1,0,0,1,2,0
EV,6,6,6,10,12,10,2,6,6,4,10,8,4,0
EV9은,3,3,4,4,5,6,6,4,6,2,4,5,3,1
EVA는,6,8,1,0,4,4,4,8,5,8,4,0,4,40
EXAONE,0,0,2,1,0,0,0,0,1,0,0,0,0,0
Electronics,2,2,6,6,3,2,1,2,3,3,3,5,0,2
FD125와,6,6,6,2,4,8,2,9,4,0,8,1,0,0
GV90은,6,6,6,10,12,10,2,6,6,4,10,8,4,0
GV90의,6,6,6,10,12,10,2,6,6,4,10,8,4,0
HATCI,2,2,6,6,3,2,1,2,3,3,3,5,0,2
HBM,13,16,9,1,15,14,7,12,11,12,11,11,8,4
HB테크놀러지,2,6,6,3,7,6,2,4,10,2,8,3,3,1
HB테크놀러지가,2,6,6,3,7,6,2,4,10,2,8,3,3,1
HB테크놀러지는,2,6,6,3,7,6,2,4,10,2,8,3,3,1
HB테크놀러지의,2,6,6,3,7,6,2,4,10,2,8,3,3,1
HDMI,9,5,7,8,4,6,9,9,9,2,5,1,5,1
HDR,6,2,2,3,2,2,4,4,4,1,4,0,2,0
HUD,1,4,4,2,4,5,2,4,4,0,5,4,1,0
He,4,1,6,7,3,1,3,2,4,1,2,1,3,0
Health,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Household,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Hugging,0,0,2,1,0,0,0,0,1,0,0,0,0,0
Hyundai,2,2,6,6,3,2,1,2,3,3,3,5,0,2
IP,1,1,3,5,3,3,3,5,5,2,3,1,5,2
IPO,6,5,5,5,3,6,2,3,6,4,6,5,2,2
IT,8,8,12,5,12,10,12,11,14,2,9,5,10,4
ITC,1,2,2,1,2,3,2,3,4,2,4,2,1,1
IT용,7,9,9,5,11,11,11,7,12,5,9,5,14,2
IWB-F86N1,6,6,6,2,4,8,2,9,4,0,8,1,0,0
Il,4,1,6,7,3,1,3,2,4,1,2,1,3,0
In,0,0,2,1,0,0,0,0,1,0,0,0,0,0
Inc.,2,2,6,6,3,2,1,2,3,3,3,5,0,2
JDM,2,1,3,1,3,3,2,5,8,3,3,2,1,2
JDM은,2,1,3,1,3,3,2,5,8,3,3,2,1,2
JDM을,2,1,3,1,3,3,2,5,8,3,3,2,1,2
JG,6,6,6,10,12,10,2,6,6,4,10,8,4,0
Jang-wook,4,1,6,7,3,1,3,2,4,1,2,1,3,0
Jeong,0,0,2,3,1,1,2,2,3,0,0,0,1,0
KAIST,1,0,2,0,0,0,0,0,1,0,0,0,0,1
KOSPI,4,5,8,2,6,5,3,3,5,3,5,7,4,4
KOTRA,5,5,6,5,5,5,4,5,7,3,10,6,5,3
KT,5,1,4,1,1,3,0,0,4,1,3,2,0,0
KT의,5,1,4,1,1,3,0,0,4,1,3,2,0,0
Kiehl,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Korea,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Korean,0,0,2,1,0,0,0,0,1,0,0,0,0,0
K콘텐츠,2,2,2,1,1,2,1,1,2,3,1,1,1,0
LCD,3,7,3,6,9,8,13,13,15,7,8,2,3,4
LCoS,0,4,9,8,8,8,2,4,8,0,8,0,2,0
LED,11,18,22,29,19,17,9,15,16,7,16,16,7,5
LEDoS,4,4,9,4,7,5,1,3,4,1,5,3,3,2
LEDoS는,4,4,9,4,7,5,1,3,4,1,5,3,3,2
LED가,3,5,3,8,4,4,3,3,3,2,2,1,3,1
LED는,1,4,5,7,5,3,3,2,2,1,3,3,2,1
LG,4,3,10,12,4,4,2,6,11,1,3,3,2,1
LG디스플레이,25,39,30,30,40,46,49,49,54,51,37,18,29,19
LG디스플레이가,8,10,5,3,7,8,13,13,12,9,5,1,5,4
LG디스플레이는,9,11,11,8,16,15,18,11,20,9,12,6,15,4
LG디스플레이에,2,6,0,3,4,3,5,7,6,4,3,0,3,2
LG디스플레이의,9,15,6,8,15,14,25,25,25,13,12,2,7,8
LG이노텍,0,2,4,5,3,5,3,5,3,15,5,2,1,4
LG이노텍은,2,2,6,2,4,3,0,0,7,0,4,5,1,0
LG전자,29,27,29,22,28,27,14,26,33,14,29,19,15,12
LG전자가,8,6,8,6,6,9,4,8,14,7,9,7,3,4
LG전자는,8,6,8,6,6,9,4,8,14,7,9,7,3,4
LG화학은,5,5,6,1,7,6,1,2,6,1,6,6,3,0
LLO,3,5,4,2,7,10,1,5,4,0,4,2,5,0
LTPO,6,12,7,3,17,18,4,11,8,1,9,3,8,0
LTPS,6,10,7,3,15,17,4,9,8,1,8,3,8,0
Labs,4,1,6,7,3,1,3,2,4,1,2,1,3,0
Laser,6,10,7,4,14,20,2,12,7,2,10,3,10,0
Laurent,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Lee,4,1,10,12,4,2,5,4,8,1,2,1,4,0
Lens,5,5,6,5,5,5,4,5,7,3,10,6,5,3
MBC프로덕션,1,0,2,0,0,0,0,0,1,0,0,0,0,1
MISC,0,0,5,2,3,1,0,1,2,0,3,2,0,1
MMORPG,0,1,1,3,1,1,0,0,1,0,2,2,2,0
MOU,0,0,1,0,1,0,0,0,2,0,1,0,0,0
MWC,2,4,6,1,6,5,7,3,7,1,4,3,6,1
MagicINFO,2,2,6,6,3,2,1,2,3,3,3,5,0,2
Mediheal,0,0,2,2,0,0,0,0,1,0,0,0,0,0
Micro-LED,5,10,9,15,10,7,7,5,5,3,5,3,5,2
Mode,6,2,2,3,2,2,4,4,4,1,4,0,2,0
Motors,2,2,6,6,3,2,1,2,3,3,3,5,0,2
MyV,4,1,6,7,3,1,3,2,4,1,2,1,3,0
NAND,3,4,1,0,3,3,3,4,2,4,2,2,2,2
NAND가,2,4,1,0,3,3,1,3,2,3,2,2,2,0
NB,3,2,1,15,1,2,2,2,0,2,2,3,0,1
NFL,1,1,0,1,0,0,0,0,1,0,0,1,1,0
ODM,4,1,6,7,3,1,3,2,4,1,2,1,3,0
OEM,4,1,6,7,3,1,3,2,4,1,2,1,3,0
OEM과의,3,3,5,3,6,4,1,2,4,2,5,7,0,1
OLED,85,126,113,117,161,170,108,145,166,56,129,57,106,31
OLED를,5,7,5,4,13,11,10,8,12,5,7,2,4,2
OSRAM,1,4,4,2,4,5,2,4,4,0,5,4,1,0
OSRAM은,1,4,4,2,4,5,2,4,4,0,5,4,1,0
OTT,0,0,2,1,0,0,0,0,1,0,0,0,0,0
Or,0,0,2,2,0,0,0,0,1,0,0,0,0,0
