term,cur,prev,diff,total,ma7,z_like
lg디스플레이,17,2,15,77,4.857,3.79
엔비디아,16,1,15,187,3.429,4.408
oled,13,10,3,331,9.857,0.759
폴더블,11,11,0,320,10.857,0.033
디스플레이,10,7,3,204,4.714,1.667
lcd,9,1,8,31,2.143,2.783
삼성디스플레이,7,1,6,90,3.0,1.464
노트북,7,8,-1,140,4.286,0.884
아이폰,5,3,2,250,9.429,-1.088
boe,4,0,4,23,0.714,1.781
sk하이닉스,4,2,2,55,2.286,0.682
삼성전자,4,5,-1,427,4.286,-0.093
xr,4,7,-3,91,4.571,-0.182
모니터,3,6,-3,164,3.571,-0.198
sharp,2,0,2,8,0.429,0.95
ar,2,2,0,56,1.429,0.26
tv,2,1,1,194,5.286,-0.996
애플,2,11,-9,408,12.857,-2.368
픽셀,1,0,1,2,0.143,0.622
한화시스템,1,0,1,2,0.143,0.622
uhd,1,0,1,1,0.143,0.622
amd,1,0,1,19,0.286,0.465
fhd,1,0,1,17,0.286,0.465
dell,1,0,1,13,0.286,0.465
현대모비스,1,0,1,10,0.286,0.465
양산,1,1,0,29,0.429,0.345
하이센스,1,0,1,13,0.429,0.345
etri,1,0,1,6,0.429,0.345
bmw,1,0,1,15,0.571,0.244
레노버,1,1,0,125,0.714,0.155
카카오,1,0,1,31,0.714,0.155
인텔,1,1,0,27,1.0,0.0
tcl,1,1,0,63,1.429,-0.195
hp,1,0,1,33,1.429,-0.195
구글,1,7,-6,60,1.571,-0.254
공급망,1,2,-1,57,2.429,-0.558
갤럭시,1,3,-2,125,3.0,-0.732
lg화학,1,1,0,27,3.571,-0.89
기아,1,1,0,47,5.286,-1.299
lg전자,1,16,-15,303,6.0,-1.449
