--- Sentiment Scaling Log (2026-05-25) ---
Topic 0 (Panel_Manufacturer): score_raw=0.4993 -> score_final=0.4993
Topic 0 (Panel_Manufacturer): score_raw=0.5042 -> score_final=0.5042
Topic 0 (Panel_Manufacturer): score_raw=0.4958 -> score_final=0.4958
Topic 0 (Panel_Manufacturer): score_raw=0.5025 -> score_final=0.5025
Topic 0 (Panel_Manufacturer): score_raw=0.5077 -> score_final=0.5077
Topic 0 (Panel_Manufacturer): score_raw=0.5044 -> score_final=0.5044
Topic 0 (Panel_Manufacturer): score_raw=0.5168 -> score_final=0.5168
Topic 0 (Panel_Manufacturer): score_raw=0.4958 -> score_final=0.4958
Topic 0 (Panel_Manufacturer): score_raw=0.5268 -> score_final=0.5268
Topic 0 (Panel_Manufacturer): score_raw=0.5181 -> score_final=0.5181
Topic 0 (Panel_Manufacturer): score_raw=0.5047 -> score_final=0.5047
Topic 0 (Panel_Manufacturer): score_raw=0.5000 -> score_final=0.5000
Topic 0 (Panel_Manufacturer): score_raw=0.5063 -> score_final=0.5063
Topic 0 (Panel_Manufacturer): score_raw=0.5043 -> score_final=0.5043
Topic 0 (Panel_Manufacturer): score_raw=0.5060 -> score_final=0.5060
Topic 0 (Panel_Manufacturer): score_raw=0.5160 -> score_final=0.5160
Topic 0 (Panel_Manufacturer): score_raw=0.5150 -> score_final=0.5150
Topic 0 (Panel_Manufacturer): score_raw=0.5091 -> score_final=0.5091
Topic 0 (Panel_Manufacturer): score_raw=0.5019 -> score_final=0.5019
Topic 0 (Panel_Manufacturer): score_raw=0.5223 -> score_final=0.5223
Topic 0 (Panel_Manufacturer): score_raw=0.5074 -> score_final=0.5074
Topic 0 (Panel_Manufacturer): score_raw=0.5026 -> score_final=0.5026
Topic 0 (Panel_Manufacturer): score_raw=0.5074 -> score_final=0.5074
Topic 0 (Panel_Manufacturer): score_raw=0.5137 -> score_final=0.5137
Topic 0 (Panel_Manufacturer): score_raw=0.5066 -> score_final=0.5066
Topic 0 (Panel_Manufacturer): score_raw=0.5024 -> score_final=0.5024
Topic 0 (Panel_Manufacturer): score_raw=0.5100 -> score_final=0.5100
Topic 0 (Panel_Manufacturer): score_raw=0.5013 -> score_final=0.5013
Topic 0 (Panel_Manufacturer): score_raw=0.5108 -> score_final=0.5108
Topic 0 (Panel_Manufacturer): score_raw=0.5077 -> score_final=0.5077
Topic 0 (Panel_Manufacturer): score_raw=0.5158 -> score_final=0.5158
Topic 0 (Panel_Manufacturer): score_raw=0.5020 -> score_final=0.5020
Topic 0 (Panel_Manufacturer): score_raw=0.4925 -> score_final=0.4925
Topic 0 (Panel_Manufacturer): score_raw=0.5041 -> score_final=0.5041
Topic 0 (Panel_Manufacturer): score_raw=0.5094 -> score_final=0.5094
Topic 0 (Panel_Manufacturer): score_raw=0.5085 -> score_final=0.5085
Topic 0 (Panel_Manufacturer): score_raw=0.5103 -> score_final=0.5103
Topic 0 (Panel_Manufacturer): score_raw=0.4983 -> score_final=0.4983
Topic 0 (Panel_Manufacturer): score_raw=0.5021 -> score_final=0.5021
Topic 0 (Panel_Manufacturer): score_raw=0.5072 -> score_final=0.5072
Topic 0 (Panel_Manufacturer): score_raw=0.5060 -> score_final=0.5060
Topic 0 (Panel_Manufacturer): score_raw=0.5094 -> score_final=0.5094
Topic 0 (Panel_Manufacturer): score_raw=0.5090 -> score_final=0.5090
Topic 0 (Panel_Manufacturer): score_raw=0.4985 -> score_final=0.4985
Topic 0 (Panel_Manufacturer): score_raw=0.5100 -> score_final=0.5100
Topic 0 (Panel_Manufacturer): score_raw=0.5125 -> score_final=0.5125
