term,cur,prev,diff,ma7,z_like,total
디스플레이,26,14,12,10.286,3.735,205
etri,9,0,9,1.286,3.615,26
oled,20,4,16,7.429,3.374,258
sk하이닉스,9,1,8,3.286,2.032,87
메타,4,3,1,1.0,1.5,33
amd,3,0,3,0.571,1.383,10
비보,2,0,2,0.429,0.95,7
카카오,2,1,1,0.429,0.95,10
tv,8,1,7,5.0,0.927,279
구글,3,1,2,1.143,0.898,48
폴더블,7,16,-9,4.286,0.884,107
게이밍모니터,2,0,2,0.571,0.814,13
양산,3,2,1,1.286,0.803,37
인텔,2,0,2,0.714,0.697,34
모니터,6,7,-1,4.0,0.667,92
8k,1,0,1,0.143,0.622,1
qled,1,0,1,0.143,0.622,1
노키아,1,0,1,0.143,0.622,1
잉크젯,1,0,1,0.143,0.622,3
패드,1,0,1,0.143,0.622,1
편광판,1,0,1,0.143,0.622,1
프로아트,1,0,1,0.143,0.622,12
픽셀,1,0,1,0.143,0.622,1
boe,2,1,1,0.857,0.593,38
엔비디아,4,4,0,2.571,0.549,137
기아,3,4,-1,1.857,0.484,19
고효율,1,0,1,0.286,0.465,4
tsmc,1,1,0,0.286,0.465,17
hp,2,2,0,1.143,0.414,23
벤큐,1,1,0,0.429,0.345,8
현대모비스,1,2,-1,0.429,0.345,6
아이폰,3,0,3,2.286,0.284,75
레노버,3,1,2,2.286,0.284,79
csot,1,0,1,0.714,0.155,9
태블릿,1,0,1,0.714,0.155,16
sharp,1,1,0,0.714,0.155,18
모바일,1,2,-1,0.857,0.074,28
lg전자,7,5,2,6.857,0.039,282
애플,14,9,5,14.143,-0.03,291
4k,1,6,-5,1.143,-0.069,14
ar,2,1,1,2.429,-0.168,46
xr,1,3,-2,1.571,-0.254,145
삼성전자,6,14,-8,7.286,-0.348,384
갤럭시,1,6,-5,2.143,-0.464,52
맥북,2,0,2,3.429,-0.501,44
노트북,1,1,0,2.286,-0.512,104
아이패드,1,0,1,3.0,-0.732,29
스마트폰,1,5,-4,3.143,-0.773,77
lg디스플레이,1,5,-4,3.571,-0.89,119
