org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
HBM4,9,5,4,3,4,9,2,5,5,5,8,5
HB테크놀러지,6,7,2,3,2,0,1,5,2,6,2,1
HB테크놀러지가,6,7,2,3,2,0,1,5,2,6,2,1
HB테크놀러지는,6,7,2,3,2,0,1,5,2,6,2,1
HB테크놀러지의,6,7,2,3,2,0,1,5,2,6,2,1
HDMI,10,8,9,2,7,0,2,8,5,7,7,10
HDR,6,5,4,1,4,0,1,4,3,3,3,7
HERO,5,6,4,0,3,1,1,3,2,2,2,7
HJ중공업,6,6,4,3,3,6,2,4,2,5,1,0
HUD,8,5,3,0,3,0,0,3,3,5,1,3
Harman,6,6,4,3,3,6,2,4,2,5,1,0
He,4,5,8,2,3,1,1,6,3,1,2,2
IP,5,3,4,3,7,1,2,4,2,3,3,3
IPO,4,1,3,3,2,3,0,3,1,2,4,3
IPO는,2,3,3,4,0,2,0,5,1,2,3,3
IT,17,11,7,6,8,11,5,12,8,11,10,9
ITC,4,3,1,2,2,0,1,0,2,4,1,0
IT용,12,9,4,4,7,2,3,9,6,14,4,2
IWB-F86N1,8,13,2,0,2,0,0,11,2,10,0,10
Il,4,5,8,2,3,1,1,6,3,1,2,2
JG,12,10,10,2,4,2,0,6,6,10,14,2
Jang-wook,4,5,8,2,3,1,1,6,3,1,2,2
Jeong,2,1,3,0,1,0,0,3,2,1,1,0
KAPEX는,3,1,2,0,0,0,0,4,0,0,1,1
KIST,3,1,2,0,0,0,0,4,0,0,1,1
KOTRA,6,10,6,4,6,1,1,6,3,8,1,5
K콘텐츠,2,1,2,3,0,3,0,3,0,2,0,0
LCD,18,15,10,6,6,6,4,9,6,12,11,9
LCoS,10,16,5,2,6,0,0,9,2,8,2,0
LED,46,35,32,5,21,3,4,24,24,23,8,16
LEDoS,5,6,3,2,4,3,2,6,1,4,1,1
LEDoS는,5,6,3,2,4,3,2,6,1,4,1,1
LED가,9,4,7,2,5,1,1,2,7,3,2,1
LED는,6,6,6,2,5,1,1,5,7,2,1,1
LG,14,15,16,1,5,1,2,15,5,6,3,11
LG디스플레이,62,40,32,54,26,32,21,39,23,53,26,8
LG디스플레이가,7,3,5,7,4,8,2,6,1,6,2,0
LG디스플레이는,20,13,8,8,9,5,4,12,8,19,8,3
LG디스플레이에,5,3,4,4,4,6,2,2,2,4,3,1
LG디스플레이의,18,11,9,10,7,10,5,9,5,14,11,2
LG이노텍,10,5,5,21,2,3,6,6,5,6,2,0
LG전자,41,36,34,18,20,18,9,43,12,19,19,33
LG전자가,4,1,3,3,2,3,0,3,1,2,4,3
LG전자는,12,7,9,9,3,6,0,13,3,5,8,13
LG전자의,6,4,6,7,2,5,0,8,2,4,7,6
LG화학,6,4,3,0,1,3,0,5,1,4,1,2
LG화학은,6,4,3,0,1,3,0,5,1,4,1,2
LG화학이,6,4,3,0,1,3,0,5,1,4,1,2
LLO,6,5,1,0,2,2,0,3,1,9,1,0
LTPO,13,11,4,1,7,2,0,5,2,18,3,0
LTPS,12,10,4,1,6,2,0,5,2,16,3,0
Labs,4,5,8,2,3,1,1,6,3,1,2,2
Laser,10,8,3,2,4,6,0,9,2,18,4,0
Lee,6,6,11,2,4,1,1,9,5,2,3,2
Lens,6,10,6,4,6,1,1,6,3,8,1,5
M5,5,2,4,1,3,2,0,3,2,2,1,0
M6,5,2,4,1,3,2,0,3,2,2,1,0
MAXIMUS,5,6,4,0,3,1,1,3,2,2,2,7
MK시그널,1,0,2,1,4,1,0,1,0,0,0,0
MRO,1,2,1,2,2,1,0,2,2,1,1,0
MTN,1,2,1,2,2,1,0,2,2,1,1,0
MWC,6,5,2,1,3,1,1,5,2,6,2,1
Micro-LED,15,10,12,4,8,2,2,7,13,6,3,2
Mode,6,5,4,1,4,0,1,4,3,3,3,7
MyV,4,5,8,2,3,1,1,6,3,1,2,2
NAND,10,8,6,6,4,16,4,6,5,8,2,2
NAND가,2,2,1,2,1,9,1,3,1,3,0,1
NAVER,6,6,4,3,3,6,2,4,2,5,1,0
NB,7,2,14,4,6,0,0,3,6,1,2,0
NH투자증권을,6,6,4,3,3,6,2,4,2,5,1,0
News1,1,0,1,1,0,2,6,2,0,1,0,0
ODM,4,5,8,2,3,1,1,6,3,1,2,2
OEM,4,5,8,2,3,1,1,6,3,1,2,2
OEM과의,5,6,2,2,1,1,1,3,1,5,1,1
OLED,203,154,114,65,106,62,29,118,85,169,91,39
OLED를,14,9,7,5,6,3,1,5,3,12,6,1
OSRAM,8,5,3,0,3,0,0,3,3,5,1,3
OSRAM은,17,12,7,0,6,0,0,8,5,10,2,7
P-Complex,4,1,7,2,3,0,0,2,3,0,1,0
PC,6,4,6,3,13,1,2,5,3,3,4,4
PCB,3,6,3,3,1,4,2,7,2,3,0,2
PCB를,3,6,3,3,1,4,2,7,2,3,0,2
PCIe,5,6,4,0,3,1,1,3,2,2,2,7
PC를,5,6,4,0,3,1,1,3,2,2,2,7
PD,6,5,4,1,4,0,1,4,3,3,3,7
PECVD,5,4,1,1,2,3,0,4,1,9,2,0
PID,6,4,3,0,1,3,0,5,1,4,1,2
PID는,6,4,3,0,1,3,0,5,1,4,1,2
PLPM7,17,12,7,0,6,0,0,8,5,10,2,7
PS,12,4,5,4,0,8,39,1,1,5,4,0
Pin,19,10,35,9,15,0,2,9,14,3,4,2
Power,17,12,7,0,6,0,0,8,5,10,2,7
President,2,1,3,0,1,0,0,3,2,1,1,0
ProArt,6,5,4,1,4,0,1,4,3,3,3,7
QD-OLED,9,8,7,3,4,2,3,7,4,9,9,4
QHD,4,3,5,1,3,0,1,4,2,4,4,3
ROG,11,10,11,1,7,1,2,8,5,7,8,10
RPG,5,3,4,3,7,1,2,4,2,3,3,3
RS,5,6,4,0,3,1,1,3,2,2,2,7
RTX,5,6,4,0,3,1,1,3,2,2,2,7
Regarding,2,1,3,0,1,0,0,3,2,1,1,0
Respect,2,1,1,2,1,1,2,2,1,0,0,3
S23은,7,5,3,1,4,1,1,2,4,2,1,4
S25,1,3,0,0,0,0,1,1,0,1,0,1
SCAN,6,7,2,3,2,0,1,5,2,6,2,1
SDC,6,6,4,3,3,6,2,4,2,5,1,0
SID,6,5,2,1,3,1,1,5,2,6,2,1
SK증권,2,1,2,3,0,3,0,3,0,2,0,0
SK하이닉스,29,14,13,13,4,29,67,10,8,15,7,3
SK하이닉스가,9,5,4,3,4,9,2,5,5,5,8,5
SK하이닉스는,9,5,4,3,4,9,2,5,5,5,8,5
SK하이닉스의,12,6,5,4,4,11,12,5,6,6,9,5
SK하이닉스처럼,7,2,3,3,0,6,29,2,0,3,3,0
SNS,3,3,2,1,2,0,0,3,0,1,0,0
STAR,5,3,4,3,7,1,2,4,2,3,3,3
SUV,21,16,15,5,9,2,2,14,8,15,20,6
Samsung,2,1,3,0,1,0,0,3,2,1,1,0
Shot,19,10,35,9,15,0,2,9,14,3,4,2
Silicon,15,23,7,4,9,0,0,12,3,11,3,0
Strix,6,4,7,1,4,0,1,5,3,5,6,3
Sync,4,3,5,1,3,0,1,4,2,4,4,3
TDI,6,7,2,3,2,0,1,5,2,6,2,1
TFT,6,5,3,1,4,0,0,2,1,7,2,0
TFT-LCD,6,10,6,4,6,1,1,6,3,8,1,5
TFT가,6,5,3,1,4,0,0,2,1,7,2,0
TSMC,0,0,0,2,0,2,4,2,0,0,0,0
Technology,6,10,6,4,6,1,1,6,3,8,1,5
The,1,0,2,0,1,0,0,1,2,0,0,0
Type-C,6,5,4,1,4,0,1,4,3,3,3,7
U-20,2,2,0,1,2,0,1,1,1,1,0,1
U20,2,2,0,1,2,0,1,1,1,1,0,1
UHD,6,5,4,1,4,0,1,4,3,3,3,7
USB,10,8,9,2,7,0,2,8,5,7,7,10
V-Labs,4,5,8,2,3,1,1,6,3,1,2,2
V5,23,18,5,3,8,10,0,16,5,36,6,1
VENGEANCE,5,6,4,0,3,1,1,3,2,2,2,7
VESA,10,8,9,2,7,0,2,8,5,7,7,10
VLabs,4,5,8,2,3,1,1,6,3,1,2,2
VR헤드셋,6,5,6,4,2,4,1,5,2,3,2,2
Vegalas,8,5,3,0,3,0,0,3,3,5,1,3
VegalasTM,9,7,4,0,3,0,0,5,2,5,1,4
Visionox,18,14,4,2,6,7,0,12,4,27,4,1
WOLED,5,5,2,2,1,2,2,3,2,5,5,1
Wall,1,0,2,0,1,0,0,1,2,0,0,0
We,2,1,3,0,1,0,0,3,2,1,1,0
X7,12,10,10,2,4,2,0,6,6,10,14,2
XG27ACDMS,2,1,2,0,1,0,0,1,1,1,2,0
XG27AQDPG는,4,3,5,1,3,0,1,4,2,4,4,3
XG32UCWG,2,1,2,0,1,0,0,1,1,1,2,0
Z890,5,6,4,0,3,1,1,3,2,2,2,7
a-Si,6,5,1,0,2,2,0,3,1,9,1,0
about,2,1,3,0,1,0,0,3,2,1,1,0
adding,2,1,3,0,1,0,0,3,2,1,1,0
advertisement,9,5,4,3,4,9,2,5,5,5,8,5
ams,17,12,7,0,6,0,0,8,5,10,2,7
ams오스람은,9,7,4,0,3,0,0,4,2,5,1,4
and,6,6,11,2,4,1,1,9,5,2,3,2
