org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,744.13 (2%),640.38 (1%),,516.02 (3%),459.67 (1%),,,221.93 (2%),208.19 (2%),171.21 (2%),114.57 (3%)
ASE,81.77 (0%),74.89 (0%),,17.18 (0%),90.01 (0%),9.09 (0%),,27.48 (0%),18.55 (0%),20.10 (0%),
ASUS,348.36 (1%),283.77 (1%),,240.49 (2%),180.02 (1%),,,65.96 (1%),130.55 (1%),84.56 (1%),47.13 (1%)
AUO,144.98 (0%),133.30 (0%),,26.11 (0%),97.57 (0%),10.49 (0%),,46.72 (0%),28.86 (0%),22.87 (0%),
Acer,95.51 (0%),92.07 (0%),14.04 (1%),65.27 (0%),50.85 (0%),,,,24.74 (0%),19.41 (0%),21.03 (1%)
Amkor,18.55 (0%),17.18 (0%),,3.44 (0%),14.43 (0%),2.10 (0%),2.12 (0%),6.18 (0%),,2.77 (0%),
Apple,106.50 (0%),103.75 (0%),,31.61 (0%),59.78 (0%),,,32.29 (0%),34.36 (0%),20.10 (0%),20.30 (0%)
BMW,566.17 (1%),487.84 (1%),,145.67 (1%),553.81 (2%),64.34 (1%),,171.78 (1%),316.76 (3%),140.71 (2%),
BOE,898.73 (2%),805.97 (2%),,129.18 (1%),544.19 (2%),186.01 (2%),,236.36 (2%),112.69 (1%),102.59 (1%),
BYD,311.26 (1%),260.41 (1%),,70.08 (0%),307.14 (1%),51.05 (1%),,107.19 (1%),143.60 (1%),59.61 (1%),
Bosch,13.74 (0%),9.62 (0%),2.22 (0%),2.75 (0%),8.93 (0%),,,2.75 (0%),6.18 (0%),4.85 (0%),
CSOT,312.63 (1%),310.57 (1%),,33.67 (0%),176.59 (1%),85.31 (1%),,70.08 (1%),42.60 (0%),35.35 (0%),
Continental,19.24 (0%),15.12 (0%),2.22 (0%),4.12 (0%),19.93 (0%),,,7.56 (0%),6.18 (0%),5.55 (0%),
Corning,6.87 (0%),5.50 (0%),1.48 (0%),2.06 (0%),4.12 (0%),,0.71 (0%),,2.06 (0%),,1.45 (0%)
Dell,480.97 (1%),388.90 (1%),,175.21 (1%),288.58 (1%),,,104.44 (1%),119.56 (1%),111.60 (1%),90.64 (2%)
ETRI,213.00 (0%),191.02 (0%),,38.48 (0%),180.71 (1%),25.17 (0%),,79.02 (1%),40.54 (0%),40.90 (0%),
HP,561.36 (1%),455.55 (1%),,379.28 (2%),324.31 (1%),,,122.99 (1%),166.28 (1%),149.03 (2%),88.46 (2%)
Harman,101.00 (0%),105.13 (0%),,13.05 (0%),93.45 (0%),,12.70 (0%),22.67 (0%),25.42 (0%),11.09 (0%),
Innolux,113.37 (0%),92.76 (0%),,18.55 (0%),77.64 (0%),,9.88 (0%),41.91 (0%),25.42 (0%),19.41 (0%),
JDI,120.24 (0%),110.62 (0%),,13.74 (0%),74.89 (0%),14.69 (0%),,24.05 (0%),14.43 (0%),18.02 (0%),
KAIST,408.83 (1%),380.66 (1%),,117.49 (1%),335.31 (1%),,60.68 (1%),98.26 (1%),141.54 (1%),153.88 (2%),
LG디스플레이,2149.26 (5%),2044.14 (5%),,332.56 (2%),1545.99 (4%),241.96 (3%),,531.13 (4%),438.37 (4%),324.39 (4%),
LG전자,3586.00 (8%),3484.31 (8%),,1598.89 (10%),2658.41 (8%),425.87 (6%),,897.36 (7%),969.50 (8%),704.93 (8%),
LG화학,861.63 (2%),762.69 (2%),,111.31 (1%),904.23 (3%),81.82 (1%),,267.28 (2%),221.93 (2%),167.74 (2%),
Magna,4.81 (0%),2.75 (0%),,1.37 (0%),0.69 (0%),,0.71 (0%),1.37 (0%),3.44 (0%),2.08 (0%),
