semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.6923
Automotive_Display_Topic,0.7428
Automotive_Topic,0.5075
Display_Materials_Topic,0.6000
Equipment_Maker,0.9999
Flexible_Display_Topic,0.7797
Foldable_Display_Topic,0.7308
Gaming_Monitor_Topic,0.9984
IT_OLED_Topic,0.4899
MicroLED_Topic,0.4904
OLED_Topic,0.5027
Panel_Manufacturer,0.7754
Platform_Company,0.8438
Quantum_Dot_Topic,0.5788
Set_Manufacturer,0.8337
Smartphone_Display_Topic,0.8479
TV_Display_Topic,0.8286
Transparent_Display_Topic,0.7450
Uncategorized,0.4904
XR_Device_Topic,0.9999
