term,cur,prev,diff,ma7,z_like,total,date
주사율,17,0,17,2.429,5.696,18,2026-07-10
lg디스플레이,14,1,13,2.857,4.142,126,2026-07-10
sk하이닉스,14,0,14,3.857,3.422,103,2026-07-10
모니터,12,4,8,3.286,3.098,99,2026-07-10
oled,13,5,8,6.429,1.859,239,2026-07-10
갤럭시,10,11,-1,5.143,1.486,82,2026-07-10
xr,9,4,5,4.571,1.411,150,2026-07-10
스마트폰,7,6,1,3.857,1.06,93,2026-07-10
lg전자,14,9,5,9.714,1.041,307,2026-07-10
dell,2,0,2,0.429,0.95,5,2026-07-10
공급망,3,2,1,1.429,0.716,53,2026-07-10
디스플레이,12,27,-15,9.143,0.71,232,2026-07-10
boe,2,2,0,0.714,0.697,36,2026-07-10
ltpo,1,0,1,0.143,0.622,1,2026-07-10
sk온,1,0,1,0.143,0.622,1,2026-07-10
고성능,1,0,1,0.143,0.622,10,2026-07-10
설비투자,1,0,1,0.143,0.622,2,2026-07-10
수율,1,0,1,0.143,0.622,4,2026-07-10
폭스바겐,1,0,1,0.143,0.622,2,2026-07-10
삼성디스플레이,2,1,1,0.857,0.593,41,2026-07-10
오포,1,0,1,0.286,0.465,8,2026-07-10
엔비디아,4,3,1,2.857,0.425,98,2026-07-10
생산량,1,0,1,0.429,0.345,3,2026-07-10
폴더블,10,13,-3,8.714,0.325,151,2026-07-10
애플,11,12,-1,9.857,0.276,304,2026-07-10
레노버,1,0,1,0.857,0.074,48,2026-07-10
hp,1,1,0,0.857,0.074,29,2026-07-10
메타,1,1,0,0.857,0.074,29,2026-07-10
ar,1,0,1,1.0,0.0,49,2026-07-10
양산,1,3,-2,1.0,0.0,37,2026-07-10
구글,1,2,-1,1.143,-0.069,40,2026-07-10
노트북,4,2,2,4.429,-0.138,114,2026-07-10
아이폰,3,6,-3,3.857,-0.289,86,2026-07-10
삼성전자,14,28,-14,17.286,-0.637,422,2026-07-10
tv,2,13,-11,4.0,-0.667,239,2026-07-10
삼성디스플레이,20,2,18,3.571,5.685,61,2026-07-11
sk하이닉스,23,14,9,6.714,4.535,123,2026-07-11
oled,24,13,11,9.286,3.636,256,2026-07-11
선익시스템,7,0,7,1.286,2.678,23,2026-07-11
sharp,4,0,4,1.0,1.5,21,2026-07-11
tcl,4,0,4,1.0,1.5,32,2026-07-11
엔비디아,7,4,3,3.714,1.122,101,2026-07-11
asus,2,0,2,0.286,1.117,16,2026-07-11
tv,8,2,6,4.714,1.036,242,2026-07-11
dell,2,2,0,0.714,0.697,6,2026-07-11
주사율,5,17,-12,3.143,0.67,23,2026-07-11
딥엑스,1,0,1,0.143,0.622,3,2026-07-11
벤큐,1,0,1,0.143,0.622,7,2026-07-11
비보,1,0,1,0.143,0.622,7,2026-07-11
샤프,1,0,1,0.143,0.622,2,2026-07-11
