term,cur,prev,diff,ma7,z_like,total,date
사이니지,9,0,9,1.571,3.296,14,2026-05-15
엔비디아,12,5,7,3.286,3.098,92,2026-05-15
디스플레이,12,4,8,3.714,2.831,245,2026-05-15
lg전자,18,1,17,8.429,2.452,210,2026-05-15
amoled,3,0,3,0.429,1.554,4,2026-05-15
현대자동차,2,0,2,0.286,1.117,2,2026-05-15
아마존,2,0,2,0.429,0.95,8,2026-05-15
소니,3,0,3,1.571,0.634,20,2026-05-15
맥북,1,0,1,0.143,0.622,10,2026-05-15
미디어텍,1,0,1,0.143,0.622,2,2026-05-15
수율,1,0,1,0.143,0.622,7,2026-05-15
텐센트,1,0,1,0.143,0.622,1,2026-05-15
xr,4,4,0,2.429,0.614,116,2026-05-15
스마트폰,5,4,1,3.286,0.609,92,2026-05-15
sk하이닉스,2,2,0,1.0,0.5,45,2026-05-15
파나소닉,2,5,-3,1.0,0.5,7,2026-05-15
lg화학,1,0,1,0.286,0.465,10,2026-05-15
갤럭시z폴드,1,0,1,0.286,0.465,2,2026-05-15
저전력,1,0,1,0.286,0.465,3,2026-05-15
lcd,2,2,0,1.143,0.414,13,2026-05-15
proart,1,1,0,0.429,0.345,3,2026-05-15
샤오미,1,1,0,0.429,0.345,9,2026-05-15
8k,1,2,-1,0.429,0.345,5,2026-05-15
갤럭시,3,5,-2,2.286,0.284,67,2026-05-15
고성능,2,0,2,1.429,0.26,18,2026-05-15
태블릿,1,1,0,0.571,0.244,19,2026-05-15
lg디스플레이,3,3,0,2.429,0.223,118,2026-05-15
oled,10,5,5,9.429,0.14,364,2026-05-15
모바일,2,0,2,1.714,0.124,41,2026-05-15
아이폰,1,0,1,0.857,0.074,53,2026-05-15
퀄컴,1,0,1,0.857,0.074,21,2026-05-15
레노버,1,1,0,0.857,0.074,35,2026-05-15
hp,1,0,1,1.0,0.0,69,2026-05-15
tcl,1,0,1,1.0,0.0,25,2026-05-15
애플,7,3,4,7.143,-0.039,230,2026-05-15
기아,1,1,0,1.143,-0.069,23,2026-05-15
폴더블,2,0,2,2.286,-0.114,98,2026-05-15
모니터,4,4,0,4.571,-0.182,84,2026-05-15
4k,1,4,-3,1.429,-0.195,18,2026-05-15
공급망,1,2,-1,1.857,-0.363,52,2026-05-15
구글,2,14,-12,3.714,-0.586,64,2026-05-15
노트북,2,7,-5,3.857,-0.627,134,2026-05-15
