term,cur,prev,diff,total,ma7,z_like
hp,15,0,15,74,2.429,4.914
맥북,3,0,3,12,0.714,1.239
xr,7,3,4,112,3.714,1.122
boe,2,2,0,16,0.714,0.697
amd,2,1,1,18,0.714,0.697
nvidia,3,0,3,11,1.571,0.634
패드,1,0,1,3,0.143,0.622
수율,1,0,1,6,0.143,0.622
파나소닉,1,0,1,8,0.143,0.622
설비투자,1,0,1,5,0.286,0.465
sharp,1,0,1,8,0.286,0.465
lg화학,1,0,1,7,0.429,0.345
화웨이,1,1,0,9,0.429,0.345
마이크로소프트,1,1,0,13,0.429,0.345
소니,1,0,1,16,0.429,0.345
vr,1,0,1,17,0.429,0.345
현대모비스,1,0,1,7,0.571,0.244
갤럭시,2,2,0,66,1.571,0.19
4k,1,1,0,20,0.714,0.155
ar,1,0,1,29,0.857,0.074
모바일,1,1,0,38,0.857,0.074
lg디스플레이,1,1,0,116,1.571,-0.254
tv,10,2,8,334,11.143,-0.263
