cluster_id,keywords
0,"개발, 스마트폰, 생산, 제조, 매출, OLED, 전기차, 소재, 투자, 달러, 수출, 테크노플렉스, 시스템"
1,삼성
2,"미국, 디스플레이, 솔루션, 양산, 샤오미, 엔비디아, 붉은사막, 전년, 계획, 폴더블, 영업, 오디세, 기아, 메타, 한국타, 주석, 선물, 골프, 메이플, 원주, 그랜드십일절, 핵심, 그룹, 하이닉스, 게이밍, 지난달, 박무빈, 연준, 고성능, 축제, 때문, 서비스, 김종서, 지속, 공간, 새마을금고, 게임"
3,중국
4,"반도체, 모니터, 인텔, 노트북"
5,구글
6,애플
7,배터리
