term,cur,prev,diff,total,ma7,z_like
갤럭시,16,2,14,79,4.857,3.478
삼성전자,14,3,11,383,11.286,0.623
벤츠,10,2,8,129,6.714,0.915
tv,9,5,4,203,7.143,0.506
xr,8,5,3,99,3.429,1.603
스마트폰,7,8,-1,94,5.857,0.334
디스플레이,6,8,-2,187,5.714,0.084
엔비디아,5,5,0,115,3.429,0.551
폴더블,5,4,1,101,3.571,0.494
ar,3,1,2,38,1.143,0.898
tsmc,3,2,1,23,1.286,0.803
삼성디스플레이,3,3,0,150,1.714,0.557
애플,3,6,-3,211,5.857,-0.835
oled,3,1,2,282,8.429,-1.391
lg전자,3,31,-28,273,11.286,-1.901
asus,2,0,2,26,0.429,0.95
태블릿,2,0,2,25,0.429,0.95
모바일,2,1,1,41,0.857,0.593
boe,2,1,1,36,1.143,0.414
아이폰,2,4,-2,68,1.571,0.19
kaist,2,9,-7,28,1.714,0.124
현대모비스,2,1,1,57,4.429,-0.782
lg디스플레이,2,3,-1,123,5.429,-1.03
ase,1,0,1,1,0.143,0.622
nvidia,1,0,1,10,0.286,0.465
증착,1,0,1,3,0.286,0.465
vr,1,0,1,13,0.429,0.345
8k,1,0,1,6,0.429,0.345
lcd,1,0,1,23,0.571,0.244
화웨이,1,0,1,15,0.714,0.155
hp,1,3,-2,25,0.857,0.074
인텔,1,5,-4,56,1.429,-0.195
아이패드,1,0,1,24,1.857,-0.363
맥북,1,0,1,15,1.857,-0.363
sk하이닉스,1,3,-2,52,2.0,-0.414
노트북,1,7,-6,96,3.0,-0.732
구글,1,1,0,64,3.857,-0.964
