term,cur,prev,diff,ma7,z_like,total
그램,16,0,16,2.286,5.46,18
양산,8,1,7,1.714,2.722,23
tcl,8,0,8,2.143,2.377,24
아마존,2,0,2,0.286,1.117,8
픽셀,2,0,2,0.429,0.95,3
hp,2,0,2,0.286,1.117,37
퀄컴,4,0,4,0.571,1.953,23
공급망,4,2,2,1.0,1.5,17
카카오,3,1,2,0.571,1.383,16
하이센스,2,0,2,0.286,1.117,7
인텔,8,1,7,1.429,2.994,28
하이센스,6,2,4,1.143,2.348,13
amd,7,2,5,1.857,2.177,27
샤오미,4,1,3,0.714,1.781,14
올레드,5,1,4,1.286,1.741,24
메타,4,1,3,0.857,1.632,16
소니,3,0,3,0.429,1.554,11
보쉬,2,0,2,0.286,1.117,2
bmw,3,0,3,1.0,1.0,22
울트라샤프,10,0,10,1.429,3.905,10
hdr,6,0,6,0.857,2.67,7
저전력,6,0,6,0.857,2.67,7
딥엑스,2,0,2,0.286,1.117,2
고성능,3,2,1,1.0,1.0,18
