cluster_id,keywords
0,반도체
1,"스마트폰, 모니터, 인텔, 구글, 특허, 테크노플렉스, 시스템"
2,애플
3,"미국, 디스플레이, 솔루션, 양산, 샤오미, 붉은사막, 전년, 오디세, 계획, 폴더블, 소재, 메이플, 전기차, 고성능, 영업, OLED, 기아, 엔비디아, 한국타, 달러, 주석, 선물, 원주, 그랜드십일절, 픽티바, 쿠팡, 핵심, 하이닉스, 게이밍, 지난달, 박무빈, 연준, 축제, 때문, 서비스, 김종서, 지속, 공간, 새마을금고, 게임"
4,"중국, 홍콩"
5,노트북
6,골프
7,"개발, 생산, 제조, 매출, 수출, 투자"
