term,cur,prev,diff,total,ma7,z_like
삼성전자,8,4,4,351,14.429,-1.34
tv,6,2,4,132,4.714,0.405
디스플레이,6,6,0,313,17.286,-2.188
애플,3,9,-6,314,6.571,-1.002
lg전자,3,2,1,237,6.857,-1.066
폴더블,3,8,-5,222,11.857,-1.993
apple,2,0,2,5,0.286,1.117
양산,2,3,-1,28,0.714,0.697
공급망,2,0,2,39,1.143,0.414
기아,2,1,1,45,1.429,0.26
sk하이닉스,2,4,-2,120,2.714,-0.27
구글,2,3,-1,52,2.714,-0.27
갤럭시,2,21,-19,231,19.429,-3.223
oled,2,14,-12,339,24.857,-3.819
고해상도,1,0,1,2,0.143,0.622
bmw,1,0,1,13,0.286,0.465
byd,1,0,1,16,0.429,0.345
샤오미,1,1,0,11,0.429,0.345
비보,1,1,0,8,0.571,0.244
메타,1,1,0,23,1.0,0.0
모바일,1,1,0,49,1.286,-0.134
ar,1,1,0,44,1.286,-0.134
알파벳,1,0,1,16,1.286,-0.134
엔비디아,1,1,0,83,1.429,-0.195
스마트폰,1,3,-2,104,2.571,-0.604
모니터,1,1,0,88,2.571,-0.604
xr,1,3,-2,93,4.0,-1.0
