term,cur,prev,diff,total,ma7,z_like
삼성전자,33,8,25,648,16.429,3.279
디스플레이,29,12,17,267,7.714,5.635
tv,22,2,20,374,7.143,4.045
lg전자,14,18,-4,220,9.857,1.001
엔비디아,13,12,1,90,5.0,2.472
sk하이닉스,4,2,2,49,1.571,1.078
애플,4,7,-3,226,5.857,-0.543
oled,4,10,-6,357,9.143,-1.278
tcl,3,1,2,27,1.143,0.898
lg디스플레이,3,3,0,119,2.571,0.165
스마트폰,3,5,-2,86,3.429,-0.15
구글,3,2,1,66,4.0,-0.333
하이센스,2,0,2,10,0.429,0.95
레노버,2,1,1,24,1.143,0.414
xr,2,4,-2,116,2.429,-0.168
노트북,2,2,0,132,3.857,-0.627
마이크로소프트,1,0,1,13,0.143,0.622
시스코,1,0,1,2,0.143,0.622
두산로보틱스,1,0,1,1,0.143,0.622
씽크패드,1,0,1,1,0.143,0.622
메타,1,0,1,22,0.286,0.465
amd,1,0,1,14,0.286,0.465
byd,1,0,1,14,0.286,0.465
lg화학,1,1,0,11,0.286,0.465
설비투자,1,0,1,4,0.286,0.465
프로아트,1,0,1,3,0.286,0.465
아마존,1,2,-1,9,0.429,0.345
vr,1,0,1,17,0.571,0.244
amoled,1,3,-2,5,0.571,0.244
아이폰,1,1,0,53,0.714,0.155
카카오,1,0,1,20,0.714,0.155
태블릿,1,1,0,20,0.714,0.155
ar,1,0,1,31,0.857,0.074
퀄컴,1,1,0,22,0.857,0.074
hp,1,1,0,66,1.0,0.0
소니,1,3,-2,18,1.429,-0.195
갤럭시,1,3,-2,65,2.143,-0.464
폴더블,1,2,-1,94,2.429,-0.558
인텔,1,1,0,59,2.429,-0.558
