term,cur,prev,diff,ma7,z_like,total
비전프로,4,0,4,0.571,1.953,5
애플,21,17,4,14.857,1.265,251
host,1,0,1,0.143,0.622,2
고효율,1,0,1,0.286,0.465,4
ar,2,3,-1,1.571,0.19,40
기아,1,4,-3,0.714,0.155,13
맥북,3,8,-5,2.714,0.108,34
byd,1,4,-3,0.857,0.074,16
모바일,1,0,1,1.0,0.0,26
bmw,1,3,-2,1.0,0.0,21
hp,1,0,1,1.143,-0.069,20
갤럭시,1,1,0,1.143,-0.069,46
xr,3,2,1,3.286,-0.102,150
스마트폰,2,2,0,2.714,-0.27,70
노트북,2,1,1,3.571,-0.544,113
아이패드,1,9,-8,2.429,-0.558,19
올레드,1,1,0,2.571,-0.604,36
sk하이닉스,2,2,0,4.429,-0.782,76
엔비디아,1,3,-2,4.0,-1.0,228
모니터,1,3,-2,4.857,-1.204,91
디스플레이,2,4,-2,6.571,-1.283,174
lg디스플레이,1,5,-4,6.429,-1.535,112
삼성전자,3,9,-6,9.714,-1.631,394
tv,4,8,-4,11.143,-1.647,293
lg전자,5,9,-4,14.286,-1.943,309
oled,2,5,-3,13.714,-2.491,283
