term,cur,prev,diff,ma7,z_like,total
구글,31,1,30,7.714,6.164,87
nvidia,6,1,5,1.143,2.348,8
삼성전자,29,25,4,18.429,1.997,624
google,4,1,3,0.857,1.632,6
고성능,3,1,2,0.857,1.113,21
양산,3,2,1,0.857,1.113,19
공급망,4,3,1,1.714,0.99,54
ar,2,0,2,0.714,0.697,33
메타,2,0,2,0.714,0.697,21
csot,1,0,1,0.143,0.622,2
dell,1,0,1,0.143,0.622,6
sk온,1,0,1,0.143,0.622,1
샤오펑,1,0,1,0.143,0.622,3
아이패드,1,0,1,0.143,0.622,10
해상도,1,0,1,0.143,0.622,2
화웨이,1,0,1,0.143,0.622,20
노트북,6,7,-1,4.143,0.612,140
아이폰,2,3,-1,1.0,0.5,54
boe,1,0,1,0.286,0.465,12
카카오,1,0,1,0.286,0.465,21
폴더블,3,6,-3,2.0,0.414,95
하이센스,1,0,1,0.429,0.345,11
인텔,2,2,0,1.286,0.335,56
현대모비스,1,0,1,0.571,0.244,6
xr,4,5,-1,3.429,0.2,109
디스플레이,10,7,3,9.286,0.176,245
모바일,1,2,-1,0.857,0.074,36
기아,1,3,-2,0.857,0.074,24
스마트폰,4,6,-2,4.0,0.0,92
lg디스플레이,2,3,-1,2.143,-0.058,118
갤럭시,2,4,-2,2.143,-0.058,63
tcl,1,4,-3,1.286,-0.134,31
oled,4,8,-4,4.714,-0.225,348
모니터,1,1,0,1.714,-0.309,75
레노버,1,7,-6,1.714,-0.309,31
lg전자,7,4,3,8.429,-0.366,240
sk하이닉스,1,1,0,2.0,-0.414,49
애플,3,6,-3,4.286,-0.419,224
엔비디아,4,5,-1,6.429,-0.687,91
tv,4,32,-28,10.286,-1.494,345
