term,cur,prev,diff,ma7,z_like,total
삼성디스플레이,11,9,2,3.143,2.834,108
oled,23,56,-33,13.143,2.131,402
디스플레이,13,14,-1,6.0,2.029,260
tv,26,13,13,17.286,1.69,462
tsmc,4,1,3,0.857,1.632,24
ar,3,0,3,0.571,1.383,35
amd,4,2,2,1.143,1.381,16
xr,8,5,3,4.0,1.333,134
모바일,3,0,3,0.857,1.113,36
폴더블,3,0,3,0.857,1.113,149
엔비디아,4,1,3,1.571,1.078,90
sharp,1,0,1,0.143,0.622,5
벤츠,1,0,1,0.143,0.622,52
뷰소닉,1,0,1,0.143,0.622,2
카카오,1,0,1,0.143,0.622,11
스마트폰,3,1,2,1.714,0.557,112
4k,1,0,1,0.286,0.465,16
화웨이,1,0,1,0.286,0.465,31
노트북,7,4,3,5.571,0.425,156
asus,1,0,1,0.429,0.345,14
bmw,1,0,1,0.429,0.345,7
byd,1,0,1,0.429,0.345,12
고성능,1,0,1,0.429,0.345,13
공급망,1,1,0,0.714,0.155,47
lg전자,7,5,2,6.571,0.12,249
삼성전자,29,12,17,28.286,0.113,630
모니터,2,0,2,2.0,0.0,83
sk하이닉스,1,3,-2,1.0,0.0,80
태블릿,1,0,1,1.143,-0.069,20
hp,1,1,0,1.143,-0.069,68
아이폰,1,2,-1,1.286,-0.134,106
인텔,1,7,-6,1.286,-0.134,45
애플,8,12,-4,8.857,-0.216,261
레노버,1,0,1,1.571,-0.254,37
lg디스플레이,2,17,-15,3.143,-0.412,136
갤럭시,1,2,-1,2.571,-0.604,75
