term,cur,prev,diff,ma7,z_like,total
레노버,18,0,18,3.143,5.358,23
엔비디아,15,1,14,2.286,5.062,24
퀄컴,8,0,8,1.429,2.994,24
oled,20,6,14,12.143,1.752,193
공급망,3,0,3,0.571,1.383,16
etri,2,0,2,0.286,1.117,3
한화솔루션,2,2,0,0.571,0.814,5
모바일,2,1,1,0.714,0.697,13
8k,1,0,1,0.143,0.622,1
sfa,1,0,1,0.143,0.622,1
설비투자,1,0,1,0.143,0.622,1
픽셀,1,0,1,0.143,0.622,3
해상도,1,0,1,0.143,0.622,5
고성능,4,0,4,2.571,0.549,27
현대차,2,0,2,1.0,0.5,31
화웨이,1,1,0,0.286,0.465,7
lg디스플레이,3,0,3,2.0,0.414,75
노트북,3,5,-2,2.571,0.165,24
byd,1,1,0,0.714,0.155,9
삼성디스플레이,1,2,-1,0.857,0.074,29
스마트폰,1,2,-1,1.0,0.0,46
태블릿,2,2,0,2.143,-0.058,22
hp,1,2,-1,1.143,-0.069,8
갤럭시,4,4,0,5.0,-0.309,60
구글,1,4,-3,2.0,-0.414,28
sk하이닉스,1,2,-1,2.286,-0.512,42
tv,5,11,-6,6.857,-0.513,83
amd,1,0,1,2.714,-0.648,25
디스플레이,4,14,-10,6.571,-0.722,116
xr,5,8,-3,8.0,-0.784,86
아이패드,1,0,1,3.429,-0.852,32
삼성전자,22,60,-38,27.857,-0.933,354
lg전자,4,17,-13,7.571,-0.952,123
폴더블,1,0,1,4.143,-1.035,58
모니터,1,4,-3,4.571,-1.138,50
애플,3,11,-8,11.571,-1.947,176
