term,cur,prev,diff,ma7,z_like,total
퀄컴,9,1,8,2.0,2.899,37
레노버,12,1,11,3.857,2.747,57
양산,10,1,9,2.857,2.655,37
구글,7,0,7,1.857,2.177,55
롤러블,4,0,4,0.571,1.953,5
벤큐,2,0,2,0.286,1.117,12
lg전자,16,12,4,12.0,0.896,279
ar,4,1,3,2.286,0.682,47
galaxy,1,0,1,0.143,0.622,4
샤오미,1,0,1,0.143,0.622,10
기아,2,0,2,0.857,0.593,39
bmw,2,0,2,1.0,0.5,16
요가,1,1,0,0.286,0.465,2
모니터,3,1,2,2.0,0.414,80
노트북,5,5,0,3.857,0.386,112
byd,1,0,1,0.429,0.345,11
고성능,1,0,1,0.429,0.345,7
맥북,1,0,1,0.429,0.345,9
알파벳,1,0,1,0.429,0.345,15
폴더블,4,0,4,3.143,0.309,212
tv,6,5,1,5.0,0.309,129
스마트폰,5,2,3,4.143,0.282,115
스마트워치,1,0,1,0.571,0.244,5
픽셀,1,0,1,0.571,0.244,5
마이크로소프트,1,1,0,0.714,0.155,7
엔비디아,2,1,1,1.857,0.06,94
아이폰,3,1,2,3.0,0.0,78
xr,1,1,0,1.286,-0.134,92
공급망,2,0,2,3.0,-0.366,52
애플,6,1,5,7.571,-0.419,277
갤럭시,6,3,3,7.857,-0.488,280
아마존,1,0,1,2.286,-0.512,23
sk하이닉스,2,2,0,3.571,-0.544,125
디스플레이,2,1,1,5.286,-0.996,283
oled,5,5,0,9.143,-1.03,366
lg디스플레이,1,1,0,5.857,-1.42,147
삼성전자,3,1,2,9.143,-1.527,362
