org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
김영재,2,3,0,3,3,2,2,3,4,4
김재윤에게,0,0,0,12,2,0,0,0,2,2
김정자,1,2,1,1,5,3,5,2,3,2
김주영,1,2,2,2,3,1,2,4,5,2
김주형,2,3,0,3,3,2,2,3,4,4
김태경,0,0,1,2,1,1,1,2,1,1
김태균,0,0,0,4,0,0,0,0,1,1
김현태,0,0,0,4,0,0,0,0,1,1
깜깜이,1,0,1,3,1,0,3,0,5,2
깜짝,4,1,4,2,4,4,4,7,6,2
끝났다.,0,0,0,6,6,0,2,0,0,0
나라장터,4,10,8,4,5,2,3,2,2,2
나선,2,3,0,3,3,2,2,3,4,4
나섰다.,3,0,6,4,4,5,7,4,8,7
나온다.,4,3,1,2,2,2,4,3,5,7
나트륨,9,2,9,4,4,6,7,7,8,6
납품,2,1,7,4,2,4,4,4,5,3
낮은,1,0,2,1,0,0,0,2,4,3
내년,15,4,19,10,3,8,13,12,14,16
내년도,12,4,12,6,0,6,4,8,4,10
내장,4,2,3,4,0,3,2,0,4,6
넘기고,0,0,0,12,2,0,0,0,2,2
넘긴,1,0,2,1,0,0,0,2,4,3
넘어,10,0,9,6,10,7,9,9,13,20
넘어가는,0,0,0,1,4,0,2,0,1,1
네이버,25,7,23,17,11,15,19,15,20,19
네트워크를,4,1,5,4,2,5,4,5,4,3
넥사다이내믹스는,3,0,6,4,3,5,7,2,6,2
넥사다이내믹스의,3,0,6,4,3,5,7,2,6,2
넷마블,2,7,3,4,1,4,4,3,4,4
넷마블은,4,15,4,7,3,8,7,5,10,9
넷마블이,2,8,1,3,2,4,3,2,6,5
노동자의,1,0,1,3,1,0,3,0,5,2
노블리스,1,0,4,3,0,0,3,1,3,2
노조,3,0,2,4,0,0,2,0,11,4
노조는,3,0,2,4,0,0,2,0,11,4
노조인,2,0,2,5,1,0,4,0,10,3
노트북,14,22,18,13,13,8,13,10,12,13
노트북을,3,8,3,3,1,2,3,2,2,3
논문,5,0,5,5,3,6,6,3,4,2
논의했다.,5,0,5,5,3,6,6,3,4,2
높다는,4,1,4,2,4,4,4,7,6,2
높아,2,8,1,3,2,4,3,2,6,5
높아졌다.,4,1,4,2,4,4,4,7,6,2
높은,38,13,28,22,17,26,22,19,34,30
누적,7,12,6,8,8,9,9,5,11,9
눈길,4,1,4,2,4,4,4,7,6,2
눈에,4,3,1,2,2,2,4,3,5,7
뉴로메카,4,1,5,4,2,5,4,5,4,3
뉴로메카는,4,1,5,4,2,5,4,5,4,3
뉴스1,0,0,0,30,5,0,0,0,5,5
뉴스가,0,2,0,0,2,0,1,1,2,2
뉴시스,3,2,3,4,7,3,6,0,5,4
뉴욕,0,1,0,0,2,2,0,0,1,0
늘었다.,1,1,0,1,2,2,1,0,5,8
능력,5,0,5,3,5,4,5,5,7,10
늦어지며,1,2,0,0,1,1,0,3,1,2
닛토덴코의,1,2,2,2,3,1,2,4,5,2
다만,3,0,5,4,4,8,4,5,4,2
다시,0,2,0,0,2,0,1,1,2,2
다양한,58,37,42,31,27,26,29,25,33,38
단가를,2,1,7,4,2,4,4,4,5,3
단독,21,0,26,7,6,7,13,13,11,8
단일,10,0,11,7,7,9,9,10,11,12
단자가,3,8,3,3,1,2,3,2,2,3
단자는,3,8,3,3,1,2,3,2,2,3
단지,1,0,4,3,0,0,3,1,3,2
달러,11,10,9,6,9,12,10,14,15,16
달러로,3,5,2,1,2,2,3,4,5,7
담보,3,5,2,1,2,2,3,4,5,7
당시,1,0,2,1,0,0,0,2,4,3
당신의,0,2,0,0,2,0,1,1,2,2
대개편이라면서,0,2,0,0,2,0,1,1,2,2
대거,2,7,3,4,1,4,4,3,4,4
대구,0,0,0,34,5,0,0,0,6,6
대규모,17,10,20,14,17,14,21,19,29,32
대규모의,4,3,1,2,2,2,4,3,5,7
대로,4,0,5,4,1,6,5,1,7,3
대부분,3,0,5,4,4,8,4,5,4,2
대비,51,14,58,37,32,42,47,46,69,56
대상으로,6,4,6,6,5,6,7,0,7,5
대신증권은,2,0,7,4,2,3,5,1,8,4
대전,1,0,4,3,0,0,3,1,3,2
대죄,4,15,4,7,3,8,7,5,10,9
대진일,0,0,0,4,3,0,1,1,1,1
대타,0,0,0,30,5,0,0,0,5,5
대통령,0,0,1,2,1,1,1,2,1,1
대표,11,5,8,8,10,5,10,8,10,11
대표이사,5,0,4,3,5,6,8,4,5,7
대표적이다.,0,1,2,2,3,2,1,5,5,7
대한,23,10,25,19,23,24,30,27,30,29
대형,17,13,25,18,18,18,22,15,32,26
대화면을,10,0,9,6,10,7,9,9,13,20
댓글,5,1,4,5,3,5,8,3,4,2
더욱,2,5,4,2,3,1,2,1,1,1
덕분에,4,8,4,3,1,2,3,0,2,3
덕분이다.,4,1,4,2,4,4,4,7,6,2
덧붙였다.,8,0,8,3,2,4,5,3,3,2
데사이,1,2,0,0,1,2,1,1,3,3
데이터,2,5,0,3,5,2,3,4,6,6
데이터가,2,3,0,3,3,2,2,3,4,4
데이터를,2,3,0,3,3,2,2,3,4,4
덱스,4,2,3,4,0,3,2,0,4,6
덱스를,4,2,3,4,0,3,2,0,4,6
도약하는,4,1,5,4,2,5,4,5,4,3
도원암귀,2,7,3,4,1,4,4,3,4,4
도쿄게임쇼,9,11,10,10,8,8,11,9,12,12
도쿄게임쇼는,2,7,3,4,1,4,4,3,4,4
동기,8,5,7,5,7,10,7,10,10,9
동시에,22,20,27,17,16,15,19,12,21,20
동안,4,3,1,2,2,2,4,3,5,7
됐다.,6,3,4,3,5,2,6,6,6,9
된다.,8,0,8,4,6,4,7,3,4,3
됩니다,0,2,0,0,2,0,1,1,2,2
두께가,0,1,2,2,3,2,1,5,5,7
두산,0,0,0,6,11,1,4,2,2,2
두산밥캣,9,6,10,9,10,8,13,10,12,8
두산베어스,0,0,0,0,3,0,1,0,0,0
두산에너빌리티,4,2,5,4,4,3,7,7,7,4
두산은,0,0,0,2,8,1,3,1,1,1
두산의,0,0,0,6,6,0,2,0,0,0
들어갈,12,4,12,6,0,6,4,8,4,10
들이,4,2,5,4,4,3,7,7,7,4
등에서,4,2,5,4,4,3,7,7,7,4
등으로,0,0,0,4,3,0,1,1,1,1
등은,9,2,9,4,4,6,7,7,8,6
등을,16,9,16,13,15,18,18,17,20,16
등의,4,2,5,4,4,3,7,7,7,4
등이,20,10,22,20,18,18,21,24,28,22
디렉터는,1,2,0,0,1,2,1,1,3,3
디바이스,4,2,1,0,0,0,6,1,3,8
디스펜서,3,0,6,4,3,5,7,2,6,2
디스플레이가,4,1,5,3,4,3,4,5,8,10
디스플레이는,10,2,10,10,6,12,16,6,8,4
디스플레이의,3,0,6,4,4,5,7,4,8,7
디일렉,22,4,22,11,5,15,16,12,15,12
디자인,0,2,0,0,2,0,1,1,2,2
디즈니리서치,2,3,0,3,3,2,2,3,4,4
따라,31,10,33,23,23,30,27,33,42,31
따르면,38,19,50,33,30,33,42,46,62,52
따른,6,2,12,7,5,5,12,8,15,8
때문에,24,5,12,9,5,7,6,6,9,12
또는,24,5,12,13,8,7,7,7,10,13
또한,8,13,9,10,10,4,8,6,8,10
뛰어난,4,8,4,3,1,2,3,0,2,3
라고,4,1,1,2,3,1,3,2,2,3
라온텍,3,2,3,3,3,3,4,0,4,3
라온텍은,9,6,9,9,5,10,10,1,9,7
라온텍의,3,2,3,3,0,4,3,1,2,2
라온텍이,9,6,9,9,5,10,10,1,9,7
라이온즈의,0,0,0,30,5,0,0,0,5,5
라이트,3,2,3,3,0,4,3,1,2,2
라인,31,1,41,14,10,15,22,20,19,13
라인업,6,2,6,3,0,3,2,4,2,5
라인업과,5,1,4,3,4,1,6,3,5,7
라인업을,12,4,12,6,0,6,4,8,4,10
라인은,2,1,7,4,2,4,4,4,5,3
랜드마크,4,1,1,2,3,1,3,2,2,3
램프,7,1,4,3,3,3,2,3,3,3
램프를,24,5,12,9,5,7,6,6,9,12
레버리지,3,5,2,1,2,2,3,4,5,7
레버리지를,3,5,2,1,2,2,3,4,5,7
레벨업,2,8,1,3,2,4,3,2,6,5
레이밴,4,3,1,2,2,2,4,3,5,7
레이저,76,9,62,29,22,30,35,35,37,34
레이저는,8,2,4,3,2,2,2,2,3,4
렌즈에,4,3,1,2,2,2,4,3,5,7
로보티즈,4,2,5,4,4,3,7,7,7,4
로봇,9,4,9,10,7,10,11,12,13,10
로봇으로,2,3,0,3,3,2,2,3,4,4
로봇의,2,3,0,3,3,2,2,3,4,4
로봇이,2,3,0,3,3,2,2,3,4,4
로타르는,1,0,1,2,2,2,3,4,4,8
롯데,0,0,0,5,7,0,3,1,2,2
리그,0,0,0,30,5,0,0,0,5,5
리밋,2,7,3,4,1,4,4,3,4,4
리본보드,5,1,4,3,4,1,6,3,5,7
리얼리티랩스,4,3,1,2,2,2,4,3,5,7
리프트,8,0,8,3,2,4,5,3,3,2
리프팅,12,5,4,2,0,2,15,3,8,21
링을,1,0,1,2,2,2,3,4,4,8
링이,1,0,1,2,2,2,3,4,4,8
마리아킴,0,1,0,0,2,2,0,0,1,0
마무리,0,0,0,30,5,0,0,0,5,5
마무리투수,0,0,0,4,0,0,0,0,1,1
마운드에,0,0,0,30,5,0,0,0,5,5
마운드에서,0,0,0,4,0,0,0,0,1,1
마이크로,15,3,12,12,7,9,17,11,17,14
마이크로디스플레이,9,6,9,9,5,10,10,1,9,7
마케톤,4,1,1,2,3,1,3,2,2,3
마케톤의,4,1,1,2,3,1,3,2,2,3
막대한,4,3,1,2,2,2,4,3,5,7
막판,1,2,3,3,0,1,1,4,6,5
만들었다.,0,0,0,1,4,1,1,1,0,0
만에,1,0,2,1,0,0,0,2,4,3
만의,3,2,6,4,6,5,8,5,10,9
만지고,4,1,1,2,3,1,3,2,2,3
만큼,3,3,10,7,2,5,5,8,11,8
만화,4,10,3,7,4,6,6,6,8,8
만화와,2,3,0,3,3,2,2,3,4,4
많은,2,3,0,3,3,2,2,3,4,4
많이,4,2,6,6,5,4,8,9,8,5
말했다.,11,14,10,13,11,10,13,12,16,16
맞대결,1,2,3,3,0,1,1,4,6,5
맞춤형,6,7,5,6,10,8,7,4,10,8
매각,1,0,2,1,0,0,0,2,4,3
매력을,2,7,3,4,1,4,4,3,4,4
매수,5,2,7,5,4,3,7,9,11,7
매수한,4,2,5,4,4,3,7,7,7,4
매직,0,1,2,2,3,2,1,5,5,7
매출,12,0,18,12,6,13,15,9,16,8
매출원가율,4,0,5,4,1,6,5,1,7,3
매출원가율은,4,0,5,4,1,6,5,1,7,3
맥북,3,8,3,3,1,2,3,2,2,3
맥주,0,1,0,1,1,2,0,0,0,2
맺어,7,0,9,2,2,2,4,5,3,2
멀티-다이,15,2,7,6,4,6,4,5,6,7
멀티태스킹,0,1,1,2,2,4,0,2,3,3
멀티플랫폼,2,7,3,4,1,4,4,3,4,4
메쉬,5,1,4,3,4,1,6,3,5,7
메신저,0,2,0,0,2,0,1,1,2,2
메이트,1,2,3,3,0,1,1,4,6,5
메이트XTs,1,2,3,3,0,1,1,4,6,5
메인,1,0,3,1,0,0,1,0,1,0
메일,0,2,0,0,2,0,1,1,2,2
메타,23,14,16,17,16,17,25,14,29,28
메타가,4,3,1,2,2,2,4,3,5,7
메타는,4,3,1,2,2,2,4,3,5,7
메타의,4,3,1,2,2,2,4,3,5,7
메트로신문,5,0,4,3,5,6,8,4,5,7
면서도,1,0,1,2,2,2,3,4,4,8
모니터,17,23,26,17,15,12,17,12,17,16
모니터가,4,8,4,3,1,2,3,0,2,3
모니터다.,3,8,3,3,1,2,3,2,2,3
모니터에,3,8,3,3,1,2,3,2,2,3
모델,1,2,0,0,1,1,0,3,1,2
모델인,12,4,12,6,0,6,4,8,4,10
모두,7,6,13,8,7,4,9,7,12,13
모듈,12,7,16,10,9,12,15,10,16,13
모듈과,3,2,3,3,0,4,3,1,2,2
모듈은,3,2,3,3,0,4,3,1,2,2
모든,24,5,12,9,5,7,6,6,9,12
모바일,8,16,5,9,6,9,10,7,12,12
모바일용,2,0,7,4,2,3,5,1,8,4
모습을,4,2,3,4,0,3,2,0,4,6
모아,5,1,4,5,3,5,8,3,4,2
모인,4,1,5,3,4,3,4,5,8,10
모종샛들지구,1,0,4,3,0,0,3,1,3,2
모종샛들지구와,1,0,4,3,0,0,3,1,3,2
모집에,1,0,4,3,0,0,3,1,3,2
모집한,1,0,4,3,0,0,3,1,3,2
목록을,0,2,0,0,2,0,1,1,2,2
목표주가를,4,2,5,4,4,3,7,7,7,4
몬길,4,15,4,7,3,8,7,5,10,9
몬스터,2,8,1,3,2,4,3,2,6,5
몰입형,4,1,1,2,3,1,3,2,2,3
무공해차,8,5,7,5,7,10,7,10,10,9
무기한,3,5,2,1,2,2,3,4,5,7
무단,0,0,1,2,1,1,1,2,1,1
무단전재,0,2,0,0,2,0,1,1,2,2
무대,0,1,1,2,2,4,0,2,3,3
무대에서,5,0,4,3,5,3,4,4,6,10
무실점으로,0,0,0,2,8,1,3,1,1,1
무한,1,2,3,3,0,1,1,4,6,5
무호흡,1,2,0,0,1,1,0,3,1,2
문성주의,0,0,0,1,4,0,2,0,1,1
문의,3,1,0,0,0,0,3,0,2,5
문제는,1,0,2,1,0,0,0,2,4,3
문제에,7,4,7,6,7,4,7,6,8,8
문충운,1,0,0,1,2,0,4,3,2,2
문학,0,0,1,2,1,1,1,2,1,1
물량을,2,1,7,4,2,4,4,4,5,3
물론,4,8,3,4,3,2,7,5,4,5
뮤지엄,4,1,1,2,3,1,3,2,2,3
미국,23,13,19,18,23,22,24,19,30,29
미국의,8,5,7,5,7,10,7,10,10,9
미디어,6,5,7,3,6,3,5,7,8,9
미래,13,6,12,10,17,13,20,12,16,17
민간,5,1,2,2,6,2,4,3,4,3
민지혜,7,0,9,2,2,2,4,5,3,2
밀도,7,3,2,1,0,1,9,1,5,13
바꾼,0,2,0,0,2,0,1,1,2,2
바이낸스,3,5,2,1,2,2,3,4,5,7
바이오,5,0,4,3,5,6,8,4,5,7
바탕으로,5,6,5,3,3,2,5,1,3,6
박기완,0,2,0,0,2,0,1,1,2,2
박종훈,4,1,5,4,2,5,4,5,4,3
박지훈의,0,0,0,1,4,1,1,1,0,0
박해민과,0,0,0,0,3,0,1,0,0,0
반도체,49,10,50,22,27,32,39,42,41,29
반도체다.,4,1,4,2,4,4,4,7,6,2
반도체부터,5,1,2,2,6,2,4,3,4,3
반드시,10,2,10,10,6,12,16,6,8,4
반면,1,1,0,1,2,2,1,0,5,8
반사형,6,4,6,6,5,6,7,0,7,5
반지를,1,0,1,2,2,2,3,4,4,8
받고도,1,2,2,2,3,1,2,4,5,2
받았다.,3,5,0,3,4,4,3,4,7,7
발광재료,3,0,6,4,4,5,7,4,8,7
발령,7,4,7,6,7,4,7,6,8,8
발생한,1,2,2,2,3,1,2,4,5,2
발전설비,4,2,5,4,4,3,7,7,7,4
발표를,5,0,5,3,5,4,5,5,7,10
밝혔다.,36,14,31,25,18,28,37,15,33,33
밝힘.,8,5,7,5,7,10,7,10,10,9
방식으로,0,2,0,0,2,0,1,1,2,2
방지,6,5,7,3,6,3,5,7,8,9
방침이다.,1,3,0,1,4,3,1,1,5,4
방해,1,2,0,0,1,1,0,3,1,2
배터리,25,6,24,21,21,30,24,29,33,40
백기를,0,2,0,0,2,0,1,1,2,2
백화점,7,4,7,6,7,4,7,6,8,8
버전,1,2,0,0,1,2,1,1,3,3
버추얼,2,7,3,4,1,4,4,3,4,4
번인,4,8,4,3,1,2,3,0,2,3
벌인,7,0,9,2,2,2,4,5,3,2
베가라스,8,2,4,3,1,2,2,2,3,4
베갈라스,15,2,7,6,4,6,4,5,6,7
베어스와,0,0,0,1,4,1,1,1,0,0
베어스의,0,0,0,1,4,0,2,0,1,1
베트남,5,0,6,4,2,5,4,5,4,2
벤츠,12,4,12,6,0,6,4,8,4,10
별개의,1,2,2,2,3,1,2,4,5,2
병원에서,1,0,1,2,2,2,3,4,4,8
병원으로,1,0,1,2,2,2,3,4,4,8
보고,4,3,1,2,2,2,4,3,5,7
보도자료,3,1,0,0,0,0,3,0,2,5
보여준다.,4,2,3,4,0,3,2,0,4,6
보여줄,5,1,2,2,6,2,4,3,4,3
보유하고,18,7,16,12,12,13,21,21,24,25
보유한,1,0,2,1,0,0,0,2,4,3
보인다.,2,1,7,4,2,4,4,4,5,3
보험금,1,2,2,2,3,1,2,4,5,2
보호,6,5,7,3,6,3,5,7,8,9
복귀,0,0,1,2,1,1,1,2,1,1
본격,6,2,6,3,0,3,2,4,2,5
본격적인,16,5,17,10,2,11,8,13,8,13
본연의,0,2,0,0,2,0,1,1,2,2
볼넷,0,0,0,1,4,0,2,0,1,1
부문,9,6,10,9,10,8,13,10,12,8
부문에,5,4,5,5,6,5,6,3,5,4
부문에서,4,3,1,2,2,2,4,3,5,7
부문은,1,2,0,0,1,2,1,1,3,3
부장,5,0,4,3,5,6,8,4,5,7
부풀어,1,0,1,2,2,2,3,4,4,8
부품,12,5,11,7,11,10,8,14,12,12
부품을,12,4,12,6,0,6,4,8,4,10
분류,6,5,7,3,6,3,5,7,8,9
분석해,1,2,0,0,1,1,0,3,1,2
분야,24,7,19,12,13,12,14,16,19,19
분야는,5,0,4,3,5,6,8,4,5,7
분야에,7,0,9,2,2,2,4,5,3,2
분야에서,32,5,20,17,14,20,13,20,17,16
분야에서는,6,2,6,3,0,3,2,4,2,5
분야의,16,4,8,6,3,4,4,4,6,8
분양가는,1,0,4,3,0,0,3,1,3,2
분할,1,2,3,3,0,1,1,4,6,5
불편을,0,2,0,0,2,0,1,1,2,2
브레이커스,2,7,3,4,1,4,4,3,4,4
블루라이트,4,10,8,4,5,2,3,2,2,2
비롯해,2,7,3,4,1,4,4,3,4,4
비전옥스,22,0,25,8,6,9,14,11,11,8
비전옥스와,8,0,8,3,2,4,5,3,3,2
비전옥스의,7,0,9,2,2,2,4,5,3,2
비즈니스,5,1,4,3,4,1,6,3,5,7
비판이,0,2,0,0,2,0,1,1,2,2
비해,4,0,5,4,1,6,5,1,7,3
비핵심,5,0,4,3,5,6,8,4,5,7
비행기,1,0,1,2,2,2,3,4,4,8
비행기를,1,0,1,2,2,2,3,4,4,8
빅테크,5,0,5,3,5,4,5,5,7,10
빛샘전자,6,2,4,4,5,4,7,5,7,4
빠르게,4,1,4,2,4,4,4,7,6,2
빠른,4,8,4,3,1,2,3,0,2,3
빠지지,1,0,1,2,2,2,3,4,4,8
사고가,1,0,1,2,2,2,3,4,4,8
사실상,12,4,12,6,0,6,4,8,4,10
사업,23,7,28,20,23,29,36,27,36,29
사업에,5,0,4,3,5,6,8,4,5,7
사업을,18,4,18,11,13,15,22,18,20,17
사업이다.,6,0,8,3,0,4,3,3,5,3
사업화,25,3,23,25,15,28,38,15,20,10
사용,6,5,7,3,6,3,5,7,8,9
사용자,4,8,2,2,6,5,4,5,10,11
사용자가,1,1,0,1,2,2,1,0,5,8
사용자는,2,3,0,1,3,3,1,3,6,10
사용할,32,23,19,15,8,12,12,11,14,20
사이니지,5,1,4,3,4,1,6,3,5,7
사이니지를,5,1,4,3,4,1,6,3,5,7
사장,11,4,12,10,8,10,12,7,15,11
사장은,3,0,6,4,4,5,7,4,8,7
사진,9,9,5,8,9,13,7,9,15,16
사진을,1,1,0,1,2,2,1,0,5,8
사피엔반도체,6,2,4,4,5,4,7,5,7,4
사피엔반도체가,6,2,4,4,5,4,7,5,7,4
사피엔반도체는,6,2,4,4,5,4,7,5,7,4
사회,5,0,4,3,5,6,8,4,5,7
사회공헌,5,4,5,5,6,5,6,3,5,4
산업,27,10,27,21,20,26,27,26,30,26
산업용,13,6,16,10,10,11,14,16,17,15
산업의,20,3,19,20,12,23,30,12,16,8
산정,3,0,2,4,0,0,2,0,11,4
산학연,25,3,23,25,15,28,38,15,20,10
살리는,1,0,0,1,2,0,4,3,2,2
삼성,21,12,21,56,19,13,20,13,41,43
삼성노조연대는,2,0,1,2,0,0,1,0,6,3
삼성디스플레이,57,17,63,59,42,64,74,47,75,45
삼성디스플레이는,11,4,12,10,8,10,12,7,15,11
삼성디스플레이에,4,0,5,4,1,6,5,1,7,3
삼성디스플레이의,6,1,12,8,3,10,9,5,12,6
삼성라이온즈파크에서,0,0,0,34,5,0,0,0,6,6
삼성은,4,1,5,8,6,3,5,5,9,11
삼성의,5,1,6,10,5,3,7,5,14,13
삼성이,5,0,4,3,5,3,4,4,6,10
삼성전자,67,28,76,64,57,57,77,69,123,113
삼성전자가,15,2,14,10,16,12,14,14,26,38
삼성전자는,13,4,21,15,13,14,17,22,30,36
삼성전자에,2,1,7,4,2,4,4,4,5,3
삼성전자의,4,2,7,5,7,5,5,10,13,17
삼진으로,0,0,0,30,5,0,0,0,5,5
상당한,1,0,2,1,0,0,0,2,4,3
상대적으로,4,1,4,2,4,4,4,7,6,2
상무,5,0,4,3,5,6,8,4,5,7
상반기,16,4,17,10,1,12,9,9,11,13
상상을,2,3,0,3,3,2,2,3,4,4
상생세일,4,10,8,4,5,2,3,2,2,2
상승하며,4,0,5,4,1,6,5,1,7,3
상위에,4,0,3,4,2,3,4,2,5,5
상장사,4,1,4,2,4,4,4,7,6,2
상장을,4,1,5,4,2,5,4,5,4,3
상한,2,0,1,2,0,0,1,0,6,3
상한을,1,0,1,3,1,0,3,0,5,2
상향,4,1,4,2,4,4,4,7,6,2
상호운용성,1,2,1,1,5,3,5,2,3,2
새로운,52,11,32,24,24,23,28,26,40,57
색상,4,8,4,3,1,2,3,0,2,3
생산,50,13,62,36,38,50,51,51,64,57
생산라인,24,0,30,10,8,10,18,17,16,11
생태계,8,6,4,3,8,4,7,7,9,10
샤오미,7,6,12,6,9,5,7,12,14,16
서밋,5,1,2,2,6,2,4,3,4,3
서밋의,5,1,2,2,6,2,4,3,4,3
서비스,10,2,8,7,12,7,11,12,16,21
서비스까지,5,1,2,2,6,2,4,3,4,3
서비스로,4,1,1,2,3,1,3,2,2,3
서울특별시,5,0,4,3,5,6,8,4,5,7
서정성과,0,1,0,0,2,2,0,0,1,0
서한이다음,1,0,4,3,0,0,3,1,3,2
선공개,1,2,3,3,0,1,1,4,6,5
선물,3,5,2,1,2,2,3,4,5,7
선박,8,5,7,5,7,10,7,10,10,9
선발,0,0,0,2,8,1,3,1,1,1
선수,5,1,4,7,4,1,6,3,6,8
선익시스템,12,0,15,12,7,13,15,9,15,9
선익시스템은,4,0,3,4,2,3,4,2,5,5
선익시스템이,4,0,3,4,2,3,4,2,5,5
선점하고,4,0,5,4,1,6,5,1,7,3
선정,5,4,5,5,6,5,6,3,5,4
설계,6,2,4,4,5,4,7,5,7,4
설명했다.,9,5,6,8,5,7,9,8,8,8
설비,6,0,11,8,8,13,11,9,12,9
설비투자,3,0,5,4,4,8,4,5,4,2
성공적인,5,1,2,2,6,2,4,3,4,3
성과급,4,0,3,7,1,0,5,0,16,6
성과급을,1,0,1,2,0,0,1,0,5,1
성과를,8,0,11,9,6,11,13,5,10,4
성과와,5,0,4,5,3,5,8,3,4,2
성능,3,8,3,3,1,2,3,2,2,3
성능을,1,2,0,0,1,2,1,1,3,3
성분이,3,1,1,0,0,0,3,1,1,4
성장,20,0,21,8,10,12,18,12,12,13
성장을,5,0,4,3,5,6,8,4,5,7
성장할,6,2,4,4,5,4,7,5,7,4
세계,45,15,39,35,38,43,39,45,52,59
세계관을,2,2,3,2,2,2,2,0,1,1
세계를,2,8,1,3,2,4,3,2,6,5
세계에서,2,8,1,3,2,4,3,2,6,5
세리머니를,0,0,0,4,0,0,0,0,1,1
세븐나이츠,2,8,1,3,2,4,3,2,6,5
세액공제,3,0,5,4,4,8,4,5,4,2
센서,19,3,12,9,6,8,9,8,11,11
소개했다.,2,3,0,3,3,2,2,3,4,4
소니,5,1,4,3,4,1,6,3,5,7
소재,17,5,15,10,16,16,16,18,17,19
소폭,4,0,5,4,1,6,5,1,7,3
소프트웨어,12,4,12,6,0,6,4,8,4,10
소프트웨어를,4,10,8,4,5,2,3,2,2,2
소형준,0,0,1,2,1,1,1,2,1,1
소환,0,0,1,2,1,1,1,2,1,1
속도를,6,2,4,4,5,4,7,5,7,4
속보,0,0,1,2,1,1,1,2,1,1
손가락에서,1,0,1,2,2,2,3,4,4,8
손끝으로,4,1,1,2,3,1,3,2,2,3
솔루션,4,1,5,4,2,5,4,5,4,3
솔루션으로,6,4,4,4,8,4,7,4,10,11
솔루션은,3,2,3,3,0,4,3,1,2,2
솔루션을,16,7,13,12,8,13,12,4,12,10
송고,0,0,0,10,6,0,2,0,1,1
송승기,0,0,0,1,4,0,2,0,1,1
송파구,0,0,0,1,4,0,2,0,1,1
쇼케이스,5,1,2,2,6,2,4,3,4,3
수도권,1,0,4,3,0,0,3,1,3,2
수면,1,2,0,0,1,1,0,3,1,2
수면점수,1,2,0,0,1,1,0,3,1,2
수성구,0,0,0,30,5,0,0,0,5,5
수수료,3,5,2,1,2,2,3,4,5,7
수요,6,0,4,4,5,7,3,7,4,3
수요가,1,0,4,3,0,0,3,1,3,2
수익,5,1,4,3,4,1,6,3,5,7
수익률,4,0,3,4,2,3,4,2,5,5
수익성,8,0,19,11,4,11,15,3,23,11
수익성이,4,0,5,4,1,6,5,1,7,3
수입,8,5,7,5,7,10,7,10,10,9
수장들이,5,0,5,3,5,4,5,5,7,10
수주,13,5,13,9,9,15,11,15,14,11
수주를,8,0,8,3,2,4,5,3,3,2
수준의,10,0,9,6,10,7,9,9,13,20
수직,1,0,1,2,0,0,1,0,5,1
순으로,4,2,5,4,4,3,7,7,7,4
스냅드래곤,1,2,0,0,1,2,1,1,3,3
스마일게이트,2,7,3,4,1,4,4,3,4,4
스마트글라스,4,3,1,2,2,2,4,3,5,7
스마트글라스가,4,3,1,2,2,2,4,3,5,7
스마트글라스와,4,3,1,2,2,2,4,3,5,7
스마트워치,9,2,10,8,0,5,12,7,10,9
스마트워치를,9,2,10,8,0,5,12,7,10,9
스마트폰,23,8,23,18,27,18,20,28,43,62
스마트폰에,0,1,2,2,3,2,1,5,5,7
스위칭,6,0,8,3,0,4,3,3,5,3
스코어보드,5,1,4,3,4,1,6,3,5,7
스탠드,4,8,4,3,1,2,3,0,2,3
스퍼터,7,0,9,2,2,2,4,5,3,2
스페셜,2,7,3,4,1,4,4,3,4,4
스페인,7,9,5,6,6,5,9,5,11,12
스포츠,5,1,4,3,4,1,6,3,5,7
승리로,0,0,0,6,6,0,2,0,0,0
승부,1,2,3,3,0,1,1,4,6,5
시간이,12,4,12,6,0,6,4,8,4,10
시기,1,0,2,1,0,0,0,2,4,3
시리즈,12,12,12,7,7,4,5,4,5,6
시리즈는,4,10,8,4,5,2,3,2,2,2
시리즈의,31,6,16,12,8,10,8,9,12,15
시속,0,0,0,1,4,1,1,1,0,0
시스템,5,4,6,7,7,6,7,5,6,5
시장에,9,2,10,8,2,7,10,9,9,8
시장에서,32,6,37,21,16,25,29,25,32,35
시장에서는,3,0,6,4,4,5,7,4,8,7
시장은,5,1,5,4,0,2,6,4,5,5
시장의,3,5,2,1,2,2,3,4,5,7
시장이,4,1,5,3,4,3,4,5,8,10
시장조사업체,3,0,5,4,4,8,4,5,4,2
시장확대,4,0,5,4,1,6,5,1,7,3
시즌,0,0,0,7,10,1,4,1,2,2
시험,1,2,1,1,5,3,5,2,3,2
신규,18,0,21,8,7,7,13,12,12,11
신기술,3,0,6,4,4,5,7,4,8,7
신길5동,2,8,1,3,2,4,3,2,6,5
신소정,0,2,0,0,2,0,1,1,2,2
신작,2,7,3,4,1,4,4,3,4,4
신제품,10,0,9,6,10,7,9,9,13,20
신준희,0,0,0,6,6,0,2,0,0,0
신한,0,0,0,30,5,0,0,0,5,5
실리콘,8,0,8,3,2,4,5,3,3,2
실적,7,1,10,6,8,9,11,11,14,9
