org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
FD125와,4,10,8,4,5,2,3,2,2,2
FM,0,1,0,0,2,2,0,0,1,0
GPAI,1,3,0,1,4,3,1,1,5,4
GPAI는,1,3,0,1,4,3,1,1,5,4
GPU,1,2,0,0,1,2,1,1,3,3
GV90은,12,4,12,6,0,6,4,8,4,10
GV90의,12,4,12,6,0,6,4,8,4,10
Geekbench,1,2,0,0,1,2,1,1,3,3
HB테크놀러지와,9,2,9,4,4,6,7,7,8,6
HDMI,7,16,7,6,2,4,6,2,4,6
HDR,3,8,3,3,1,2,3,2,2,3
HD현대일렉트릭,4,1,4,2,4,4,4,7,6,2
HJ중공업,4,2,5,4,4,3,7,7,7,4
HUD,14,2,7,6,5,6,4,6,6,6
Harman,4,2,5,4,4,3,7,7,7,4
He,3,4,2,1,5,3,8,3,3,7
IP,2,7,3,4,1,4,4,3,4,4
IT,8,4,8,8,9,6,10,10,12,16
IWB-F86N1,4,10,8,4,5,2,3,2,2,2
Il,3,4,2,1,5,3,8,3,3,7
JG,12,4,12,6,0,6,4,8,4,10
Jang-wook,3,4,2,1,5,3,8,3,3,7
KBO,0,0,0,34,8,0,1,1,6,6
KBO리그,0,0,0,1,4,0,2,0,1,1
KIA,0,0,1,36,9,1,2,3,7,7
KOTRA,6,5,7,3,6,3,5,7,8,9
KT,7,4,8,12,11,5,9,9,10,10
LCD,9,1,18,12,6,15,16,7,18,8
LCoS,6,4,6,6,5,6,7,0,7,5
LED,48,9,28,22,14,16,22,19,25,30
LEDoS,6,2,4,4,5,4,7,5,7,4
LEDoS는,6,2,4,4,5,4,7,5,7,4
LED가,5,1,5,4,0,2,6,4,5,5
LG,17,5,16,16,25,13,25,16,20,24
LG는,0,0,0,1,4,0,2,0,1,1
LG디스플레이,57,14,75,58,48,75,87,53,82,53
LG디스플레이가,3,0,6,4,4,5,7,4,8,7
LG디스플레이는,7,0,11,8,5,11,12,5,15,10
LG디스플레이에,2,0,7,3,1,2,5,1,8,4
LG디스플레이의,6,1,12,8,3,10,9,5,12,6
LG와,0,0,0,6,6,0,2,0,0,0
LG의,5,0,4,4,9,7,9,5,5,7
LG전자,26,14,28,23,22,22,38,20,37,31
LG화학,5,0,4,3,5,6,8,4,5,7
LG화학의,5,0,4,3,5,6,8,4,5,7
LLO,8,0,8,3,2,4,5,3,3,2
LNG선,8,5,7,5,7,10,7,10,10,9
LTPO,15,0,19,7,2,8,9,6,9,5
LTPS,14,0,16,6,2,8,8,6,8,5
Labs,3,4,2,1,5,3,8,3,3,7
Laser,14,0,18,4,5,4,9,10,7,6
Lee,3,4,2,1,5,3,8,3,3,7
Lens,6,5,7,3,6,3,5,7,8,9
M4의,1,2,0,0,1,2,1,1,3,3
MK시그널은,4,0,3,4,2,3,4,2,5,5
MK시그널이,4,0,3,4,2,3,4,2,5,5
Micro-LED,4,1,5,4,0,3,6,3,5,4
Mode,3,8,3,3,1,2,3,2,2,3
MyV,3,4,2,1,5,3,8,3,3,7
NAND,4,2,5,4,4,3,7,7,7,4
NAVER,4,2,5,4,4,3,7,7,7,4
NB,4,2,2,0,0,0,6,2,2,7
NC,0,0,1,3,5,1,3,2,2,2
