term,cur,prev,diff,ma7,z_like,total
퀄컴,22,9,13,8.429,3.477,69
메타,14,4,10,4.0,3.333,38
vr,5,0,5,1.0,2.0,19
서피스,3,0,3,0.571,1.383,4
lg전자,13,9,4,7.857,1.352,297
구글,8,2,6,4.286,1.21,67
sharp,1,0,1,0.143,0.622,9
oled,16,15,1,13.429,0.551,322
byd,1,0,1,0.286,0.465,15
기아,1,0,1,0.286,0.465,44
샤프,1,1,0,0.286,0.465,4
아마존,1,1,0,0.286,0.465,14
tv,9,11,-2,7.429,0.422,197
벤츠,1,0,1,0.571,0.244,23
올레드,1,3,-2,0.714,0.155,10
엔비디아,4,6,-2,3.571,0.148,161
ar,1,2,-1,0.857,0.074,39
레노버,1,0,1,1.0,0.0,103
스마트폰,4,6,-2,4.286,-0.093,105
노트북,3,4,-1,3.429,-0.15,137
삼성전자,7,15,-8,7.714,-0.189,376
xr,2,5,-3,2.714,-0.27,91
사이니지,1,1,0,1.714,-0.309,12
모니터,1,3,-2,2.857,-0.69,153
lcd,4,24,-20,6.714,-0.756,74
애플,3,2,1,5.857,-0.835,373
lg디스플레이,3,14,-11,6.429,-0.97,106
폴더블,1,0,1,4.286,-1.07,279
디스플레이,2,13,-11,6.0,-1.16,193
아이폰,3,2,1,7.429,-1.189,271
