term,cur,prev,diff,total,ma7,z_like
tsmc,5,2,3,24,1.429,1.627
ltps,3,0,3,4,0.429,1.554
노트북,6,2,4,102,2.429,1.396
그램,2,0,2,3,0.286,1.117
스마트워치,2,1,1,4,0.429,0.95
퀄컴,3,1,2,31,1.143,0.898
sharp,2,0,2,27,0.571,0.814
boe,2,1,1,22,0.714,0.697
아이폰,3,3,0,80,1.571,0.634
fmm,1,0,1,1,0.143,0.622
uhd,1,0,1,1,0.143,0.622
생산능력,1,0,1,2,0.143,0.622
한화시스템,1,0,1,2,0.143,0.622
4k,1,0,1,11,0.143,0.622
양산,2,0,2,28,1.0,0.5
인텔,2,0,2,32,1.0,0.5
딥엑스,1,0,1,4,0.286,0.465
etri,1,1,0,17,0.286,0.465
스마트폰,4,3,1,105,2.857,0.425
벤츠,1,1,0,6,0.429,0.345
bmw,1,1,0,11,0.429,0.345
byd,1,0,1,11,0.429,0.345
ar,2,0,2,40,1.286,0.335
고성능,1,1,0,10,0.571,0.244
아이패드,1,0,1,15,0.571,0.244
맥북,1,1,0,14,0.714,0.155
메타,2,2,0,35,2.0,0.0
기아,1,0,1,42,1.286,-0.134
lg디스플레이,1,1,0,125,5.143,-1.268
