--- Sentiment Scaling Log (2026-08-30) ---
--- (Topic_ID (Semantic_Key): raw_score -> final_score) ---
--------------------------------------------------
Topic 0 (Set_Manufacturer): score_raw=0.5082 -> score_final=0.5082
Topic 0 (Set_Manufacturer): score_raw=0.5061 -> score_final=0.5061
Topic 0 (Set_Manufacturer): score_raw=0.5111 -> score_final=0.5111
Topic 0 (Set_Manufacturer): score_raw=0.5063 -> score_final=0.5063
Topic 0 (Set_Manufacturer): score_raw=0.5054 -> score_final=0.5054
Topic 0 (Set_Manufacturer): score_raw=0.5208 -> score_final=0.5208
Topic 0 (Set_Manufacturer): score_raw=0.5049 -> score_final=0.5049
Topic 0 (Set_Manufacturer): score_raw=0.5179 -> score_final=0.5179
Topic 0 (Set_Manufacturer): score_raw=0.5074 -> score_final=0.5074
Topic 0 (Set_Manufacturer): score_raw=0.4913 -> score_final=0.4913
Topic 0 (Set_Manufacturer): score_raw=0.5052 -> score_final=0.5052
Topic 0 (Set_Manufacturer): score_raw=0.4931 -> score_final=0.4931
Topic 0 (Set_Manufacturer): score_raw=0.5046 -> score_final=0.5046
Topic 0 (Set_Manufacturer): score_raw=0.5151 -> score_final=0.5151
Topic 0 (Set_Manufacturer): score_raw=0.5049 -> score_final=0.5049
Topic 0 (Set_Manufacturer): score_raw=0.5034 -> score_final=0.5034
Topic 0 (Set_Manufacturer): score_raw=0.5098 -> score_final=0.5098
Topic 0 (Set_Manufacturer): score_raw=0.5082 -> score_final=0.5082
Topic 0 (Set_Manufacturer): score_raw=0.5456 -> score_final=0.5456
Topic 0 (Set_Manufacturer): score_raw=0.5020 -> score_final=0.5020
Topic 0 (Set_Manufacturer): score_raw=0.4906 -> score_final=0.4906
Topic 0 (Set_Manufacturer): score_raw=0.5082 -> score_final=0.5082
Topic 0 (Set_Manufacturer): score_raw=0.5087 -> score_final=0.5087
Topic 0 (Set_Manufacturer): score_raw=0.5056 -> score_final=0.5056
Topic 0 (Set_Manufacturer): score_raw=0.5110 -> score_final=0.5110
Topic 0 (Set_Manufacturer): score_raw=0.5148 -> score_final=0.5148
Topic 0 (Set_Manufacturer): score_raw=0.5002 -> score_final=0.5002
Topic 0 (Set_Manufacturer): score_raw=0.5076 -> score_final=0.5076
Topic 0 (Set_Manufacturer): score_raw=0.5070 -> score_final=0.5070
Topic 0 (Set_Manufacturer): score_raw=0.5117 -> score_final=0.5117
Topic 0 (Set_Manufacturer): score_raw=0.5073 -> score_final=0.5073
Topic 0 (Set_Manufacturer): score_raw=0.5035 -> score_final=0.5035
Topic 0 (Set_Manufacturer): score_raw=0.4992 -> score_final=0.4992
Topic 0 (Set_Manufacturer): score_raw=0.5058 -> score_final=0.5058
Topic 0 (Set_Manufacturer): score_raw=0.5060 -> score_final=0.5060
Topic 0 (Set_Manufacturer): score_raw=0.5140 -> score_final=0.5140
Topic 0 (Set_Manufacturer): score_raw=0.5141 -> score_final=0.5141
Topic 0 (Set_Manufacturer): score_raw=0.5122 -> score_final=0.5122
Topic 0 (Set_Manufacturer): score_raw=0.5337 -> score_final=0.5337
Topic 0 (Set_Manufacturer): score_raw=0.5123 -> score_final=0.5123
Topic 0 (Set_Manufacturer): score_raw=0.5048 -> score_final=0.5048
Topic 0 (Set_Manufacturer): score_raw=0.5026 -> score_final=0.5026
Topic 0 (Set_Manufacturer): score_raw=0.5162 -> score_final=0.5162
