term,cur,prev,diff,total,ma7,z_like
아이폰,6,3,3,114,2.429,1.396
tv,6,7,-1,386,9.286,-0.812
애플,5,5,0,259,8.714,-0.94
삼성전자,5,10,-5,512,16.857,-2.322
공급망,3,2,1,40,2.571,0.165
노트북,3,9,-6,140,4.429,-0.46
lg전자,3,5,-2,204,7.571,-1.219
구글,2,0,2,75,0.571,0.814
xr,2,3,-1,121,4.714,-0.856
lg디스플레이,2,8,-6,134,8.714,-1.699
디스플레이,2,4,-2,230,14.571,-2.61
샤오펑,1,0,1,1,0.143,0.622
아마존,1,0,1,19,0.286,0.465
맥북,1,0,1,12,0.286,0.465
샤오미,1,0,1,11,0.286,0.465
byd,1,0,1,10,0.429,0.345
레노버,1,0,1,51,0.571,0.244
메타,1,1,0,31,0.571,0.244
수율,1,2,-1,12,0.571,0.244
선익시스템,1,0,1,17,0.714,0.155
기아,1,3,-2,50,1.143,-0.069
hp,1,0,1,28,1.143,-0.069
ar,1,1,0,52,1.429,-0.195
갤럭시,1,0,1,87,1.571,-0.254
인텔,1,7,-6,32,2.0,-0.414
퀀텀닷,1,2,-1,16,2.286,-0.512
스마트폰,1,1,0,123,3.571,-0.89
벤츠,1,1,0,53,6.571,-1.563
oled,1,7,-6,336,16.714,-3.088
