term,cur,prev,diff,ma7,z_like,total
hp,24,0,24,4.571,6.191,68
tcl,18,19,-1,7.0,3.017,88
xr,10,2,8,2.429,2.959,62
소니,20,24,-4,8.571,2.91,69
디스플레이,11,8,3,4.571,2.049,243
현대모비스,5,2,3,1.0,2.0,36
ar,5,0,5,1.286,1.741,33
애플,12,5,7,6.286,1.629,164
스마트폰,8,1,7,3.571,1.532,94
벤큐,3,0,3,0.571,1.383,9
올레드,3,0,3,0.571,1.383,38
tv,27,33,-6,20.286,1.22,439
lg디스플레이,5,1,4,2.143,1.16,108
boe,3,1,2,1.286,0.803,23
benq,1,0,1,0.143,0.622,1
고해상도,1,0,1,0.143,0.622,2
아마존,1,0,1,0.143,0.622,7
퀄컴,1,0,1,0.143,0.622,29
해상도,1,0,1,0.143,0.622,8
공급망,1,0,1,0.429,0.345,19
양산,2,0,2,1.286,0.335,35
모니터,4,1,3,3.143,0.309,221
삼성디스플레이,4,16,-12,3.286,0.254,161
메타,1,0,1,0.571,0.244,20
아이폰,3,4,-1,2.571,0.165,62
갤럭시,3,6,-3,2.571,0.165,78
폴더블,2,2,0,1.714,0.124,73
모바일,1,3,-2,1.429,-0.195,62
lg전자,6,10,-4,7.286,-0.348,365
삼성전자,7,7,0,8.571,-0.4,482
구글,1,0,1,2.0,-0.414,56
노트북,4,4,0,5.857,-0.543,137
레노버,1,14,-13,2.571,-0.604,106
sk하이닉스,1,1,0,2.857,-0.69,51
oled,11,27,-16,15.571,-0.924,496
