term,cur,prev,diff,total,ma7,z_like
애플,20,5,15,306,9.571,2.547
아이폰,12,3,9,91,3.857,2.747
삼성전자,11,4,7,357,16.143,-1.025
lg전자,10,4,6,289,8.857,0.287
폴더블,10,6,4,199,9.429,0.14
oled,9,2,7,295,16.286,-1.447
tv,8,5,3,204,11.286,-0.754
ar,6,2,4,70,2.714,1.241
갤럭시,6,5,1,172,4.429,0.506
엔비디아,6,8,-2,128,6.714,-0.199
asus,5,0,5,17,1.143,1.864
노트북,5,5,0,97,3.143,0.67
스마트폰,5,6,-1,103,4.143,0.282
구글,4,3,1,95,3.571,0.148
디스플레이,4,3,1,167,8.0,-1.045
기아,3,0,3,24,0.857,1.113
xr,3,1,2,66,2.857,0.053
nvidia,2,0,2,5,0.286,1.117
vr,2,0,2,13,0.429,0.95
인텔,2,1,1,33,0.857,0.593
샤오미,2,0,2,17,1.0,0.5
벤츠,2,2,0,30,3.286,-0.457
벤큐,1,0,1,11,0.143,0.622
설비투자,1,0,1,10,0.143,0.622
알파벳,1,0,1,10,0.143,0.622
고성능,1,0,1,7,0.143,0.622
postech,1,0,1,2,0.143,0.622
아이맥,1,0,1,2,0.143,0.622
현대모비스,1,0,1,2,0.143,0.622
amoled,1,0,1,1,0.143,0.622
생산능력,1,0,1,5,0.286,0.465
아마존,1,0,1,33,0.429,0.345
메타,1,0,1,28,0.714,0.155
맥북,1,0,1,15,0.714,0.155
양산,1,1,0,66,1.0,0.0
lg디스플레이,1,0,1,109,2.0,-0.414
모니터,1,3,-2,96,2.143,-0.464
삼성디스플레이,1,1,0,42,4.143,-1.035
