org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,0,273.7942,0.0133,0.6115,273.7942
AMD,3,228.0454,0.0242,0.5093,228.0454
AMD,2,172.6692,0.0204,0.3857,172.6692
AMD,1,163.0383,0.0097,0.3641,163.0383
AMD,4,108.8241,0.0187,0.2431,108.8241
AMD,8,51.8801,0.0179,0.1159,51.8801
AMD,5,36.3153,0.0110,0.0811,36.3153
AMD,6,27.0838,0.0107,0.0605,27.0838
AMD,7,19.7680,0.0069,0.0442,19.7680
AMD,9,8.8454,0.0124,0.0198,8.8454
AMD,10,6.1197,0.0088,0.0137,6.1197
ASUS,0,68.7925,0.0033,0.6626,68.7925
ASUS,1,63.9770,0.0038,0.6162,63.9770
ASUS,2,34.3963,0.0041,0.3313,34.3963
ASUS,4,18.0218,0.0031,0.1736,18.0218
ASUS,3,16.6355,0.0018,0.1602,16.6355
ASUS,7,10.2501,0.0036,0.0987,10.2501
ASUS,5,6.0526,0.0018,0.0583,6.0526
ASUS,6,3.9829,0.0016,0.0384,3.9829
ASUS,10,2.6227,0.0038,0.0253,2.6227
ASUS,8,2.2888,0.0008,0.0220,2.2888
AUO,0,54.3461,0.0026,0.6845,54.3461
AUO,1,48.8427,0.0029,0.6152,48.8427
AUO,2,21.3257,0.0025,0.2686,21.3257
AUO,3,12.4766,0.0013,0.1571,12.4766
AUO,7,12.4465,0.0043,0.1568,12.4465
AUO,4,10.3972,0.0018,0.1310,10.3972
AUO,8,6.8665,0.0024,0.0865,6.8665
AUO,6,4.7795,0.0019,0.0602,4.7795
AUO,5,4.5394,0.0014,0.0572,4.5394
AUO,10,0.8742,0.0013,0.0110,0.8742
Acer,0,59.1616,0.0029,0.6900,59.1616
Acer,1,50.2185,0.0030,0.5857,50.2185
Acer,2,28.2049,0.0033,0.3290,28.2049
Acer,3,14.5561,0.0015,0.1698,14.5561
Acer,4,13.1698,0.0023,0.1536,13.1698
Acer,7,10.9822,0.0038,0.1281,10.9822
Acer,5,3.7828,0.0011,0.0441,3.7828
Acer,10,2.6227,0.0038,0.0306,2.6227
Acer,6,2.3897,0.0009,0.0279,2.3897
Acer,8,0.7629,0.0003,0.0089,0.7629
BMW,5,102.8934,0.0310,0.5433,102.8934
BMW,0,101.8129,0.0049,0.5376,101.8129
BMW,1,66.7287,0.0040,0.3523,66.7287
BMW,3,59.6107,0.0063,0.3147,59.6107
BMW,2,56.4099,0.0067,0.2978,56.4099
BMW,4,55.4518,0.0095,0.2928,55.4518
BMW,8,19.0736,0.0066,0.1007,19.0736
BMW,7,13.1787,0.0046,0.0696,13.1787
BMW,6,10.3556,0.0041,0.0547,10.3556
BMW,10,3.4970,0.0051,0.0185,3.4970
BOE,0,863.3462,0.0418,0.7301,863.3462
BOE,1,714.7543,0.0426,0.6044,714.7543
BOE,3,247.4535,0.0263,0.2093,247.4535
BOE,2,197.4345,0.0233,0.1670,197.4345
BOE,7,143.5013,0.0499,0.1214,143.5013
BOE,4,110.9035,0.0190,0.0938,110.9035
BOE,8,60.2725,0.0207,0.0510,60.2725
BOE,5,57.4992,0.0173,0.0486,57.4992
BOE,6,44.6086,0.0176,0.0377,44.6086
BOE,10,8.7424,0.0126,0.0074,8.7424
BOE,9,2.2114,0.0031,0.0019,2.2114
BYD,0,123.1386,0.0060,0.6255,123.1386
BYD,1,90.8061,0.0054,0.4613,90.8061
BYD,5,80.9529,0.0244,0.4112,80.9529
BYD,3,59.6107,0.0063,0.3028,59.6107
BYD,2,49.5306,0.0058,0.2516,49.5306
BYD,4,47.8272,0.0082,0.2430,47.8272
BYD,7,17.5716,0.0061,0.0893,17.5716
BYD,8,11.4441,0.0039,0.0581,11.4441
BYD,6,6.3727,0.0025,0.0324,6.3727
BYD,10,3.4970,0.0051,0.0178,3.4970
BYD,9,2.2114,0.0031,0.0112,2.2114
Bosch,2,4.8155,0.0006,0.6891,4.8155
Bosch,1,3.4396,0.0002,0.4922,3.4396
Bosch,0,2.7517,0.0001,0.3938,2.7517
Bosch,3,2.0794,0.0002,0.2976,2.0794
Bosch,4,1.3863,0.0002,0.1984,1.3863
CES,0,262.0995,0.0127,0.6723,262.0995
CES,1,235.2704,0.0140,0.6035,235.2704
CES,2,94.2458,0.0111,0.2417,94.2458
CES,3,86.6434,0.0092,0.2222,86.6434
CES,4,85.2571,0.0146,0.2187,85.2571
CES,7,46.1254,0.0160,0.1183,46.1254
CES,5,37.8285,0.0114,0.0970,37.8285
CES,6,22.3043,0.0088,0.0572,22.3043
CES,8,13.7330,0.0047,0.0352,13.7330
CES,10,6.9939,0.0101,0.0179,6.9939
CSOT,0,479.4839,0.0232,0.7141,479.4839
CSOT,1,434.7687,0.0259,0.6475,434.7687
CSOT,3,101.1995,0.0108,0.1507,101.1995
CSOT,2,90.1182,0.0106,0.1342,90.1182
