org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,273.79 (1%),163.04 (1%),,172.67 (2%),228.05 (2%),108.82 (2%),36.32 (1%),27.08 (1%),,51.88 (2%),
ASUS,68.79 (0%),63.98 (0%),,34.40 (0%),16.64 (0%),18.02 (0%),6.05 (0%),3.98 (0%),10.25 (0%),,
AUO,54.35 (0%),48.84 (0%),,21.33 (0%),12.48 (0%),10.40 (0%),,4.78 (0%),12.45 (0%),6.87 (0%),
Acer,59.16 (0%),50.22 (0%),2.62 (0%),28.20 (0%),14.56 (0%),13.17 (0%),3.78 (0%),,10.98 (0%),,
BMW,101.81 (0%),66.73 (0%),,56.41 (1%),59.61 (1%),55.45 (1%),102.89 (3%),,13.18 (0%),19.07 (1%),
BOE,863.35 (4%),714.75 (4%),,197.43 (2%),247.45 (3%),110.90 (2%),57.50 (2%),,143.50 (5%),60.27 (2%),
BYD,123.14 (1%),90.81 (1%),,49.53 (1%),59.61 (1%),47.83 (1%),80.95 (2%),,17.57 (1%),11.44 (0%),
Bosch,2.75 (0%),3.44 (0%),,4.82 (0%),2.08 (0%),1.39 (0%),,,,,
CES,262.10 (1%),235.27 (1%),,94.25 (1%),86.64 (1%),85.26 (1%),37.83 (1%),22.30 (1%),46.13 (2%),,
CSOT,479.48 (2%),434.77 (3%),,90.12 (1%),101.20 (1%),58.92 (1%),29.51 (1%),27.08 (1%),87.86 (3%),,
Corning,6.19 (0%),4.82 (0%),,1.38 (0%),2.08 (0%),2.08 (0%),,,1.46 (0%),,
Counterpoint,6.19 (0%),6.88 (0%),0.87 (0%),4.82 (0%),2.08 (0%),3.47 (0%),1.51 (0%),2.39 (0%),,,
DELL,1.38 (0%),0.69 (0%),,0.69 (0%),1.39 (0%),1.39 (0%),,,,,
DSCC,4.13 (0%),4.82 (0%),,0.69 (0%),1.39 (0%),0.69 (0%),,,0.73 (0%),,
Dell,69.48 (0%),59.85 (0%),,37.84 (0%),18.71 (0%),20.79 (0%),6.81 (0%),3.98 (0%),10.98 (0%),,
ETRI,46.78 (0%),31.64 (0%),,13.76 (0%),9.70 (0%),4.16 (0%),3.78 (0%),,17.57 (1%),8.39 (0%),
HMI,8.94 (0%),4.82 (0%),0.87 (0%),2.75 (0%),3.47 (0%),1.39 (0%),,,1.46 (0%),0.76 (0%),
HP,136.21 (1%),126.58 (1%),,59.85 (1%),26.34 (0%),24.26 (0%),,13.54 (1%),26.36 (1%),6.87 (0%),
Harman,30.96 (0%),22.70 (0%),,12.38 (0%),18.71 (0%),11.09 (0%),8.32 (0%),,10.25 (0%),1.53 (0%),
IEC,43.34 (0%),43.34 (0%),9.62 (1%),25.45 (0%),17.33 (0%),29.81 (1%),6.05 (0%),7.17 (0%),,,
IEEE,9.63 (0%),7.57 (0%),1.75 (0%),7.57 (0%),6.24 (0%),4.16 (0%),1.51 (0%),,1.46 (0%),,
IMID,55.03 (0%),48.15 (0%),,20.64 (0%),9.01 (0%),4.85 (0%),1.51 (0%),,27.09 (1%),6.10 (0%),
ITU,52.28 (0%),55.03 (0%),1.75 (0%),27.52 (0%),16.64 (0%),11.09 (0%),,1.59 (0%),8.79 (0%),,
Innolux,41.28 (0%),32.33 (0%),,20.64 (0%),10.40 (0%),7.62 (0%),10.59 (0%),,9.52 (0%),5.34 (0%),
IoT,290.99 (1%),254.53 (2%),,158.22 (2%),193.39 (2%),146.95 (3%),52.96 (2%),42.22 (2%),,49.59 (2%),
JDI,42.65 (0%),37.15 (0%),,7.57 (0%),11.09 (0%),6.24 (0%),,1.59 (0%),8.05 (0%),1.53 (0%),
KAIST,66.04 (0%),49.53 (0%),,35.77 (0%),36.74 (0%),22.87 (0%),16.64 (1%),,21.23 (1%),5.34 (0%),
LG디스플레이,1439.83 (7%),1215.56 (7%),,283.43 (3%),361.13 (4%),221.11 (4%),136.18 (4%),,271.63 (9%),91.55 (3%),
LG전자,1419.19 (7%),1312.56 (8%),,771.16 (9%),684.83 (7%),495.60 (9%),220.16 (7%),412.63 (16%),,369.26 (13%),
LG화학,301.31 (1%),205.00 (1%),,124.51 (1%),206.56 (2%),86.64 (1%),57.50 (2%),,,34.33 (1%),53.07 (7%)
MOTIE,0.69 (0%),0.69 (0%),,2.06 (0%),0.69 (0%),0.69 (0%),,,,,
MWC,15.13 (0%),12.38 (0%),0.87 (0%),8.26 (0%),4.85 (0%),3.47 (0%),,3.19 (0%),,1.53 (0%),
Merck,3.44 (0%),3.44 (0%),0.87 (0%),3.44 (0%),,,,,1.46 (0%),0.76 (0%),
SEMI,2.75 (0%),1.38 (0%),,0.69 (0%),2.08 (0%),0.69 (0%),,,,,
SID,132.77 (1%),102.50 (1%),,12.38 (0%),6.93 (0%),24.95 (0%),,3.19 (0%),42.46 (1%),1.53 (0%),
SK하이닉스,571.67 (3%),372.17 (2%),,202.25 (2%),413.81 (4%),148.33 (3%),,63.73 (3%),61.50 (2%),61.80 (2%),
