term,cur,prev,diff,ma7,z_like,total
메타,2,0,2,0.429,0.95,11
아마존,1,0,1,0.143,0.622,3
bmw,1,0,1,0.286,0.465,3
엔비디아,1,0,1,0.286,0.465,10
인텔,1,0,1,0.429,0.345,9
sk하이닉스,2,2,0,1.286,0.335,34
양산,1,0,1,0.571,0.244,24
비전프로,1,0,1,0.714,0.155,8
현대모비스,1,0,1,0.857,0.074,26
ar,2,2,0,1.857,0.06,39
구글,1,0,1,1.143,-0.069,24
tsmc,1,1,0,1.286,-0.134,21
차세대,1,3,-2,2.286,-0.512,50
폴더블,2,3,-1,3.857,-0.627,54
아이패드,1,7,-6,2.857,-0.69,26
갤럭시,2,2,0,4.143,-0.706,51
아이폰,1,5,-4,3.571,-0.89,46
애플,5,24,-19,10.571,-1.311,155
lg,6,6,0,13.571,-1.616,346
lg전자,2,0,2,8.571,-1.673,105
oled,1,14,-13,9.429,-2.071,187
삼성,7,19,-12,22.0,-2.636,491
삼성전자,3,17,-14,21.571,-3.29,268
