term,cur,diff,z_like
삼성,46,3,6.05
lg전자,29,5,4.87
lg,29,4,4.75
차세대,10,9,3.31
ar,6,5,2.35
ces,5,5,2.32
패널,6,4,2.21
아이폰,7,3,2.18
갤럭시,6,3,2.08
백플레인,4,4,1.95
