term,cur,prev,diff,ma7,z_like,total
kaist,4,0,4,1.0,1.5,26
카카오,12,0,12,1.857,4.293,37
수율,4,0,4,0.571,1.953,17
모바일,7,0,7,2.429,1.787,32
apple,2,0,2,0.286,1.117,6
byd,4,1,3,0.714,1.781,12
씽크패드,2,0,2,0.286,1.117,2
저전력,2,0,2,0.286,1.117,2
오포,2,0,2,0.286,1.117,3
bmw,2,0,2,0.286,1.117,13
비보북,8,0,8,1.143,3.314,8
boe,5,0,5,1.0,2.0,14
벤츠,11,0,11,1.571,4.184,37
amd,10,0,10,1.429,3.905,14
tcl,9,2,7,1.714,3.155,38
벤큐,4,0,4,0.571,1.953,12
그램,2,0,2,0.286,1.117,3
dell,4,1,3,0.714,1.781,10
현대모비스,2,0,2,0.429,0.95,4
고효율,2,0,2,0.429,0.95,5
