semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.4923
Automotive_Display_Topic,0.4971
Display_Materials_Topic,0.5113
Equipment_Maker,0.5254
Flexible_Display_Topic,0.5026
Foldable_Display_Topic,0.5114
Gaming_Monitor_Topic,0.5274
IT_OLED_Topic,0.5076
Material_Supplier,0.5120
MicroLED_Topic,0.4966
Panel_Manufacturer,0.5061
Platform_Company,0.4894
Quantum_Dot_Topic,0.5207
Set_Manufacturer,0.5073
Smartphone_Display_Topic,0.5047
TV_Display_Topic,0.5147
Transparent_Display_Topic,0.5097
XR_Device_Topic,0.4774
