term,cur,prev,diff,ma7,z_like,total
lg전자,19,7,12,7.571,3.046,258
lg디스플레이,5,1,4,1.429,1.627,65
디스플레이,8,9,-1,4.143,1.271,197
구글,6,3,3,3.0,1.098,124
amd,3,0,3,1.143,0.898,22
샤오미,2,0,2,0.571,0.814,8
벤츠,2,1,1,0.571,0.814,10
스마트폰,6,3,3,4.0,0.667,95
asus,1,0,1,0.143,0.622,9
tianma,1,0,1,0.143,0.622,1
xiaomi,1,0,1,0.143,0.622,1
서피스,1,0,1,0.143,0.622,6
태블릿,1,0,1,0.143,0.622,16
모바일,2,0,2,1.0,0.5,36
원익ips,1,0,1,0.286,0.465,2
sk온,1,1,0,0.429,0.345,4
boe,2,1,1,1.286,0.335,23
노트북,4,6,-2,3.143,0.309,130
맥북,2,1,1,1.429,0.26,17
tsmc,1,0,1,0.571,0.244,18
인텔,1,1,0,0.571,0.244,47
카카오,1,1,0,0.571,0.244,21
삼성디스플레이,3,14,-11,2.571,0.165,54
ar,1,0,1,0.714,0.155,28
화웨이,1,0,1,0.714,0.155,12
sk하이닉스,2,5,-3,1.857,0.06,40
양산,1,1,0,1.0,0.0,20
아이폰,1,2,-1,1.0,0.0,37
엔비디아,2,1,1,2.143,-0.058,103
기아,1,0,1,1.286,-0.134,28
수율,1,1,0,1.286,-0.134,10
폴더블,1,5,-4,1.714,-0.309,58
삼성전자,15,22,-7,17.0,-0.39,705
xr,2,4,-2,3.143,-0.412,98
갤럭시,1,4,-3,2.286,-0.512,69
레노버,1,13,-12,2.857,-0.69,49
올레드,1,2,-1,3.429,-0.852,52
tv,5,7,-2,8.857,-0.97,338
애플,2,3,-1,5.286,-0.996,190
hp,1,4,-3,4.429,-1.104,81
oled,4,33,-29,8.429,-1.135,294
