term,cur,prev,diff,ma7,z_like,total
현대모비스,6,0,6,1.286,2.209,27
아이폰,6,8,-2,4.0,0.667,90
hp,1,0,1,0.143,0.622,49
에릭슨,1,0,1,0.143,0.622,5
에어팟,1,0,1,0.286,0.465,3
카카오,1,0,1,0.286,0.465,10
갤럭시,4,2,2,3.0,0.366,246
sharp,1,0,1,0.429,0.345,11
양산,1,0,1,0.429,0.345,16
아마존,1,2,-1,0.429,0.345,9
고성능,1,0,1,0.571,0.244,17
ar,2,0,2,1.714,0.124,33
스마트폰,3,7,-4,2.714,0.108,116
맥북,1,1,0,1.0,0.0,90
메타,1,2,-1,1.0,0.0,23
sk하이닉스,1,0,1,1.857,-0.363,62
tcl,1,0,1,1.857,-0.363,72
amd,1,1,0,1.857,-0.363,34
레노버,1,8,-7,2.286,-0.512,81
인텔,1,0,1,2.571,-0.604,32
모바일,1,3,-2,2.714,-0.648,63
애플,6,16,-10,9.0,-0.75,245
lg전자,1,2,-1,3.143,-0.773,180
모니터,2,8,-6,4.714,-0.856,138
폴더블,2,4,-2,5.0,-0.927,81
xr,1,4,-3,5.714,-1.39,116
디스플레이,2,7,-5,7.143,-1.4,283
삼성전자,5,6,-1,22.0,-2.987,508
엔비디아,1,10,-9,16.0,-3.0,222
