org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,761.83 (1%),571.55 (1%),,523.46 (1%),574.98 (1%),675.96 (4%),130.80 (1%),512.47 (2%),158.73 (1%),,
ASE,174.49 (0%),138.76 (0%),,189.60 (0%),122.96 (0%),39.84 (0%),,56.33 (0%),34.66 (0%),42.28 (0%),
ASUS,487.05 (1%),363.40 (1%),,304.32 (1%),435.53 (1%),535.83 (3%),118.91 (1%),313.94 (1%),133.08 (1%),,
AUO,44.65 (0%),37.10 (0%),,35.72 (0%),31.60 (0%),8.24 (0%),,17.86 (0%),12.48 (0%),9.01 (0%),
Acer,135.33 (0%),100.30 (0%),,85.87 (0%),111.29 (0%),164.87 (1%),30.08 (0%),95.49 (0%),30.50 (0%),,
Amkor,32.97 (0%),21.30 (0%),,27.48 (0%),23.36 (0%),5.50 (0%),,12.37 (0%),4.16 (0%),4.16 (0%),
Apple,132.58 (0%),95.49 (0%),,85.87 (0%),96.17 (0%),50.15 (0%),36.37 (0%),80.37 (0%),38.82 (0%),,
BMW,588.72 (1%),517.28 (1%),,524.15 (1%),471.94 (1%),162.81 (1%),119.61 (1%),212.96 (1%),219.73 (2%),,
BOE,1002.27 (2%),781.76 (2%),,625.82 (1%),524.83 (1%),189.60 (1%),,323.56 (1%),91.50 (1%),149.03 (2%),
BYD,327.68 (1%),281.65 (1%),,298.14 (1%),223.95 (1%),79.69 (0%),,122.96 (0%),104.67 (1%),72.78 (1%),
Bosch,8.93 (0%),6.18 (0%),2.22 (0%),6.18 (0%),4.81 (0%),,2.10 (0%),2.75 (0%),3.47 (0%),,
CSOT,251.43 (0%),204.03 (0%),,143.57 (0%),123.65 (0%),44.65 (0%),,61.83 (0%),21.49 (0%),46.44 (0%),
Continental,19.23 (0%),15.11 (0%),,21.98 (0%),12.37 (0%),3.43 (0%),,9.62 (0%),5.55 (0%),6.24 (0%),
Dell,605.21 (1%),430.03 (1%),,422.48 (1%),522.09 (1%),296.08 (2%),77.64 (1%),515.90 (2%),124.77 (1%),,
ETRI,213.64 (0%),167.62 (0%),,200.59 (0%),188.91 (0%),52.21 (0%),,76.94 (0%),33.96 (0%),68.62 (1%),
HP,934.26 (2%),636.81 (1%),,701.38 (2%),696.57 (2%),558.49 (3%),342.73 (3%),601.09 (2%),268.25 (3%),,
Harman,68.70 (0%),63.20 (0%),,61.83 (0%),39.84 (0%),13.74 (0%),,17.17 (0%),7.62 (0%),13.17 (0%),
Innolux,17.17 (0%),13.74 (0%),,16.49 (0%),13.74 (0%),2.75 (0%),,10.30 (0%),4.85 (0%),4.16 (0%),
JDI,74.19 (0%),63.20 (0%),,61.83 (0%),35.03 (0%),26.79 (0%),,17.17 (0%),10.40 (0%),11.09 (0%),
KAIST,557.12 (1%),454.76 (1%),,478.12 (1%),476.75 (1%),145.63 (1%),,229.44 (1%),122.69 (1%),395.79 (4%),
LG디스플레이,2666.76 (5%),2358.32 (5%),,1919.35 (4%),1888.44 (5%),550.94 (3%),,745.35 (3%),414.50 (4%),469.26 (5%),
LG전자,4269.43 (8%),3961.67 (8%),,3451.26 (8%),3148.32 (8%),1141.72 (6%),1443.68 (14%),1753.80 (7%),890.00 (8%),,
LG화학,1191.18 (2%),1041.42 (2%),,1149.96 (3%),838.09 (2%),181.36 (1%),,391.56 (2%),194.77 (2%),204.48 (2%),
Magna,2.75 (0%),2.75 (0%),,,2.75 (0%),1.37 (0%),1.40 (0%),2.06 (0%),2.08 (0%),1.39 (0%),
Merck,24.73 (0%),19.23 (0%),,16.49 (0%),19.92 (0%),3.43 (0%),,10.30 (0%),4.16 (0%),13.86 (0%),
Nitto,9.62 (0%),6.18 (0%),,8.93 (0%),8.24 (0%),0.69 (0%),0.70 (0%),2.06 (0%),,1.39 (0%),
POSTECH,49.46 (0%),35.03 (0%),,27.48 (0%),59.77 (0%),8.24 (0%),,20.61 (0%),10.40 (0%),18.02 (0%),
SFA,3.43 (0%),2.75 (0%),,2.06 (0%),2.75 (0%),2.75 (0%),6.30 (0%),2.75 (0%),,,2.10 (0%)
SK하이닉스,2351.45 (4%),1920.04 (4%),,2051.94 (5%),1680.98 (4%),486.36 (3%),,877.93 (4%),306.37 (3%),403.41 (4%),
TCL,414.23 (1%),384.01 (1%),,263.79 (1%),173.80 (0%),110.60 (1%),174.16 (2%),152.50 (1%),,58.22 (1%),
TSMC,621.69 (1%),476.06 (1%),,553.00 (1%),455.45 (1%),135.33 (1%),,240.43 (1%),85.26 (1%),112.29 (1%),
Tianma,44.65 (0%),36.41 (0%),,20.61 (0%),25.42 (0%),8.93 (0%),1.40 (0%),18.55 (0%),,6.24 (0%),
Toray,9.62 (0%),,10.36 (0%),4.81 (0%),8.93 (0%),6.18 (0%),11.89 (0%),5.50 (0%),4.85 (0%),,
UDC,76.94 (0%),74.19 (0%),,54.27 (0%),50.15 (0%),16.49 (0%),,37.10 (0%),9.01 (0%),18.71 (0%),
UL,69.38 (0%),55.64 (0%),,52.21 (0%),49.46 (0%),44.65 (0%),,45.34 (0%),22.18 (0%),14.56 (0%),
Visionox,138.76 (0%),107.85 (0%),,70.76 (0%),67.32 (0%),30.91 (0%),,39.16 (0%),11.09 (0%),22.87 (0%),
구글,1854.26 (3%),1453.84 (3%),,1397.15 (3%),1388.54 (3%),701.81 (3%),446.43 (4%),1425.14 (5%),429.37 (4%),,
기아,1264.68 (2%),975.48 (2%),,1248.20 (3%),925.33 (2%),283.03 (1%),,480.87 (2%),448.47 (4%),227.35 (2%),
기아자동차,77.63 (0%),60.45 (0%),,81.06 (0%),50.83 (0%),13.74 (0%),,24.73 (0%),18.02 (0%),13.86 (0%),
네이버,1681.67 (3%),1274.99 (3%),,1267.43 (3%),1391.08 (3%),806.49 (4%),676.37 (6%),1016.69 (4%),451.93 (4%),,
도우인시스,50.83 (0%),40.34 (0%),,42.76 (0%),32.27 (0%),,4.11 (0%),13.71 (0%),6.51 (0%),9.77 (0%),
두산로보틱스,270.66 (0%),227.38 (0%),,268.60 (1%),215.70 (1%),83.12 (0%),,116.10 (0%),72.78 (1%),77.63 (1%),
딥엑스,42.59 (0%),32.29 (0%),,35.72 (0%),38.47 (0%),6.87 (0%),,16.49 (0%),4.16 (0%),5.55 (0%),
레노버,1323.50 (1%),921.35 (1%),,889.68 (1%),1081.11 (1%),1713.25 (4%),1663.09 (8%),929.62 (2%),415.50 (2%),,
리벨리온,202.65 (0%),167.62 (0%),,162.12 (0%),181.36 (0%),50.15 (0%),,92.05 (0%),36.74 (0%),32.58 (0%),
리오토,30.23 (0%),20.61 (0%),,21.30 (0%),13.74 (0%),4.81 (0%),4.90 (0%),13.05 (0%),4.85 (0%),,
마이크로소프트,1362.23 (2%),1024.94 (2%),,989.22 (2%),1048.98 (3%),816.79 (4%),225.92 (2%),866.94 (3%),249.53 (2%),,
메타,1324.58 (2%),1097.39 (2%),,974.57 (2%),1045.21 (2%),402.99 (2%),,688.78 (2%),186.30 (1%),208.98 (2%),
미디어텍,232.19 (0%),198.53 (0%),,222.57 (1%),160.06 (0%),76.25 (0%),,96.86 (0%),47.13 (0%),47.83 (0%),
바이두,44.65 (0%),35.72 (0%),,28.85 (0%),30.91 (0%),12.37 (0%),6.99 (0%),28.85 (0%),7.62 (0%),,
벤츠,877.93 (2%),873.12 (2%),,621.69 (1%),655.36 (2%),173.80 (1%),,214.33 (1%),224.58 (2%),176.06 (2%),
비보,195.78 (0%),172.43 (0%),,125.03 (0%),115.41 (0%),63.20 (0%),,76.25 (0%),31.19 (0%),34.66 (0%),
삼성디스플레이,2588.45 (5%),2477.85 (5%),,1880.20 (4%),1813.56 (4%),532.39 (3%),,737.79 (3%),322.31 (3%),502.53 (5%),
삼성전자,9066.43 (16%),8396.65 (18%),,6732.16 (15%),6328.23 (16%),2693.55 (14%),1770.32 (17%),3269.91 (13%),,1493.73 (15%),
샤오미,687.04 (1%),647.00 (1%),,429.50 (1%),442.06 (1%),218.28 (1%),101.53 (1%),360.40 (1%),117.26 (1%),,
샤오펑,4.81 (0%),4.81 (0%),0.74 (0%),4.81 (0%),2.06 (0%),,,,0.69 (0%),0.69 (0%),0.70 (0%)
샤프,85.18 (0%),59.08 (0%),,60.45 (0%),54.27 (0%),29.54 (0%),35.67 (0%),55.64 (0%),,,151.08 (3%)
선익시스템,183.73 (0%),131.13 (0%),,116.21 (0%),141.33 (0%),,21.59 (0%),72.24 (0%),21.39 (0%),38.82 (0%),
세미파이브,21.98 (0%),18.55 (0%),,24.04 (0%),17.17 (0%),4.81 (0%),,10.99 (0%),4.16 (0%),3.47 (0%),
소니,189.60 (0%),164.87 (0%),,136.02 (0%),131.90 (0%),100.30 (1%),,116.10 (0%),56.14 (1%),46.44 (0%),
아마존,896.48 (2%),651.23 (1%),,713.75 (2%),667.72 (2%),278.22 (1%),246.91 (2%),510.41 (2%),170.51 (2%),,
알파벳,368.21 (1%),229.44 (0%),,275.47 (1%),240.43 (1%),90.68 (0%),53.16 (0%),223.95 (1%),,,50.36 (1%)
애플,2828.29 (5%),2257.69 (5%),,2007.70 (4%),1758.41 (4%),947.00 (5%),536.40 (5%),1425.09 (6%),627.76 (6%),,
엔비디아,3817.76 (7%),3055.61 (6%),,2908.93 (7%),3027.54 (7%),1710.27 (9%),,1870.98 (7%),632.35 (6%),558.71 (6%),
오포,200.59 (0%),172.43 (0%),,128.46 (0%),113.35 (0%),46.03 (0%),,76.94 (0%),30.50 (0%),33.27 (0%),
원익IPS,233.56 (0%),192.35 (0%),,256.92 (1%),166.93 (0%),50.15 (0%),,70.07 (0%),36.74 (0%),65.16 (1%),
인텔,1286.67 (2%),1022.88 (2%),,1039.36 (2%),981.66 (2%),1172.63 (6%),,706.19 (3%),286.96 (3%),238.44 (2%),
카카오,794.29 (1%),616.71 (1%),,656.95 (1%),624.58 (1%),300.92 (1%),206.64 (2%),433.89 (1%),169.47 (1%),,
퀄컴,917.77 (2%),817.48 (2%),,800.99 (2%),662.22 (2%),326.30 (2%),,506.29 (2%),194.08 (2%),208.64 (2%),
텐센트,75.57 (0%),54.27 (0%),,52.90 (0%),41.22 (0%),24.04 (0%),19.58 (0%),33.66 (0%),,,14.69 (0%)
폭스바겐,509.87 (1%),388.86 (1%),,568.77 (1%),356.59 (1%),100.85 (0%),,190.40 (1%),160.36 (1%),102.57 (1%),
퓨리오사,11.68 (0%),10.30 (0%),,6.18 (0%),12.37 (0%),1.37 (0%),,5.50 (0%),1.39 (0%),1.39 (0%),
하이센스,271.80 (0%),267.30 (1%),,185.46 (0%),120.13 (0%),65.32 (0%),87.92 (1%),99.11 (0%),40.91 (0%),,
하이얼,48.09 (0%),36.41 (0%),,30.91 (0%),28.17 (0%),14.43 (0%),7.69 (0%),19.92 (0%),,,5.60 (0%)
한미반도체,373.70 (1%),312.56 (1%),,384.01 (1%),255.55 (1%),80.37 (0%),,125.71 (1%),61.00 (1%),91.50 (1%),
한화솔루션,182.04 (0%),153.19 (0%),,184.79 (0%),132.58 (0%),36.41 (0%),,52.90 (0%),32.58 (0%),40.90 (0%),
한화시스템,305.01 (1%),263.10 (1%),,346.23 (1%),239.75 (1%),63.20 (0%),,134.64 (1%),72.09 (1%),55.45 (1%),
현대모비스,819.54 (1%),664.97 (1%),,895.79 (2%),579.79 (1%),138.76 (1%),,310.50 (1%),173.98 (2%),190.62 (2%),
현대자동차,939.07 (2%),708.94 (2%),,798.24 (2%),785.19 (2%),219.14 (1%),,383.32 (2%),229.43 (2%),176.06 (2%),
화웨이,619.09 (1%),529.96 (1%),,450.54 (1%),401.92 (1%),122.36 (1%),,231.76 (1%),95.66 (1%),129.19 (1%),
