semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.5415
Automotive_Display_Topic,0.5512
Display_Materials_Topic,0.5262
Equipment_Maker,0.7545
Flexible_Display_Topic,0.5962
Foldable_Display_Topic,0.5811
Gaming_Monitor_Topic,0.6963
IT_OLED_Topic,0.4850
MicroLED_Topic,0.4925
OLED_Topic,0.4999
Panel_Manufacturer,0.6091
Platform_Company,0.5875
Quantum_Dot_Topic,0.5223
Set_Manufacturer,0.5958
Smartphone_Display_Topic,0.8479
TV_Display_Topic,0.6772
Transparent_Display_Topic,0.6474
Uncategorized,0.4878
XR_Device_Topic,0.9999
