term,cur,prev,diff,total,ma7,z_like
lg디스플레이,18,1,17,134,5.714,3.624
모바일,10,2,8,60,2.286,3.071
삼성디스플레이,14,1,13,86,5.286,2.641
tcl,7,0,7,97,1.857,2.177
boe,3,1,2,37,0.714,1.239
etri,2,0,2,6,0.286,1.117
bmw,2,1,1,8,0.714,0.697
메타,2,2,0,22,0.714,0.697
수율,1,0,1,7,0.143,0.622
설비투자,1,0,1,14,0.143,0.622
선익시스템,1,0,1,36,0.143,0.622
생산능력,2,0,2,17,0.857,0.593
uhd,1,0,1,2,0.286,0.465
기아,1,1,0,11,0.286,0.465
벤큐,1,1,0,12,0.429,0.345
오포,1,1,0,13,0.571,0.244
양산,1,1,0,23,0.571,0.244
레노버,1,1,0,72,1.0,0.0
스마트폰,1,1,0,112,1.571,-0.254
공급망,1,1,0,36,2.286,-0.512
갤럭시,1,1,0,247,2.857,-0.69
