term,cur,prev,diff,ma7,z_like,total
cvd,1,0,1,0.143,0.622,1
dell,1,0,1,0.143,0.622,2
주사율,1,0,1,0.143,0.622,2
amd,1,0,1,0.286,0.465,46
hp,1,0,1,0.286,0.465,19
qled,1,1,0,0.286,0.465,7
양산,1,1,0,0.714,0.155,13
byd,1,4,-3,0.714,0.155,17
구글,1,1,0,0.857,0.074,35
모니터,2,0,2,2.143,-0.058,105
asus,1,0,1,1.286,-0.134,16
올레드,1,0,1,1.286,-0.134,43
lg전자,1,2,-1,2.857,-0.69,205
레노버,3,27,-24,5.286,-0.693,75
lg디스플레이,2,19,-17,4.286,-0.744,106
tv,1,5,-4,4.429,-1.104,223
엔비디아,1,21,-20,4.429,-1.104,201
디스플레이,4,10,-6,9.571,-1.361,186
oled,1,27,-26,6.0,-1.449,252
삼성전자,4,13,-9,12.0,-1.792,562
