date,types,title,url,org
2025-11-19,"CERT,INVEST,LAUNCH,ORDER,PARTNERSHIP",[AT 산업 단신] 삼성전자·LG전자·삼성디스플레이·한미반도체·태광그...,https://www.asiatime.co.kr/article/20251119500398,"LG전자, 네이버, 마이크로소프트, 삼성디스플레이, 삼성전자, 아마존, 한미반도체"
2025-11-19,"CERT,INVEST,LAUNCH,ORDER,PARTNERSHIP","로봇·산업용·협동로봇 관련주, '봄꽃만개' 에스피지·디아이씨·현대...",http://www.finomy.com/news/articleView.html?idxno=243371,"KAIST, LG전자, LG화학, 두산로보틱스, 삼성전자, 엔비디아, 현대모비스"
2025-11-19,CERT,[리뷰] 4K 240Hz QD-OLED 성능에 화이트 감성 더한 'MSI MPG 321URXW',https://www.cnet.co.kr/view/?no=20250911110047,Unknown
2025-11-17,"CERT,INVEST",[르포] 안경 없이 3D로 게임하는 노트북?…'레노버 팝업 스토어 성수' 가...,https://www.ddaily.co.kr/page/view/2025111714492131997,"네이버, 레노버, 인텔"
2025-11-19,LAUNCH,삼성 VS 애플 스마트폰 '폼팩터 혁신' 경쟁 치열...내년 전망은?,https://www.ekoreanews.co.kr/news/articleView.html?idxno=83178,"구글, 샤오미, 애플, 화웨이"
2025-11-17,"INVEST,LAUNCH","실적반등 성공한 K 디스플레이 , 다음 스텝 '미래車'",https://weekly.hankooki.com/news/articleView.html?idxno=7136865,"BMW, LG디스플레이, LG전자, 삼성디스플레이, 현대자동차"
2025-11-19,"CERT,INVEST,LAUNCH",서스틴베스트 2025년 하반기 ESG 평가 등급,https://www.smarttoday.co.kr/news/articleView.html?idxno=96680,"LG디스플레이, LG전자, LG화학, SK하이닉스, 기아, 두산로보틱스, 삼성디스플레이, 삼성전자, 원익IPS, 카카오, 한미반도체, 한화솔루션, 한화시스템, 현대모비스"
2025-11-18,"CERT,INVEST,LAUNCH,ORDER,PARTNERSHIP,REGUL",11월 3주 주요 제조업 전망,https://www.laborplus.co.kr/news/articleView.html?idxno=36615,"BOE, BYD, LG디스플레이, TCL, 기아, 삼성전자, 엔비디아, 화웨이"
