org,topic,base_score,topic_share,company_focus,hybrid_score
AGC,8,2.1987,0.0003,0.9478,2.1987
AGC,10,0.7400,0.0002,0.3190,0.7400
AMD,0,643.9337,0.0155,0.6033,643.9337
AMD,1,571.4558,0.0154,0.5354,571.4558
AMD,2,524.5923,0.0177,0.4915,524.5923
AMD,6,202.0735,0.0133,0.1893,202.0735
AMD,3,190.9340,0.0145,0.1789,190.9340
AMD,4,147.1470,0.0229,0.1379,147.1470
AMD,5,98.6323,0.0198,0.0924,98.6323
AMD,8,96.0083,0.0129,0.0900,96.0083
AMD,7,48.8386,0.0088,0.0458,48.8386
AMD,10,48.0986,0.0113,0.0451,48.0986
AMD,9,14.5679,0.0110,0.0136,14.5679
ASE,0,13.8629,0.0003,0.6562,13.8629
ASE,2,11.1913,0.0004,0.5297,11.1913
ASE,1,10.4918,0.0003,0.4966,10.4918
ASE,6,3.5956,0.0002,0.1702,3.5956
ASE,8,2.1987,0.0003,0.1041,2.1987
ASE,5,0.7472,0.0001,0.0354,0.7472
ASE,3,0.7124,0.0001,0.0337,0.7124
ASUS,1,467.2368,0.0126,0.6019,467.2368
ASUS,0,458.1703,0.0110,0.5902,458.1703
ASUS,2,305.6624,0.0103,0.3937,305.6624
ASUS,3,188.0843,0.0142,0.2423,188.0843
ASUS,4,141.1102,0.0220,0.1818,141.1102
ASUS,6,140.9480,0.0093,0.1816,140.9480
ASUS,5,56.0411,0.0112,0.0722,56.0411
ASUS,7,40.6988,0.0073,0.0524,40.6988
ASUS,8,27.8497,0.0037,0.0359,27.8497
ASUS,10,16.2795,0.0038,0.0210,16.2795
ASUS,9,4.2847,0.0032,0.0055,4.2847
AUO,0,32.5779,0.0008,0.6802,32.5779
AUO,1,30.0766,0.0008,0.6279,30.0766
AUO,2,13.2897,0.0004,0.2775,13.2897
AUO,3,9.9742,0.0008,0.2082,9.9742
AUO,7,5.1798,0.0009,0.1081,5.1798
AUO,8,3.6644,0.0005,0.0765,3.6644
AUO,10,2.2199,0.0005,0.0463,2.2199
AUO,6,2.1574,0.0001,0.0450,2.1574
AUO,5,1.4944,0.0003,0.0312,1.4944
Acer,1,185.3559,0.0050,0.6224,185.3559
Acer,0,173.2868,0.0042,0.5818,173.2868
Acer,2,130.0989,0.0044,0.4368,130.0989
Acer,3,57.7077,0.0044,0.1938,57.7077
Acer,6,52.4960,0.0035,0.1763,52.4960
Acer,7,24.4193,0.0044,0.0820,24.4193
Acer,4,18.8650,0.0029,0.0633,18.8650
Acer,5,15.6915,0.0031,0.0527,15.6915
Acer,8,9.5275,0.0013,0.0320,9.5275
Acer,10,3.6999,0.0009,0.0124,3.6999
Acer,9,0.8569,0.0006,0.0029,0.8569
Amkor,8,13.1920,0.0018,0.7304,13.1920
Amkor,1,7.6940,0.0002,0.4260,7.6940
Amkor,0,6.9315,0.0002,0.3838,6.9315
Amkor,2,6.2951,0.0002,0.3485,6.2951
Amkor,10,1.4800,0.0003,0.0819,1.4800
Amkor,3,1.4249,0.0001,0.0789,1.4249
Amkor,4,0.7546,0.0001,0.0418,0.7546
Amkor,7,0.7400,0.0001,0.0410,0.7400
Apple,5,268.9972,0.0539,0.6002,268.9972
Apple,0,206.5579,0.0050,0.4609,206.5579
Apple,6,189.8484,0.0125,0.4236,189.8484
Apple,1,160.8750,0.0043,0.3590,160.8750
Apple,2,104.2190,0.0035,0.2325,104.2190
Apple,4,89.7974,0.0140,0.2004,89.7974
Apple,3,62.6948,0.0047,0.1399,62.6948
Apple,9,24.8512,0.0188,0.0554,24.8512
Apple,8,14.6578,0.0020,0.0327,14.6578
Apple,10,12.5796,0.0030,0.0281,12.5796
Apple,7,8.1398,0.0015,0.0182,8.1398
BMW,3,314.1862,0.0238,0.5713,314.1862
BMW,0,279.3383,0.0067,0.5080,279.3383
BMW,1,253.2032,0.0068,0.4604,253.2032
BMW,2,161.5744,0.0054,0.2938,161.5744
BMW,6,138.7907,0.0091,0.2524,138.7907
BMW,8,83.5492,0.0112,0.1519,83.5492
BMW,5,56.7883,0.0114,0.1033,56.7883
BMW,4,51.3128,0.0080,0.0933,51.3128
BMW,10,49.5786,0.0117,0.0902,49.5786
BMW,7,28.8592,0.0052,0.0525,28.8592
BMW,9,6.8555,0.0052,0.0125,6.8555
BOE,0,535.1096,0.0129,0.6460,535.1096
BOE,1,402.1874,0.0108,0.4855,402.1874
BOE,2,394.4934,0.0133,0.4762,394.4934
BOE,6,199.9161,0.0132,0.2413,199.9161
BOE,3,136.7886,0.0104,0.1651,136.7886
BOE,8,112.8647,0.0151,0.1363,112.8647
BOE,10,66.5981,0.0157,0.0804,66.5981
BOE,4,52.8220,0.0082,0.0638,52.8220
BOE,5,44.0856,0.0088,0.0532,44.0856
BOE,7,42.9188,0.0077,0.0518,42.9188
BOE,9,4.2847,0.0032,0.0052,4.2847
BYD,0,309.1436,0.0074,0.5538,309.1436
BYD,1,276.2853,0.0074,0.4949,276.2853
BYD,3,275.7144,0.0209,0.4939,275.7144
BYD,2,179.7603,0.0061,0.3220,179.7603
BYD,6,123.6891,0.0082,0.2216,123.6891
BYD,8,79.8847,0.0107,0.1431,79.8847
BYD,5,56.7883,0.0114,0.1017,56.7883
BYD,4,52.8220,0.0082,0.0946,52.8220
BYD,10,47.3586,0.0112,0.0848,47.3586
BYD,7,37.7389,0.0068,0.0676,37.7389
BYD,9,5.9986,0.0045,0.0107,5.9986
Bosch,1,6.2951,0.0002,0.6418,6.2951
Bosch,0,5.5452,0.0001,0.5653,5.5452
Bosch,3,4.2746,0.0003,0.4358,4.2746
Bosch,2,2.0984,0.0001,0.2139,2.0984
