term,cur,prev,diff,ma7,z_like,total
hp,8,0,8,1.429,2.994,34
tv,19,1,18,9.143,2.45,385
양산,4,0,4,0.714,1.781,48
폴더블,10,2,8,4.571,1.73,164
엔비디아,5,0,5,1.571,1.521,88
퀄컴,4,0,4,1.286,1.272,16
아이패드,2,0,2,0.286,1.117,9
아이폰,6,2,4,3.286,0.965,116
하이센스,2,0,2,0.429,0.95,3
스마트폰,6,0,6,3.571,0.84,127
삼성전자,19,5,14,15.571,0.693,499
애플,12,4,8,9.286,0.671,262
뷰소닉,1,0,1,0.143,0.622,1
비보북,1,0,1,0.143,0.622,1
요가,1,0,1,0.143,0.622,1
xr,6,2,4,4.429,0.506,126
고효율,1,0,1,0.286,0.465,7
맥북,1,0,1,0.286,0.465,12
설비투자,1,0,1,0.286,0.465,3
증착,1,0,1,0.286,0.465,3
인텔,3,0,3,2.143,0.348,34
4k,1,0,1,0.429,0.345,16
노트북,5,4,1,4.143,0.282,144
올레드,1,0,1,0.571,0.244,19
샤오미,1,1,0,0.571,0.244,13
sk하이닉스,3,1,2,2.571,0.165,84
카카오,1,0,1,0.714,0.155,12
갤럭시,2,2,0,1.714,0.124,87
공급망,2,1,1,1.857,0.06,41
모니터,2,3,-1,2.0,0.0,126
구글,1,2,-1,1.0,0.0,69
모바일,1,0,1,1.143,-0.069,42
lg전자,5,5,0,8.143,-0.816,205
디스플레이,3,2,1,10.143,-1.707,230
oled,7,4,3,17.429,-2.015,328
