semantic_key,monthly_avg_sentiment
Apple_Display_Topic,0.5143
Automotive_Display_Topic,0.4899
Display_Materials_Topic,0.5107
Equipment_Maker,0.5051
Flexible_Display_Topic,0.5057
Foldable_Display_Topic,0.5061
Gaming_Monitor_Topic,0.5074
IT_OLED_Topic,0.5122
MicroLED_Topic,0.5194
OLED_Topic,0.4772
Panel_Manufacturer,0.5050
Platform_Company,0.5061
Quantum_Dot_Topic,0.5070
Set_Manufacturer,0.5038
Smartphone_Display_Topic,0.4939
TV_Display_Topic,0.5080
Transparent_Display_Topic,0.4635
XR_Device_Topic,0.5077
