term,cur,diff,z_like
oled,35,14,6.01
tv,33,12,4.55
lg디스플레이,17,14,3.87
amd,7,7,2.68
삼성전자,23,12,2.17
hp,10,7,2.00
소니,4,3,1.63
애플,10,3,1.61
