term,cur,prev,diff,total,ma7,z_like
애플,11,10,1,278,6.714,1.193
스마트폰,10,8,2,108,3.714,2.147
삼성전자,9,5,4,496,14.143,-1.08
폴더블,5,4,1,110,2.571,0.933
아이폰,5,4,1,115,2.857,0.797
구글,5,3,2,65,4.143,0.282
tv,5,12,-7,353,21.429,-2.919
oled,4,6,-2,334,11.429,-1.696
엔비디아,3,1,2,172,1.429,0.716
메타,3,3,0,28,1.429,0.716
xr,3,2,1,117,2.571,0.165
노트북,3,6,-3,129,3.0,0.0
lg전자,3,3,0,234,16.857,-2.714
lg디스플레이,2,0,2,116,0.429,0.95
고성능,2,1,1,20,1.0,0.5
한화솔루션,2,6,-4,9,1.143,0.414
tcl,2,1,1,77,2.0,0.0
소니,2,1,1,19,2.0,0.0
디스플레이,2,4,-2,219,4.0,-0.667
모니터,2,6,-4,159,7.143,-1.4
알파벳,1,0,1,6,0.143,0.622
nvidia,1,0,1,1,0.143,0.622
repair,1,0,1,1,0.143,0.622
설비투자,1,0,1,6,0.286,0.465
픽셀,1,0,1,6,0.286,0.465
아이맥,1,1,0,2,0.286,0.465
양산,1,0,1,62,0.429,0.345
아마존,1,0,1,9,0.429,0.345
amd,1,0,1,32,0.571,0.244
boe,1,0,1,18,0.571,0.244
갤럭시,1,3,-2,108,1.857,-0.363
벤츠,1,1,0,26,2.714,-0.648
lg화학,1,25,-24,26,3.714,-0.927
모바일,1,0,1,73,3.857,-0.964
