term,cur,prev,diff,ma7,z_like,total
선익시스템,11,1,10,2.0,3.728,21
boe,6,1,5,1.143,2.348,23
byd,5,0,5,0.714,2.323,11
퀄컴,3,0,3,0.429,1.554,18
xr,6,4,2,2.286,1.479,54
소니,4,0,4,1.143,1.381,88
삼성전자,29,13,16,23.286,0.981,439
ar,3,0,3,1.143,0.898,37
양산,5,3,2,2.714,0.863,58
구글,3,1,2,1.571,0.634,65
qled,1,0,1,0.143,0.622,3
오포,1,0,1,0.143,0.622,3
bmw,1,0,1,0.286,0.465,5
sharp,1,0,1,0.286,0.465,4
tv,13,9,4,11.429,0.359,427
tsmc,1,0,1,0.429,0.345,26
태블릿,1,0,1,0.429,0.345,14
스마트폰,3,1,2,2.286,0.284,103
tcl,4,5,-1,3.571,0.148,124
폴더블,2,3,-1,1.714,0.124,57
hp,2,6,-4,2.143,-0.058,79
sk하이닉스,1,3,-2,1.571,-0.254,56
노트북,2,3,-1,3.0,-0.366,138
애플,4,7,-3,5.286,-0.39,173
아이폰,1,4,-3,2.714,-0.648,65
인텔,1,5,-4,3.143,-0.773,100
현대모비스,1,1,0,3.571,-0.89,53
oled,3,4,-1,6.143,-0.904,334
벤츠,1,1,0,3.714,-0.927,52
디스플레이,3,8,-5,11.0,-1.853,246
lg전자,4,9,-5,14.286,-2.152,337
