term,cur,prev,diff,ma7,z_like,total,date
tv,32,13,19,11.0,4.865,298,2025-12-26
삼성전자,38,37,1,21.143,3.011,397,2025-12-26
화웨이,4,1,3,1.143,1.381,22,2025-12-26
모바일,4,0,4,2.0,0.828,55,2025-12-26
인텔,2,0,2,0.571,0.814,41,2025-12-26
모니터,11,34,-23,8.0,0.784,139,2025-12-26
알파벳,1,0,1,0.143,0.622,3,2025-12-26
현대모비스,1,0,1,0.143,0.622,61,2025-12-26
xr,4,7,-3,2.429,0.614,100,2025-12-26
카카오,2,0,2,0.857,0.593,19,2025-12-26
노트북,3,1,2,2.0,0.414,92,2025-12-26
hp,1,0,1,0.429,0.345,48,2025-12-26
스마트워치,1,1,0,0.429,0.345,9,2025-12-26
엔비디아,2,0,2,1.286,0.335,60,2025-12-26
공급망,1,1,0,0.571,0.244,21,2025-12-26
해상도,1,3,-2,0.571,0.244,7,2025-12-26
구글,2,2,0,1.571,0.19,72,2025-12-26
lg전자,7,12,-5,6.429,0.162,313,2025-12-26
ar,1,1,0,0.714,0.155,50,2025-12-26
갤럭시,2,1,1,1.714,0.124,96,2025-12-26
폴더블,3,4,-1,3.286,-0.102,107,2025-12-26
sk하이닉스,1,2,-1,1.286,-0.134,51,2025-12-26
디스플레이,3,3,0,5.143,-0.656,184,2025-12-26
애플,2,7,-5,5.857,-1.128,201,2025-12-26
oled,2,6,-4,7.714,-1.513,281,2025-12-26
모니터,33,11,22,12.286,4.598,172,2025-12-27
lg전자,28,7,21,9.429,4.562,337,2025-12-27
화웨이,7,4,3,2.143,1.971,26,2025-12-27
tcl,4,0,4,0.571,1.953,15,2025-12-27
엔비디아,6,2,4,1.857,1.753,63,2025-12-27
현대모비스,3,1,2,0.571,1.383,60,2025-12-27
양산,3,0,3,0.714,1.239,19,2025-12-27
인텔,3,2,1,0.714,1.239,44,2025-12-27
삼성전자,30,38,-8,24.429,0.938,418,2025-12-27
모바일,5,4,1,2.571,0.933,60,2025-12-27
tv,16,32,-16,11.857,0.932,309,2025-12-27
ar,3,1,2,1.143,0.898,51,2025-12-27
sk하이닉스,3,1,2,1.286,0.803,49,2025-12-27
스마트워치,2,1,1,0.714,0.697,11,2025-12-27
boe,1,0,1,0.143,0.622,57,2025-12-27
huawei,1,0,1,0.143,0.622,1,2025-12-27
스마트폰,4,0,4,2.714,0.486,112,2025-12-27
amd,1,0,1,0.286,0.465,15,2025-12-27
sharp,1,0,1,0.286,0.465,6,2025-12-27
레노버,2,0,2,1.143,0.414,99,2025-12-27
벤츠,1,0,1,0.429,0.345,66,2025-12-27
샤오미,1,0,1,0.429,0.345,12,2025-12-27
4k,1,0,1,0.714,0.155,12,2025-12-27
공급망,1,1,0,0.714,0.155,19,2025-12-27
폴더블,4,3,1,3.714,0.098,104,2025-12-27
노트북,2,3,-1,2.143,-0.058,92,2025-12-27
oled,8,2,6,8.429,-0.11,282,2025-12-27
갤럭시,1,2,-1,1.429,-0.195,96,2025-12-27
구글,1,2,-1,1.571,-0.254,69,2025-12-27
아이폰,2,0,2,2.714,-0.27,76,2025-12-27
xr,1,4,-3,2.286,-0.512,96,2025-12-27
애플,4,2,2,5.857,-0.543,193,2025-12-27
lg디스플레이,1,0,1,3.714,-0.927,126,2025-12-27
삼성디스플레이,1,0,1,4.857,-1.204,115,2025-12-27
ul,2,0,2,0.286,1.117,3,2025-12-28
kaist,1,0,1,0.143,0.622,15,2025-12-28
resolution,1,0,1,0.143,0.622,1,2025-12-28
메타,1,0,1,0.143,0.622,24,2025-12-28
편광판,1,0,1,0.143,0.622,1,2025-12-28
현대모비스,2,3,-1,0.857,0.593,62,2025-12-28
boe,1,1,0,0.286,0.465,58,2025-12-28
bmw,1,0,1,0.429,0.345,11,2025-12-28
기아,1,0,1,0.429,0.345,54,2025-12-28
화웨이,3,7,-4,2.429,0.223,26,2025-12-28
노트북,3,2,1,2.571,0.165,95,2025-12-28
xr,3,1,2,2.714,0.108,96,2025-12-28
벤큐,1,0,1,0.857,0.074,7,2025-12-28
스마트워치,1,2,-1,0.857,0.074,12,2025-12-28
엔비디아,2,6,-4,2.0,0.0,62,2025-12-28
