term,cur,prev,diff,total,ma7,z_like
nvidia,9,0,9,15,2.143,2.783
딥엑스,5,0,5,5,0.714,2.323
맥북,4,0,4,15,0.857,1.632
카카오,3,0,3,8,0.714,1.239
스마트폰,5,0,5,47,2.143,1.16
모바일,2,0,2,14,0.429,0.95
아이폰,4,3,1,50,1.857,0.907
vr,2,1,1,6,0.571,0.814
ar,3,2,1,25,1.429,0.716
노키아,1,0,1,1,0.143,0.622
저전력,1,0,1,1,0.143,0.622
생산능력,1,0,1,3,0.143,0.622
원익ips,1,0,1,4,0.143,0.622
bmw,1,0,1,7,0.143,0.622
폴더블,2,2,0,54,0.857,0.593
마이크로소프트,1,1,0,2,0.286,0.465
4k,1,1,0,6,0.286,0.465
sharp,1,0,1,8,0.286,0.465
레노버,1,0,1,26,0.286,0.465
uhd,1,0,1,3,0.429,0.345
lcd,1,0,1,16,0.429,0.345
고성능,1,0,1,23,0.429,0.345
화웨이,1,0,1,11,0.571,0.244
boe,1,1,0,14,0.571,0.244
디스플레이,5,3,2,106,4.857,0.045
삼성디스플레이,3,0,3,34,3.429,-0.15
공급망,1,0,1,26,2.0,-0.414
현대차,2,2,0,45,3.286,-0.457
xr,1,1,0,102,2.429,-0.558
아마존,1,0,1,23,2.857,-0.69
lg전자,4,2,2,168,7.571,-0.952
인텔,1,1,0,42,5.0,-1.236
엔비디아,7,2,5,135,13.286,-1.353
lg디스플레이,2,1,1,82,7.429,-1.457
