term,cur,prev,diff,total,ma7,z_like
모니터,18,1,17,88,3.714,4.88
oled,31,3,28,273,13.429,3.767
설비투자,7,0,7,12,1.143,2.831
kaist,5,0,5,26,0.714,2.323
수율,3,1,2,5,0.571,1.383
레노버,3,0,3,13,0.571,1.383
퀄컴,2,0,2,10,0.286,1.117
맥북,3,0,3,26,0.857,1.113
amd,2,0,2,12,0.429,0.95
고성능,2,0,2,21,0.571,0.814
아이폰,3,0,3,58,1.286,0.803
sk하이닉스,3,3,0,59,1.571,0.634
양산,3,0,3,66,1.571,0.634
4k,1,0,1,1,0.143,0.622
불량률,1,0,1,1,0.143,0.622
스마트폰,4,3,1,68,2.429,0.614
공급망,2,0,2,16,0.857,0.593
인텔,2,0,2,66,0.857,0.593
샤프,1,0,1,4,0.286,0.465
asus,1,0,1,13,0.286,0.465
xr,3,3,0,62,2.0,0.414
샤오미,1,1,0,5,0.429,0.345
아마존,2,0,2,21,1.571,0.19
선익시스템,2,0,2,32,1.571,0.19
폴더블,1,0,1,48,0.714,0.155
lcd,1,0,1,59,0.714,0.155
애플,7,1,6,169,7.143,-0.039
vr,1,0,1,23,1.143,-0.069
boe,2,0,2,36,2.429,-0.168
