term,cur,diff,z_like
oled,33,25,5.72
삼성디스플레이,14,14,4.81
레노버,13,13,3.77
kaist,6,6,2.50
디스플레이,9,7,1.67
딥엑스,3,3,1.55
선익시스템,3,3,1.55
