term,cur,prev,diff,ma7,z_like,total
4k,17,0,17,2.714,5.396,36
양산,11,1,10,2.429,3.35,30
주사율,2,0,2,0.286,1.117,3
퀄컴,16,1,15,3.143,4.637,37
샤오미,8,0,8,1.571,2.853,16
amd,6,1,5,1.714,1.856,29
tcl,4,0,4,0.714,1.781,27
하이센스,2,0,2,0.286,1.117,7
sharp,2,0,2,0.286,1.117,8
bmw,2,0,2,0.429,0.95,10
tcl,4,1,3,1.429,1.171,28
nvidia,5,1,4,0.857,2.151,17
cvd,4,0,4,0.571,1.953,4
qned,2,0,2,0.286,1.117,3
고해상도,2,0,2,0.286,1.117,4
byd,2,0,2,0.286,1.117,7
잉크젯,3,0,3,0.429,1.554,4
딥엑스,3,0,3,0.571,1.383,8
고성능,3,0,3,0.571,1.383,23
asus,3,1,2,0.714,1.239,11
비보,2,0,2,0.286,1.117,2
마이크로소프트,2,0,2,0.286,1.117,5
vr,2,0,2,0.286,1.117,23
아이폰,4,1,3,1.571,1.078,37
boe,3,1,2,1.0,1.0,23
kaist,9,0,9,1.286,3.615,26
