term,cur,prev,diff,total,ma7,z_like
퀄컴,10,0,10,44,1.714,3.588
레노버,8,1,7,80,2.143,2.377
스마트폰,7,1,6,117,2.286,1.877
구글,5,0,5,63,1.571,1.521
아이폰,8,1,7,86,3.714,1.464
아마존,2,0,2,10,0.286,1.117
샤오미,2,0,2,43,0.286,1.117
qled,2,0,2,40,0.429,0.95
폭스바겐,1,0,1,2,0.143,0.622
마이크로소프트,1,0,1,4,0.143,0.622
저전력,1,0,1,4,0.143,0.622
올레드,1,0,1,7,0.143,0.622
한화시스템,1,0,1,7,0.143,0.622
메타,2,2,0,24,1.0,0.5
csot,1,0,1,2,0.286,0.465
apple,1,0,1,5,0.286,0.465
tsmc,1,0,1,17,0.429,0.345
kaist,1,0,1,24,0.429,0.345
공급망,2,1,1,37,2.0,0.0
맥북,1,0,1,90,1.0,0.0
갤럭시,2,1,1,243,3.0,-0.366
