org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
10월,2,1,2,1,0,3,4,1,1,0,3,0
10종,2,1,0,0,1,2,2,0,1,2,1,5
120Hz,0,1,1,0,0,0,1,1,0,0,2,0
12억달러,1,2,1,5,3,1,4,1,3,2,2,0
1로,0,1,0,1,1,1,1,0,2,2,1,1
1위,0,0,0,3,2,2,0,0,7,7,0,0
2030년,1,2,1,5,3,1,4,1,3,2,2,0
2030년에,1,2,1,5,1,1,4,1,2,1,2,0
2가지,1,4,1,1,1,1,2,1,2,3,2,0
2분기,0,0,1,1,1,2,1,0,3,2,0,0
30명,0,1,0,1,1,1,1,0,2,2,1,1
36종,1,0,0,0,0,1,1,1,0,1,0,0
3분기,6,3,12,5,4,1,11,5,0,3,15,1
4-in-1,0,2,0,0,1,6,4,0,1,3,2,0
400W,0,0,0,3,2,2,0,0,6,6,0,0
4분기,0,0,0,0,2,1,0,0,1,0,0,0
500Hz,1,1,4,3,1,3,2,1,2,3,2,0
500니트,0,1,1,0,0,0,1,1,0,0,2,0
8.6G,3,1,3,1,1,0,5,3,0,1,3,1
8.6세대,13,4,7,4,8,2,12,7,4,4,8,1
84키,0,0,0,0,0,1,0,0,1,1,0,0
8세대,3,1,3,1,4,0,5,3,2,2,3,1
advertisement,3,4,4,2,4,4,3,4,3,4,5,0
AHC,2,1,0,1,1,1,0,1,1,0,1,0
AI,5,26,8,10,30,20,19,13,31,34,16,7
and,2,3,1,7,4,4,3,3,4,5,1,0
AP시스템,13,4,14,4,8,2,20,12,3,6,12,4
AR,2,7,2,6,6,17,11,3,5,12,6,1
AR스마트글래스,0,3,0,1,2,2,2,0,3,4,2,1
ASUS,1,1,4,3,1,3,2,1,2,3,2,0
Auto,2,2,0,0,1,2,1,1,2,1,1,5
AX,1,2,0,0,4,2,2,2,2,2,3,1
A는,1,1,0,0,1,0,1,0,1,1,1,0
BOE,3,3,10,4,5,1,11,6,0,4,10,0
CEO,5,3,1,1,11,5,5,6,4,5,4,3
CJ그룹,2,1,2,2,1,2,4,2,1,1,2,0
CLENOX,0,3,0,19,4,3,0,0,3,2,0,0
CTO,2,1,2,2,1,2,4,2,1,1,2,0
DB하이텍,0,1,0,2,3,4,3,2,2,4,1,1
DDI,1,2,1,2,0,1,4,1,2,2,4,3
de,0,1,1,3,2,2,1,2,3,3,0,0
des,0,1,1,3,2,2,1,2,3,3,0,0
design,2,2,0,4,2,2,2,1,1,2,1,0
E-ONG,2,2,4,2,4,1,6,2,0,2,6,0
ELA,13,4,14,4,8,2,20,12,3,6,12,4
Electronics,2,2,0,4,2,2,2,1,1,2,1,0
et,0,1,1,3,2,2,1,2,3,3,0,0
EV,0,1,0,0,1,3,2,0,1,2,1,0
Fed,0,0,0,0,1,1,1,1,2,1,0,0
GEC,1,1,0,0,1,0,1,0,1,1,1,0
GS건설,0,1,0,0,0,3,2,0,0,1,1,0
in,2,2,0,4,2,2,2,1,1,2,1,0
is,0,1,1,3,2,2,1,2,3,3,0,0
