term,cur,prev,diff,total,ma7,z_like
올레드,5,0,5,39,0.714,2.323
선익시스템,5,0,5,9,0.857,2.151
boe,3,0,3,39,0.857,1.113
모바일,2,0,2,43,0.429,0.95
bmw,2,0,2,18,0.571,0.814
저비용,1,0,1,1,0.143,0.622
증착,1,0,1,1,0.143,0.622
오포,1,0,1,4,0.143,0.622
올레드tv,1,0,1,4,0.143,0.622
tcl,1,0,1,14,0.143,0.622
디스플레이,5,1,4,189,3.286,0.609
양산,2,0,2,22,0.857,0.593
갤럭시,2,1,1,64,0.857,0.593
ar,3,3,0,41,1.714,0.557
하이센스,2,0,2,9,1.0,0.5
노트북,3,2,1,93,1.857,0.484
증착기,1,0,1,3,0.286,0.465
엔비디아,3,0,3,147,2.0,0.414
카카오,1,0,1,8,0.429,0.345
byd,1,0,1,15,0.429,0.345
기아,1,0,1,32,0.429,0.345
lcd,1,0,1,18,0.714,0.155
폴더블,4,2,2,93,3.571,0.148
tsmc,1,0,1,12,0.857,0.074
hp,2,0,2,21,2.0,0.0
인텔,2,2,0,50,2.143,-0.058
공급망,1,1,0,29,1.286,-0.134
아이폰,3,0,3,80,3.429,-0.15
lg디스플레이,2,1,1,88,3.429,-0.501
스마트폰,2,1,1,84,3.857,-0.627
레노버,1,0,1,73,2.857,-0.69
