term,cur,diff,z_like
퀄컴,20,13,5.33
구글,14,9,3.33
양산,15,2,3.32
qled,6,6,2.67
갤럭시,9,7,2.28
메타,6,2,2.08
스마트폰,9,5,2.03
고성능,4,4,1.95
lg전자,14,6,1.87
엔비디아,10,9,1.73
