term,cur,prev,diff,total,ma7,z_like
삼성전자,6,4,2,398,9.429,-0.842
lg전자,4,1,3,231,5.143,-0.35
애플,4,5,-1,150,5.429,-0.429
tv,4,3,1,362,5.571,-0.468
xr,3,2,1,64,1.857,0.484
갤럭시,3,0,3,76,2.429,0.223
sk하이닉스,3,2,1,63,2.571,0.165
고효율,2,0,2,14,0.429,0.95
스마트폰,2,4,-2,82,2.0,0.0
노트북,2,1,1,113,3.286,-0.457
oled,2,4,-2,283,9.143,-1.775
기아,1,0,1,18,0.143,0.622
선익시스템,1,0,1,21,0.286,0.465
vr,1,1,0,20,0.286,0.465
설비투자,1,0,1,5,0.286,0.465
증착,1,0,1,2,0.286,0.465
아마존,1,0,1,11,0.429,0.345
원익ips,1,1,0,6,0.429,0.345
byd,1,0,1,15,0.571,0.244
boe,1,1,0,28,0.857,0.074
맥북,1,0,1,20,0.857,0.074
ar,1,0,1,41,1.429,-0.195
아이폰,1,3,-2,65,2.429,-0.558
삼성디스플레이,1,0,1,57,2.571,-0.604
폴더블,1,1,0,53,2.857,-0.69
디스플레이,1,2,-1,181,5.0,-1.236
