org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
000니트까지,0,2,3,1,1,3,2,0
0개,1,0,0,1,2,0,1,1
10월,0,2,1,2,1,2,3,0
120Hz,0,1,1,1,0,2,1,0
12억달러,2,3,5,3,2,3,2,0
1군,0,1,1,2,1,2,1,0
1볼넷,0,0,0,0,0,0,1,0
1세트,0,0,0,0,1,0,0,0
1위,10,16,7,27,20,9,11,31
1위로,4,3,1,5,3,3,3,1
2025년,1,2,3,3,2,4,3,1
2026년,1,2,3,3,2,4,3,1
2030년,2,3,5,3,2,3,2,0
2030년에,2,3,5,4,1,3,2,0
20득점,1,0,0,1,2,0,0,1
2o,1,0,0,1,1,0,0,1
2가지,1,3,3,2,1,2,2,0
2분기,0,3,3,2,1,3,3,0
2세트,0,0,0,0,1,0,0,0
3.3m2,0,1,1,2,1,2,1,0
3a,1,0,0,1,1,0,0,1
3a1,1,0,0,1,1,0,0,1
3년,1,2,1,3,4,1,1,0
3분기,3,7,7,14,8,16,10,3
3위,1,0,0,1,2,0,1,1
3이닝,0,0,0,0,0,0,1,0
3점,1,1,0,1,3,0,1,0
3차,0,1,1,2,1,2,1,0
400W,8,8,0,24,16,0,0,40
4o,1,0,0,1,1,0,0,1
4분기,0,4,3,4,1,4,5,0
500니트,0,1,1,1,0,2,1,0
5km,0,0,0,0,0,0,1,3
6무,0,0,0,0,0,0,1,0
6인용,1,1,2,0,1,1,2,0
77-69로,1,0,0,1,2,0,0,1
7은,0,4,2,2,0,1,3,1
7패,0,0,0,0,0,0,1,0
8.6G,1,11,13,9,3,12,12,1
8.6세대,6,35,27,26,9,33,40,1
82명,2,0,0,1,2,0,0,1
84m2형,0,1,1,2,1,2,1,0
8o,1,0,0,1,1,0,0,1
8세대,0,8,6,6,1,8,8,0
8월,0,1,0,0,0,0,2,0
8위,0,0,0,0,1,0,0,0
advertisement,2,4,3,5,5,4,4,1
AI,35,36,22,64,40,22,24,51
AMAZE,3,2,1,3,1,1,1,1
and,2,0,1,1,1,0,0,1
AP시스템,1,18,15,14,2,20,20,1
AR,5,3,4,4,2,2,3,1
BOE,4,12,11,12,4,11,12,2
by,2,0,1,1,1,0,0,1
BYD,0,5,2,2,0,1,5,1
BYD코리아,0,4,2,2,0,1,3,1
CATL,4,3,1,5,3,3,3,1
chips,2,0,1,1,1,0,0,1
CJ그룹,0,3,5,4,3,3,3,0
CLENOX,0,1,8,1,0,0,0,0
CMP,0,2,2,3,1,2,3,0
CNS,1,2,1,5,3,1,2,1
cooling,2,0,1,1,1,0,0,1
Corintis,2,0,1,1,1,0,0,1
CTO,0,6,10,6,3,5,6,0
DB,1,0,0,1,2,0,0,1
DeX,2,0,0,1,3,0,0,1
E-Tech,0,1,0,0,0,0,2,0
EDR,2,2,1,5,3,2,1,1
ELA,1,18,15,14,2,20,20,1
email,1,1,0,2,2,0,0,3
EMI,2,6,2,6,0,4,2,0
for,2,0,1,1,1,0,0,1
HBM,1,3,3,4,2,4,2,1
in,2,0,1,1,1,0,0,1
is,2,0,1,1,1,0,0,1
IT,6,24,20,19,13,21,25,2
IT용,0,6,8,3,2,7,7,0
K-pop,3,2,1,3,1,1,1,1
KCC,0,0,0,0,1,0,1,0
KT,1,0,0,1,1,0,0,1
Laser,1,3,3,3,1,4,4,1
LCD,1,10,6,5,2,5,8,0
LCK,0,0,0,0,1,0,0,0
LED,12,10,18,16,5,8,6,1
LFD,0,3,4,3,3,3,2,0
LG,2,2,1,6,5,1,6,5
LG디스플레,4,23,21,19,10,23,27,1
LG디스플레이,1,8,8,4,1,4,7,0
LG전자,2,4,3,5,5,4,4,1
LLO,0,4,3,3,0,4,4,0
LTPO,0,5,4,4,0,6,4,0
LTPS,0,4,3,3,0,4,3,0
Micro-LED,11,10,18,16,6,8,6,1
NAC,2,2,1,5,3,2,1,1
NB,0,0,4,0,0,0,0,0
NC,1,0,0,1,1,0,0,1
of,2,0,1,1,1,0,0,1
OGF,2,3,1,3,1,2,1,0
OLED,21,118,112,95,43,112,119,6
OMEN,0,4,6,3,4,4,3,0
on,2,0,1,1,1,0,0,1
Origin,1,0,0,0,2,0,0,0
P-Complex,0,0,2,0,0,0,0,0
PC,5,5,4,7,4,3,4,1
Pin,0,2,10,2,0,0,0,0
protected,1,1,0,2,2,0,0,3
RGB,0,3,5,1,1,4,4,0
RPG,0,2,3,1,2,2,2,0
Shot,0,2,10,2,0,0,0,0
SK하이닉스,0,2,2,4,2,6,4,0
SNS,0,0,0,0,1,0,0,0
SUV,0,4,2,2,0,1,3,1
TFT,0,4,3,3,0,4,3,0
TGS,1,5,5,6,7,4,3,0
that,2,0,1,1,1,0,0,1
the,2,0,1,1,1,0,0,1
to,2,0,1,1,1,0,0,1
Visionox,0,4,3,3,0,4,4,0
VR,3,2,1,3,1,1,1,1
vs,0,0,0,0,1,0,0,0
with,2,0,1,1,1,0,0,1
WSJ,3,1,1,3,1,1,1,1
XR,13,8,9,10,5,6,7,3
가격,2,5,3,5,5,4,6,1
가능성,1,4,3,3,1,4,5,0
가능할,0,2,3,1,1,3,2,0
가민,7,4,8,9,3,2,2,1
가스공사,2,1,0,2,5,0,1,1
가장,6,8,7,9,5,5,6,1
가족,0,0,0,0,0,0,1,0
가진,3,1,1,3,1,1,1,1
가치,0,1,2,0,1,1,2,0
감독,1,1,0,1,4,0,1,0
감독대행,0,0,0,0,0,0,1,0
강력한,1,3,3,2,1,2,2,0
강조했다.,1,4,3,3,2,4,4,1
강혁,1,1,0,1,3,0,1,0
같다.,0,0,0,0,1,0,0,0
같은,7,8,11,10,4,7,5,1
개발,2,5,5,6,4,5,3,0
개선에,1,5,3,3,1,4,5,0
개의,1,0,0,0,2,0,0,0
개편,2,0,0,1,1,0,0,1
갤럭시,3,1,1,3,5,1,1,2
갤럭시Z,1,3,3,2,1,2,2,0
거래일,1,4,2,3,2,2,3,0
건설,1,1,1,2,2,3,2,1
것으로,21,40,47,40,19,38,35,4
것이라고,1,4,3,3,2,4,4,1
게시물,1,0,0,0,0,0,0,0
게이머들,0,2,3,1,2,2,2,0
게이밍,2,10,12,10,10,8,7,0
게임,5,14,16,14,18,11,11,0
게임쇼,1,3,3,4,3,2,2,0
결승에서,0,0,0,0,3,0,0,0
경구용,1,3,4,3,0,4,2,0
경기,2,1,0,2,6,0,1,1
경기에서,1,1,0,1,3,0,1,0
경남마라톤,0,0,0,0,0,0,1,3
경남마라톤대회,0,0,0,0,0,0,1,3
경쟁,0,8,6,7,2,8,9,0
경험,3,2,1,3,1,1,1,1
고객,0,1,0,0,0,0,2,0
고객에,0,1,0,0,0,0,2,0
고평,4,2,1,4,1,1,1,1
공간,1,1,2,0,0,1,1,0
공격,0,0,0,0,1,0,0,0
공급,0,10,8,9,2,10,11,0
공급망,7,4,8,9,3,2,2,1
공급키로,0,3,3,2,0,4,4,0
공정,0,4,3,3,0,4,3,0
공정장비,1,3,4,3,0,4,2,0
공정한,0,4,3,3,1,4,4,0
공직자,2,0,0,1,2,0,0,1
공직자들,2,0,0,1,2,0,0,1
과거,4,2,1,4,1,1,1,1
과열,4,2,1,4,1,1,1,1
곽빈,0,0,0,0,0,0,1,0
관계,0,1,2,0,1,1,2,0
관광,0,1,0,0,0,0,2,0
관광객,0,1,0,0,0,0,2,0
관람객,0,2,3,1,2,2,2,0
관리하,0,0,2,0,0,0,0,0
관심,1,0,0,0,2,0,0,0
광학필름,2,6,2,6,0,4,2,0
광학필터,2,3,1,3,1,2,1,0
교수,1,1,0,2,2,0,0,3
교육,2,0,0,1,2,0,0,1
구글,11,6,8,7,4,5,6,2
구동,0,4,3,3,0,4,3,0
구미시,2,0,0,1,2,0,0,1
국회,0,3,3,1,1,2,4,0
규모,1,11,9,9,1,12,12,1
규모로,4,6,10,7,3,6,4,0
그래픽,1,3,3,3,3,2,2,0
글라스,4,2,1,4,1,1,1,1
글래스,3,1,1,3,1,1,1,1
금지,1,1,0,2,2,0,0,3
기기,17,9,10,14,6,7,8,4
기념사진,0,0,0,0,0,0,1,0
기념식,1,4,3,3,1,4,5,0
기능,5,0,0,2,4,0,0,2
기대하고,0,3,3,2,1,3,3,0
기리고,1,1,2,0,0,1,1,0
기반,3,6,2,6,1,4,2,0
기사보내기,0,0,0,0,1,0,0,0
기술력,1,3,1,3,0,2,1,0
기아,0,1,0,0,0,0,2,0
기업들,4,2,1,4,1,1,1,1
기업에,4,3,1,5,3,3,3,1
기여한,0,6,8,4,1,6,6,0
기자,8,5,7,8,13,5,7,7
기증유물전시관,1,1,2,0,0,1,1,0
기증자,1,1,2,0,0,1,1,0
기증해,1,1,2,0,0,1,1,0
기회,1,4,3,3,2,4,4,1
김강두,1,1,0,2,2,0,0,3
김경현,1,0,0,1,2,0,0,1
김도균,0,0,0,0,1,0,0,0
김보라,0,0,2,0,0,0,0,0
김영호,1,3,4,3,0,4,3,0
꺾고,0,0,0,0,1,0,0,0
나노,1,3,1,3,0,2,1,0
나노기술,1,3,1,3,0,2,1,0
나온다.,0,5,3,3,1,3,4,0
나인투파이브맥,1,2,1,2,1,1,2,0
남은,1,0,0,1,2,0,1,1
남자복식,0,0,0,0,3,0,0,0
남편,0,0,0,0,0,0,1,0
내구성,1,3,3,2,1,2,2,0
내년,3,17,15,15,6,15,19,1
내놓,1,2,1,2,1,1,2,0
내려갔다.,1,1,1,4,2,3,2,1
내려야,1,0,0,0,0,0,0,0
넘어,0,1,2,0,1,1,2,0
넘은,0,3,3,1,1,2,4,0
넷마블,3,3,3,3,7,2,3,0
농구,1,0,0,1,2,0,0,1
높은,12,8,13,13,9,5,5,1
뉴시스,10,6,8,11,6,3,4,5
니콜슨,1,0,0,1,2,0,0,1
다양한,4,10,7,16,11,6,5,10
다음,4,2,1,4,1,1,1,1
단독,1,10,9,8,2,12,12,1
단말,2,2,1,5,3,2,1,1
단순,0,1,2,0,1,1,2,0
단지,0,1,1,2,1,2,1,0
단체관광객,0,1,0,0,0,0,2,0
달러,1,5,3,2,1,2,4,0
달리고,0,0,0,0,0,0,1,3
달림이들,0,0,0,0,0,0,1,3
대기업,0,2,2,3,1,2,3,0
대만,2,4,3,4,4,2,3,1
대비,6,15,13,13,6,13,12,1
대상,1,2,1,5,3,1,2,1
대신증권,1,2,3,3,2,4,3,1
대죄,1,0,0,0,2,0,0,0
대표,6,11,12,14,7,11,10,3
대한,7,10,7,11,4,9,11,2
대한항공,0,1,1,1,1,3,2,0
대해서도,0,3,3,2,1,3,3,0
대형,2,10,13,9,5,14,11,1
대화,2,0,0,1,2,0,0,1
대회,1,2,1,5,3,1,3,4
댓글,0,3,5,2,0,2,3,0
더샵탕정,0,1,1,2,1,2,1,0
덧붙였다.,0,4,3,3,1,4,5,0
덱스,1,3,3,2,1,2,2,0
도쿄게임쇼,3,6,6,6,8,4,5,0
동일하이빌,0,1,1,2,1,2,1,0
됐다.,1,0,0,1,2,0,1,1
두께,1,2,1,2,1,1,2,0
두산,0,0,0,0,0,0,1,0
두산밥캣,0,3,5,4,3,3,3,0
뒷좌석,0,4,2,2,0,1,3,1
드래곤,0,0,0,0,1,0,0,0
드림팀,0,0,0,0,1,0,1,0
들어,0,0,0,0,1,0,0,0
등록,2,0,0,0,4,0,0,0
등을,0,3,5,4,3,3,3,0
등이,0,1,1,2,1,2,1,0
디바이스,0,0,4,0,0,0,0,0
디스플레,24,102,105,89,39,91,101,4
디자인,1,5,2,4,2,1,3,4
딜사이트,0,4,3,3,1,4,4,0
따돌릴,1,4,3,3,1,4,5,0
따르면,7,15,17,16,6,12,12,1
뜻을,1,1,2,0,0,1,1,0
라고,0,0,0,0,0,0,1,0
라닉스,1,4,2,3,2,2,3,0
라며,1,1,0,1,3,0,1,0
라인,3,8,6,7,3,7,9,1
레이저,0,12,9,9,1,12,12,0
로봇,2,5,3,5,4,4,4,4
롯데,1,0,0,1,2,0,2,1
르노코리아,0,1,0,0,0,0,2,0
리뷰,3,0,0,1,1,0,0,1
리프팅,0,1,6,1,0,0,0,0
마라톤,0,0,0,0,0,0,1,0
마약,1,4,2,3,2,2,3,0
마이크로,12,13,23,17,6,12,10,1
마지막,0,0,0,0,0,0,1,0
마치,2,0,0,1,3,0,0,1
만나,0,4,3,3,1,4,4,0
만에,1,0,0,0,0,0,0,0
만원관중,0,0,0,0,0,0,1,0
만족도,1,1,0,3,2,0,0,5
만큼,0,4,3,3,1,4,4,0
많이,0,4,3,3,1,4,5,0
말했다.,1,12,9,9,3,11,14,0
매출,3,6,6,11,6,8,7,2
메세나,0,1,2,0,1,1,2,0
메인,1,2,2,3,2,3,2,1
메타,17,9,10,14,6,7,8,4
메타버스,4,2,1,4,1,1,1,1
모두,1,5,3,2,1,2,4,0
모듈,1,4,2,3,2,2,3,0
모드,2,0,0,1,3,0,0,1
모바일,1,3,3,3,3,2,3,0
모빌리티,1,4,2,3,2,2,3,0
몸을,0,0,0,0,0,0,1,0
무기,3,0,0,0,4,0,0,0
무비자,0,1,0,0,0,0,2,0
무선,8,8,0,24,16,0,0,40
무한,10,6,8,7,4,5,6,2
문화,0,1,2,0,1,1,2,0
문화유산,1,1,2,0,0,1,1,0
미국,11,9,1,26,15,1,2,36
미드,0,0,0,0,1,0,0,0
미래,9,10,8,14,10,11,10,3
미래나노텍,2,6,2,6,0,4,2,0
미성년자,1,0,0,0,0,0,0,0
미세먼지,6,6,0,18,12,0,0,30
밀도,0,1,6,1,0,0,0,0
바다,0,4,2,2,0,1,3,1
바이오,1,3,4,3,0,4,2,0
반도체,3,18,15,20,8,22,20,2
밝기,3,5,8,4,2,6,4,0
밝기에서,0,2,3,1,1,3,2,0
밝혔다.,2,17,22,17,12,16,14,1
방법,0,3,4,3,3,3,2,0
방식,0,2,3,1,1,3,2,0
배터리,1,3,1,3,0,2,1,0
번역,2,0,0,1,3,0,0,1
번째,0,0,0,0,3,0,0,0
베어스,0,0,0,0,0,0,1,0
벨란겔,1,1,0,1,3,0,1,0
변화,2,3,5,3,2,3,2,0
보고,3,1,1,3,1,1,1,1
보는,3,2,1,3,1,1,1,1
보도자료,0,0,2,0,0,0,0,0
보안,2,2,1,5,3,2,1,1
보여주,0,4,2,2,0,1,3,1
보인다.,1,1,1,2,2,1,1,1
보조경기장에서,0,0,0,0,0,0,1,3
보조금,4,7,3,7,3,4,6,2
보호조치,1,0,0,0,0,0,0,0
부드러운,0,4,2,2,0,1,3,1
부문,1,3,3,4,2,4,2,1
부사장,1,6,7,5,1,8,6,0
부스,1,4,4,4,6,3,3,0
부품,1,4,2,3,2,2,3,0
북미,0,3,3,2,1,3,3,0
분들,1,1,2,0,0,1,1,0
분류,1,1,0,1,3,0,1,0
분석,2,0,0,1,1,0,0,1
불만,3,0,0,1,1,0,0,1
브레이커스,3,11,11,13,13,8,7,0
비롯해,1,3,3,3,3,2,2,0
비스포크,8,8,0,24,16,0,0,40
비전옥스,1,14,12,11,2,16,16,1
빠른,1,3,3,3,3,2,2,0
사람,4,2,1,4,1,1,1,1
사례,0,1,2,0,1,1,2,0
사업,8,14,10,20,5,13,9,2
사용자,5,1,1,4,2,1,1,2
사용할,1,1,1,2,2,1,1,1
사은품,0,1,0,0,0,0,2,0
